id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/hide_char_id
event_queensorder_05_e_1,40015,event_queensorder_05_e,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_e_1,True,moran,13,think,rosanna,1,idle,sakura_n,3,idle,ArkRuinIndoor,3,30,1.0,bgm_story_armageddon,,
event_queensorder_05_e_2,40015,event_queensorder_05_e,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_e_2,True,,13,think,,1,idle,,3,idle,,30,30,1.0,,,
event_queensorder_05_e_3,40015,event_queensorder_05_e,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_e_3,True,,13,think,,1,idle,,3,idle,,30,30,1.0,,,
event_queensorder_05_e_4,40015,event_queensorder_05_e,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_e_4,True,,13,think,,1,idle,,3,idle,,30,30,1.0,,,
event_queensorder_05_e_5,40015,event_queensorder_05_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_e_5,True,,13,think,,1,idle,,3,idle,,30,2,1.0,,,
event_queensorder_05_e_6,40015,event_queensorder_05_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_e_6,True,,13,think,,1,idle,,3,idle,,2,2,1.0,,,
event_queensorder_05_e_7,40015,event_queensorder_05_e,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_e_7,True,,13,think,,1,idle,,3,idle,,2,2,1.0,,,
event_queensorder_05_e_8,40015,event_queensorder_05_e,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_e_8,True,,13,think,,1,idle,,3,idle,,2,2,1.0,,,
event_queensorder_05_e_9,40015,event_queensorder_05_e,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_e_9,True,,13,think,,1,idle,,3,idle,,2,2,1.0,,,
event_queensorder_05_e_10,40015,event_queensorder_05_e,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_e_10,True,,13,think,,1,idle,,3,idle,,2,2,1.0,,,
event_queensorder_05_e_11,40015,event_queensorder_05_e,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_e_11,True,,13,think,,1,idle,,3,idle,,2,2,1.0,,,
