id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,characters/5/hide_char_id,fade,play_sound,characters/3/hide_char_id,jump_target,set_camera_shake
re_event_ce02_1_06_s_1,40082,re_event_ce02_1_06_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_06_s_1,True,rapi,1,idle,anis,3,angry,neon,5,idle,c1002_02,13,idle,b0006_02,15,idle,6000d_02,17,idle,TechIndoor,13,13,1.0,event_bgm_ce002_story_1,,,,,,,
re_event_ce02_1_06_s_2,40082,re_event_ce02_1_06_s,Speech,b0006_02,b0006_02,Locale_SubScenario:event_ce02_1_06_s_2,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,13,15,1.0,,,,,,,,
re_event_ce02_1_06_s_3,40082,re_event_ce02_1_06_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_1_06_s_3,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,15,17,1.0,,,,,,,,
re_event_ce02_1_06_s_4,40082,re_event_ce02_1_06_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_1_06_s_4,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,17,17,1.0,,,,,,,,
re_event_ce02_1_06_s_5,40082,re_event_ce02_1_06_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_1_06_s_5,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,17,170,1.0,,,,,,,,
re_event_ce02_1_06_s_6,40082,re_event_ce02_1_06_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_06_s_6,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,S_50,S_50,1.0,,,,,,,,
re_event_ce02_1_06_s_7,40082,re_event_ce02_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_06_s_7,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,30,30,1.0,,,,,,,,
re_event_ce02_1_06_s_8,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_8,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,
re_event_ce02_1_06_s_9,40082,re_event_ce02_1_06_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_06_s_9,False,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,,,,,
re_event_ce02_1_06_s_10,40082,re_event_ce02_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_06_s_10,False,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,,,,,
re_event_ce02_1_06_s_11,40082,re_event_ce02_1_06_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_1_06_s_11,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,,,,,,,,
re_event_ce02_1_06_s_12,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_12,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,
re_event_ce02_1_06_s_13,40082,re_event_ce02_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_06_s_13,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,,,,,
re_event_ce02_1_06_s_14,40082,re_event_ce02_1_06_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_06_s_14,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,,,,,
re_event_ce02_1_06_s_15,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_15,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,
re_event_ce02_1_06_s_16,40082,re_event_ce02_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_06_s_16,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,
re_event_ce02_1_06_s_17,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_17,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,10,100,1.0,,,,,,,,
re_event_ce02_1_06_s_18,40082,re_event_ce02_1_06_s,Speech,neon,neon,Locale_SubScenario:event_ce02_1_06_s_18,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,100,100,1.0,,,,,,,,
re_event_ce02_1_06_s_19,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_19,True,,1,idle,,3,angry,,5,idle,,13,idle,,15,idle,,17,idle,,100,100,1.0,,b0006_02,6000d_02,,,,,
re_event_ce02_1_06_s_20,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_20,True,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,100,100,1.0,,,,,,,,
re_event_ce02_1_06_s_21,40082,re_event_ce02_1_06_s,Self,,,Locale_SubScenario:event_ce02_1_06_s_21,False,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,100,100,1.0,,,,,,,,
re_event_ce02_1_06_s_22,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_22,True,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,100,10,1.0,,,,,,,,
re_event_ce02_1_06_s_23,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_23,True,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,10,10,1.0,,,,,,,,
re_event_ce02_1_06_s_24,40082,re_event_ce02_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_1_06_s_24,True,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,10,10,1.0,,,,,,,,
re_event_ce02_1_06_s_25,40082,re_event_ce02_1_06_s,Self,,,Locale_SubScenario:event_ce02_1_06_s_25,False,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,10,10,1.0,,,,,,,,
re_event_ce02_1_06_s_26,40082,re_event_ce02_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_06_s_26,True,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,10,30,1.0,,,,,,,,
re_event_ce02_1_06_s_27,40082,re_event_ce02_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_06_s_27,True,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,30,30,1.0,,,,,,,,
re_event_ce02_1_06_s_28,40082,re_event_ce02_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce02_1_06_s_28,True,,1,idle,,3,angry,,5,idle,,13,idle,,,,,,,,30,30,1.0,,,,,,,,
