id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_ce003_1_05_e_1,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_1,False,CommanderRoom,XS_100,XS_10,1.0,event_bgm_ce003_minimain,,,,,,cocoa,1,delight,,ce_003_03,13,idle,
event_ce003_1_05_e_2,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_2,True,,XS_10,XS_10,1.0,,cocoa,cocoa,,,,,1,delight,,,13,idle,
event_ce003_1_05_e_3,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_3,False,,XS_10,XS_10,1.0,,cocoa,,,,,,1,delight,,,13,idle,
event_ce003_1_05_e_4,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_4,False,,XS_10,XS_10,1.0,,cocoa,,sfx_scn_poke,,,,1,delight,,,13,idle,
event_ce003_1_05_e_5,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_5,False,,XS_10,XS_10,1.0,,cocoa,,,,,,1,delight,,,13,idle,
event_ce003_1_05_e_6,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_6,False,,XS_10,XS_100,2.0,,cocoa,,sfx_scn_soup,,,,1,delight,,,13,idle,
event_ce003_1_05_e_7,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_7,False,,XS_100,XS_100,1.0,,cocoa,,,,,,1,delight,,,13,idle,
event_ce003_1_05_e_8,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_8,True,,XS_100,12,1.0,,ce_003_03,ce_003_03,,,,,1,delight,,,13,no,
event_ce003_1_05_e_9,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_9,False,,12,12,1.0,,ce_003_03,,,,,,1,delight,,,13,no,
event_ce003_1_05_e_10,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_10,False,,12,12,1.0,,ce_003_03,,,,,,1,delight,,,13,no,
event_ce003_1_05_e_11,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_11,True,,12,S_130,1.0,,ce_003_03,ce_003_03,,,,,1,serious,,,13,idle,
event_ce003_1_05_e_12,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_12,False,,S_130,S_130,1.0,,ce_003_03,,,,,,1,serious,,,13,idle,
event_ce003_1_05_e_13,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_13,True,,S_130,S_130,1.0,,ce_003_03,ce_003_03,,,,,1,serious,,,13,idle,
event_ce003_1_05_e_14,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_14,False,,S_130,S_130,1.0,,ce_003_03,,,,,,1,serious,,,13,idle,
event_ce003_1_05_e_15,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_15,True,,S_130,S_130,1.0,,ce_003_03,ce_003_03,,,,,1,serious,,,13,delight,
event_ce003_1_05_e_16,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_16,True,,S_130,S_130,1.0,,ce_003_03,ce_003_03,,,,,1,serious,,,13,delight,
event_ce003_1_05_e_17,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_17,False,,S_130,12,1.0,,ce_003_03,,sfx_scn_soup,,,,1,serious,,,13,delight,
event_ce003_1_05_e_18,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_18,False,,12,12,1.0,,ce_003_03,,,,,,1,serious,,,13,idle,
event_ce003_1_05_e_19,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_19,True,,12,12,1.0,,cocoa,cocoa,,,,,1,delight,,,13,idle,
event_ce003_1_05_e_20,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_20,False,,12,12,1.0,,cocoa,,,,,,1,delight,,,13,idle,
event_ce003_1_05_e_21,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_21,False,,black,black,1.0,,cocoa,,,,,,1,delight,,,13,idle,
event_ce003_1_05_e_22,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_22,False,,150,130,2.0,,cocoa,,,black,,ade,1,idle,cocoa,ce_003_02,13,angry,ce_003_03
event_ce003_1_05_e_23,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_23,True,,130,12,1.0,,ade,ade,,,,,1,idle,,,13,angry,
event_ce003_1_05_e_24,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_24,True,,12,12,1.0,,ce_003_02,ce_003_02,,,,,1,idle,,,13,idle,
event_ce003_1_05_e_25,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_25,True,,12,12,1.0,,ade,ade,,,,,1,idle,,,13,idle,
event_ce003_1_05_e_26,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_26,True,,12,12,1.0,,ce_003_02,ce_003_02,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_27,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_27,True,,12,12,1.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_28,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_28,True,,12,12,1.0,,ade,ade,,,,,1,idle,,,13,idle,
event_ce003_1_05_e_29,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_29,True,,12,12,1.0,,ade,ade,,,,,1,idle,,,13,idle,
event_ce003_1_05_e_30,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_30,True,,12,130,1.0,,ce_003_02,ce_003_02,,,,,1,idle,,,13,angry,
event_ce003_1_05_e_31,40041,event_ce003_1_05_e,Narration,Locale_SubScenario:event_ce003_1_05_e_31,False,,black,black,1.0,,ce_003_02,,sfx_scn_burnning,,,,1,shy,,,13,angry,
event_ce003_1_05_e_32,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_32,True,,10,10,1.0,,ade,ade,,,,,1,shy,,,13,surprise,
event_ce003_1_05_e_33,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_33,True,,130,130,1.0,,ce_003_02,ce_003_02,,,,,1,shy,,,13,surprise,
event_ce003_1_05_e_34,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_34,True,,130,10,2.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_35,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_35,True,,10,10,1.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_36,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_36,True,,10,10,1.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_37,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_37,True,,10,10,1.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_38,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_38,True,,10,10,1.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_39,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_39,True,,10,10,1.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_40,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_40,True,,10,12,2.0,,ce_003_02,ce_003_02,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_41,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_41,True,,12,12,1.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_42,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_42,True,,12,12,1.0,,ade,ade,,,,,1,idle,,,13,worry,
event_ce003_1_05_e_43,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_43,True,,12,12,1.0,,ade,ade,,,,,1,delight,,,13,worry,
event_ce003_1_05_e_44,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_44,True,,12,12,1.0,,ce_003_02,ce_003_02,,,,,1,idle,,,13,delight,
event_ce003_1_05_e_45,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_45,False,,12,12,1.0,,ce_003_02,,,,,,1,idle,,,13,idle,
event_ce003_1_05_e_46,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_46,False,,black,black,1.0,,ce_003_02,,,,,,1,idle,,,13,idle,
event_ce003_1_05_e_47,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_47,False,EventTitle_ReCIPEFORYOU_02,ce003_2_01,ce003_2_02,2.0,,ce_003_02,,,black,,,1,idle,ade,,13,idle,ce_003_02
event_ce003_1_05_e_48,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_48,False,,ce003_2_02,ce003_2_02,1.0,,ce_003_02,,,,,,,,,,,,
event_ce003_1_05_e_49,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_49,False,,ce003_2_02,ce003_2_02,1.0,,ce_003_02,,,,,,,,,,,,
event_ce003_1_05_e_50,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_50,True,,ce003_2_02,ce003_2_02,1.0,,soda,soda,,,,,,,,,,,
event_ce003_1_05_e_51,40041,event_ce003_1_05_e,Narration,Locale_SubScenario:event_ce003_1_05_e_51,False,,ce003_2_02,ce003_2_02,1.0,,soda,,sfx_scn_sodafalling,,Low_2,,,,,,,,
event_ce003_1_05_e_52,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_52,True,,ce003_2_02,ce003_2_02,1.0,,cocoa,cocoa,,,,,,,,,,,
event_ce003_1_05_e_53,40041,event_ce003_1_05_e,Speech,Locale_SubScenario:event_ce003_1_05_e_53,True,,ce003_2_02,ce003_2_02,1.0,,cocoa,cocoa,,,,,,,,,,,
event_ce003_1_05_e_54,40041,event_ce003_1_05_e,Self,Locale_SubScenario:event_ce003_1_05_e_54,False,,ce003_2_02,ce003_2_02,1.0,,cocoa,,,,,,,,,,,,
event_ce003_1_05_e_55,40041,event_ce003_1_05_e,Monologue,Locale_SubScenario:event_ce003_1_05_e_55,False,,black,black,1.0,,cocoa,,,,,,,,,,,,
