id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_ce003_2_06_s_1,40042,event_ce003_2_06_s,Narration,Locale_SubScenario:event_ce003_2_06_s_1,False,Office,black,black,1.0,none,,,,,,andersen,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_2,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_2,True,,L_10,L_10,1.0,bgm_story_fairytalesend_if,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_3,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_3,True,,L_10,L_10,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_4,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_4,True,,L_10,L_10,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_5,40042,event_ce003_2_06_s,Self,Locale_SubScenario:event_ce003_2_06_s_5,False,,L_10,L_10,1.0,,andersen,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_6,40042,event_ce003_2_06_s,Self,Locale_SubScenario:event_ce003_2_06_s_6,False,,L_10,L_10,1.0,,andersen,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_7,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_7,True,,L_10,L_10,1.0,,andersen,andersen,,,,,1,think,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_8,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_8,True,,L_10,L_10,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_9,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_9,True,,L_10,L_100,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_10,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_10,True,,L_100,L_100,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_11,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_11,True,,L_100,L_100,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_12,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_12,True,,L_100,L_100,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_13,40042,event_ce003_2_06_s,Self,Locale_SubScenario:event_ce003_2_06_s_13,False,,L_100,L_100,1.0,,andersen,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_14,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_14,True,,L_100,L_10,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_15,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_15,True,,L_10,L_10,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_16,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_16,True,,L_10,L_10,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_17,40042,event_ce003_2_06_s,Self,Locale_SubScenario:event_ce003_2_06_s_17,False,,L_10,L_10,1.0,,andersen,,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_18,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_18,True,,L_10,L_10,1.0,,andersen,andersen,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_19,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_19,True,CityForest_02_n,130,130,1.0,ambient_scn_wind,ce_003_02,ce_003_02,black,,,rapi,1,idle,andersen,anis,3,idle,,neon,5,idle,,ce_003_02,13,idle,,ce_003_01,15,angry,,ce_003_03,17,idle,
event_ce003_2_06_s_20,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_20,True,,30,4,1.0,,anis,anis,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_21,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_21,True,,4,4,1.0,,anis,anis,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_22,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_22,True,,4,4,1.0,,neon,neon,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_23,40042,event_ce003_2_06_s,Self,Locale_SubScenario:event_ce003_2_06_s_23,False,,4,2,1.0,,neon,,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_24,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_24,True,,2,2,1.0,,rapi,rapi,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_25,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_25,True,,2,10,1.0,,rapi,rapi,,,,,1,idle,,,3,idle,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_26,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_26,True,GateKeeper,1,15,2.0,,rapi,rapi,black,,,,1,idle,rapi,,3,idle,anis,,5,idle,neon,,13,idle,ce_003_02,,15,angry,ce_003_01,,17,idle,ce_003_03
event_ce003_2_06_s_27,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_27,True,,15,15,1.0,,anis,anis,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_06_s_28,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_28,True,,15,S_150,2.0,,ce_003_01,ce_003_01,,,,rapi,1,idle,,anis,3,idle,,neon,5,idle,,ce_003_02,13,idle,,ce_003_01,15,angry,,ce_003_03,17,idle,
event_ce003_2_06_s_29,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_29,True,,30,30,1.0,,anis,anis,,,,,1,idle,,,3,delight,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_30,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_30,True,,30,4,1.0,,anis,anis,,,,,1,idle,,,3,sad,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_31,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_31,True,,4,4,1.0,,neon,neon,,,,,1,idle,,,3,sad,,,5,worry,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_32,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_32,True,,4,4,1.0,,neon,neon,,,,,1,idle,,,3,void,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_33,40042,event_ce003_2_06_s,Self,Locale_SubScenario:event_ce003_2_06_s_33,False,,4,4,1.0,,neon,,,,,,1,idle,,,3,void,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
event_ce003_2_06_s_34,40042,event_ce003_2_06_s,Speech,Locale_SubScenario:event_ce003_2_06_s_34,True,,4,S_50,1.0,,neon,neon,,,,,1,idle,,,3,void,,,5,idle,,,13,idle,,,15,angry,,,17,idle,
