id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_exnii2_04_s_1,40071,event_exnii2_04_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_04_s_1,True,helm,1,angry,mast,3,angry,EzsUp_r,1,1,1.0,event_bgm_ce005_field_2,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_2,40071,event_exnii2_04_s,Speech,helm,helm,Locale_SubScenario:event_exnii2_04_s_2,True,,1,angry,,3,angry,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_3,40071,event_exnii2_04_s,Speech,mast,mast,Locale_SubScenario:event_exnii2_04_s_3,True,,1,angry,,3,angry,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_4,40071,event_exnii2_04_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_04_s_4,True,,1,angry,,3,angry,,1,1,1.0,,ce004_03_op,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_5,40071,event_exnii2_04_s,Narration,,,Locale_SubScenario:event_exnii2_04_s_5,False,,1,angry,,3,angry,EventScene_ce005_04_2,XS_100,XS_100,1.0,,,OP_leftup,idle,helm,mast,ce004_03_op,sfx_scn_bigwaterappear,black,,,,,,,,,,,,,,,,
event_exnii2_04_s_6,40071,event_exnii2_04_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_04_s_6,True,,,,,,,,XS_100,XS_100,1.0,,ce004_03_op,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_7,40071,event_exnii2_04_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_04_s_7,True,,,,,,,,XS_100,XS_100,1.0,,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_8,40071,event_exnii2_04_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_04_s_8,True,,,,,,,,XS_100,XS_100,1.0,,,OP_leftup,go,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_9,40071,event_exnii2_04_s,Narration,,,Locale_SubScenario:event_exnii2_04_s_9,False,,,,,,,,black,black,1.0,,,OP_leftup,idle,,,ce004_03_op,,,Low_2,,,,,,,,,,,,,,,
event_exnii2_04_s_10,40071,event_exnii2_04_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_04_s_10,True,,,,,,,,1,1,1.0,,ce004_03_op,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_11,40071,event_exnii2_04_s,Speech,ce004_03_op,ce004_03_op,Locale_SubScenario:event_exnii2_04_s_11,True,,,,,,,,1,1,1.0,,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_12,40071,event_exnii2_04_s,Narration,,Announcement,Locale_SubScenario:event_exnii2_04_s_12,False,,,,,,,RedBeach_3,1,1,1.0,,,OP_leftup,idle,,,ce004_03_op,,black,,,,,,,,,,,,,,,,
event_exnii2_04_s_13,40071,event_exnii2_04_s,Narration,,Announcement,Locale_SubScenario:event_exnii2_04_s_13,False,,,,,,,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_04_s_14,40071,event_exnii2_04_s,Speech,centi,centi,Locale_SubScenario:event_exnii2_04_s_14,True,,,,,,,,1,15,1.0,,,,,,,,,,,centi,15,surprise,,,,,,,,,,,,
