id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_maidinvalentine_03_1,40007,event_maidinvalentine_03,Narration,event_brandnewyear_03_s_1,False,Restaurant,S_100,S_100,1.0,sfx_scn_violin,none,,,,julia_p,1,"expression_0,idle"
event_maidinvalentine_03_2,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_2,False,,S_100,S_100,1.0,,,,,,,1,idle
event_maidinvalentine_03_3,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_3,True,,S_100,S_10,1.0,,bgm_story_orangepop,julia_p,julia,,,1,idle
event_maidinvalentine_03_4,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_4,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,think
event_maidinvalentine_03_5,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_5,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_6,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_6,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_7,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_7,False,,S_10,S_10,1.0,,,julia_p,,,,1,idle
event_maidinvalentine_03_8,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_8,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,think
event_maidinvalentine_03_9,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_9,True,,S_10,S_100,1.0,,,julia_p,julia,,,1,think
event_maidinvalentine_03_10,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_10,False,,S_100,S_100,1.0,,,julia_p,,,,1,think
event_maidinvalentine_03_11,40007,event_maidinvalentine_03,Narration,event_brandnewyear_03_s_11,False,,S_100,S_100,1.0,sfx_scn_violin,,julia_p,,,,1,"expression_0,idle"
event_maidinvalentine_03_12,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_12,True,,S_100,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_13,40007,event_maidinvalentine_03,Choice,event_brandnewyear_03_s_13,False,,S_10,S_10,1.0,,,julia_p,,event_brandnewyear_03_s_15,,1,idle
event_maidinvalentine_03_14,40007,event_maidinvalentine_03,Choice,event_brandnewyear_03_s_14,False,,S_10,S_10,1.0,,,julia_p,,event_brandnewyear_03_s_17,,1,idle
event_maidinvalentine_03_15,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_15,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_16,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_16,False,,S_10,S_10,1.0,,,julia_p,,event_brandnewyear_03_s_17,,1,idle
event_maidinvalentine_03_17,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_17,False,,S_10,S_100,1.0,,,julia_p,julia,,,1,surprise
event_maidinvalentine_03_18,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_18,True,,S_100,S_100,1.0,,,julia_p,julia,,,1,surprise
event_maidinvalentine_03_19,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_19,True,,S_100,S_100,1.0,,,julia_p,julia,,,1,surprise
event_maidinvalentine_03_20,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_20,True,,S_100,S_100,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_21,40007,event_maidinvalentine_03,Narration,event_brandnewyear_03_s_21,False,,black,black,1.0,,,julia_p,,,,1,idle
event_maidinvalentine_03_22,40007,event_maidinvalentine_03,Narration,event_brandnewyear_03_s_22,False,,1,1,1.0,,,julia_p,,,,1,"expression_0,idle"
event_maidinvalentine_03_23,40007,event_maidinvalentine_03,Narration,event_brandnewyear_03_s_23,False,,1,1,1.0,,,julia_p,,,,1,"expression_0,idle"
event_maidinvalentine_03_24,40007,event_maidinvalentine_03,Monologue,event_brandnewyear_03_s_24,False,,1,1,1.0,,,julia_p,,,,1,"expression_0,idle"
event_maidinvalentine_03_25,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_25,False,,1,1,1.0,,,julia_p,,,,1,idle
event_maidinvalentine_03_26,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_26,True,,1,S_10,1.0,,,julia_p,julia,,,1,delight
event_maidinvalentine_03_27,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_27,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,delight
event_maidinvalentine_03_28,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_28,False,,S_10,S_10,1.0,,,julia_p,,,,1,delight
event_maidinvalentine_03_29,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_29,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_30,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_30,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_31,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_31,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_32,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_32,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_33,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_33,False,,S_10,S_10,1.0,,,julia_p,,,,1,idle
event_maidinvalentine_03_34,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_34,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_35,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_35,True,,S_10,S_10,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_36,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_36,False,,S_10,S_10,1.0,,,julia_p,,,,1,idle
event_maidinvalentine_03_37,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_37,True,,S_10,1,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_38,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_38,True,,1,1,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_39,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_39,True,,1,1,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_40,40007,event_maidinvalentine_03,Speech,event_brandnewyear_03_s_40,True,,1,1,1.0,,,julia_p,julia,,,1,idle
event_maidinvalentine_03_41,40007,event_maidinvalentine_03,Self,event_brandnewyear_03_s_41,False,,1,1,1.0,,,julia_p,,,,1,idle
