id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/0/hide_char_id,fade
event_lastkingdom2_04_e_1,40046,event_lastkingdom2_04_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_04_e_1,True,marian_q,1,sad2,crown,13,idle,snowwhite,3,idle,hongryeon,5,idle,rapunzel,7,sad,Crowncastlebedroom_d,113,113,1.0,none,,,,,,,
event_lastkingdom2_04_e_2,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_2,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,113,113,1.0,,,,,,,,
event_lastkingdom2_04_e_3,40046,event_lastkingdom2_04_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_lastkingdom2_04_e_3,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,70,70,1.0,,,,,,,,
event_lastkingdom2_04_e_4,40046,event_lastkingdom2_04_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_lastkingdom2_04_e_4,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,70,70,1.0,,,,,,,,
event_lastkingdom2_04_e_5,40046,event_lastkingdom2_04_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom2_04_e_5,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,30,30,1.0,,,,,,,,
event_lastkingdom2_04_e_6,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_6,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,30,31,1.0,,,,,,,,
event_lastkingdom2_04_e_7,40046,event_lastkingdom2_04_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom2_04_e_7,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,31,31,1.0,,,,,,,,
event_lastkingdom2_04_e_8,40046,event_lastkingdom2_04_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom2_04_e_8,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,31,31,1.0,,,,,,,,
event_lastkingdom2_04_e_9,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_9,False,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,31,31,1.0,event_bgm_lastkingdom_pinch,,,,,,,
event_lastkingdom2_04_e_10,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_10,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,31,10,1.0,,,,,,,,
event_lastkingdom2_04_e_11,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_11,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,10,100,1.0,,,,,,,,
event_lastkingdom2_04_e_12,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_12,True,,1,sad2,,13,idle,,3,idle,,5,idle,,7,sad,,100,100,1.0,,,,,,,,
event_lastkingdom2_04_e_13,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_13,False,,1,cry,,13,idle,,3,idle,,5,idle,,7,sad,,100,10,1.0,,,,,,,,
event_lastkingdom2_04_e_14,40046,event_lastkingdom2_04_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_lastkingdom2_04_e_14,True,,1,cry,,13,idle,,3,idle,,5,no,,7,sad,,70,70,1.0,,,,,,,,
event_lastkingdom2_04_e_15,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_15,True,,1,cry,,13,idle,,3,idle,,5,no,,7,sad,,10,10,1.0,,,,,,,,
event_lastkingdom2_04_e_16,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_16,False,,1,cry,,13,idle,,3,idle,,5,no,,7,sad,,10,100,1.0,,,,,,,,
event_lastkingdom2_04_e_17,40046,event_lastkingdom2_04_e,Speech,hongryeon,hongryeon,Locale_MainScenario:event_lastkingdom2_04_e_17,True,,1,cry,,13,idle,,3,idle,,5,no,,7,sad,,500,500,1.0,,,,,,,,
event_lastkingdom2_04_e_18,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_18,True,,1,cry,,13,idle,,3,idle,,5,no,,7,sad,,100,10,1.0,,,,,,,,
event_lastkingdom2_04_e_19,40046,event_lastkingdom2_04_e,Narration,,,Locale_MainScenario:event_lastkingdom2_04_e_19,False,,1,cry,,13,idle,,3,idle,,5,no,,7,sad,,black,black,1.0,,sfx_scn_aim,,,,,,
event_lastkingdom2_04_e_20,40046,event_lastkingdom2_04_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom2_04_e_20,False,,1,cry,,13,idle,,3,idle,,5,no,,7,sad,,300,300,1.0,,,,,,,,
event_lastkingdom2_04_e_21,40046,event_lastkingdom2_04_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_lastkingdom2_04_e_21,True,,1,cry,,13,idle,,3,idle,,5,no,,7,sad,,700,700,1.0,,,,,,,,
event_lastkingdom2_04_e_22,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_22,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,1,10,1.0,,,,,,,,
event_lastkingdom2_04_e_23,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_23,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,10,10,1.0,,,,,,,,
event_lastkingdom2_04_e_24,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_24,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,10,10,1.0,,,,,,,,
event_lastkingdom2_04_e_25,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_25,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,10,100,1.0,,,,,,,,
event_lastkingdom2_04_e_26,40046,event_lastkingdom2_04_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom2_04_e_26,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,100,300,1.0,,,,,,,,
event_lastkingdom2_04_e_27,40046,event_lastkingdom2_04_e,Speech,rapunzel,rapunzel,Locale_MainScenario:event_lastkingdom2_04_e_27,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,700,700,1.0,,,,,,,,
event_lastkingdom2_04_e_28,40046,event_lastkingdom2_04_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom2_04_e_28,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,300,30,1.0,,,,,,,,
event_lastkingdom2_04_e_29,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_29,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,30,10,1.0,,,,,,,,
event_lastkingdom2_04_e_30,40046,event_lastkingdom2_04_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_04_e_30,False,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,10,130,1.0,,,,,,,,
event_lastkingdom2_04_e_31,40046,event_lastkingdom2_04_e,Narration,,,Locale_MainScenario:event_lastkingdom2_04_e_31,False,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,black,black,1.0,,,,,,,,
event_lastkingdom2_04_e_32,40046,event_lastkingdom2_04_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_04_e_32,True,,1,sad2,,13,idle,,3,idle,,5,no,,7,sad,,113,113,1.0,,,,,,,,
