id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_liarsend_01_1,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_1,False,CommanderRoom,1,1,1.0,bgm_story_breakaway,,,,,,,,
event_liarsend_01_2,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_2,False,,1,10,1.0,,,,,,,,,
event_liarsend_01_3,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_3,False,,10,10,1.0,,,,,,,,,
event_liarsend_01_4,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_4,False,,10,10,1.0,,,,,,,,,
event_liarsend_01_5,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_5,False,,10,10,1.0,,,,,,,,,
event_liarsend_01_6,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_6,False,,10,100,1.0,,,,,,,,,
event_liarsend_01_7,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_7,False,,100,100,1.0,,,,,,,,,
event_liarsend_01_8,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_8,False,,100,100,1.0,,,,,,,,,
event_liarsend_01_9,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_9,False,,100,1,1.0,,,,,,,,,
event_liarsend_01_10,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_10,False,,1,1,1.0,,m_event_liarsend_01_01,,,,,,,
event_liarsend_01_11,130004,event_liarsend_01,Narration,Locale_SubScenario:event_liarsend_01_11,False,,black,black,1.0,,,sfx_scn_run,,,,,,
event_liarsend_01_12,130004,event_liarsend_01,Narration,Locale_SubScenario:event_liarsend_01_12,False,,10,10,1.0,,,sfx_scn_autodooropen,,,,,,
event_liarsend_01_13,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_13,True,,10,100,0.7,,,,rapi,rapi,rapi,1,angry,
event_liarsend_01_14,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_14,False,,100,100,1.0,,,,rapi,rapi,,1,idle,
event_liarsend_01_15,130004,event_liarsend_01,Self,Locale_SubScenario:event_liarsend_01_15,False,,100,100,1.0,,,,rapi,,,1,idle,
event_liarsend_01_16,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_16,True,,100,10,1.0,,,,rapi,rapi,,1,idle,
event_liarsend_01_17,130004,event_liarsend_01,Self,Locale_SubScenario:event_liarsend_01_17,False,,10,10,1.0,,,,rapi,,,1,idle,
event_liarsend_01_18,130004,event_liarsend_01,Self,Locale_SubScenario:event_liarsend_01_18,False,,10,10,1.0,,,,rapi,,,1,idle,
event_liarsend_01_19,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_19,False,,10,1,1.0,,,,rapi,rapi,,1,think,
event_liarsend_01_20,130004,event_liarsend_01,Narration,Locale_SubScenario:event_liarsend_01_20,False,,1,1,1.0,,,,rapi,,,1,think,
event_liarsend_01_21,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_21,True,,1,1,1.0,,,,rapi,rapi,,1,idle,
event_liarsend_01_22,130004,event_liarsend_01,Narration,Locale_SubScenario:event_liarsend_01_22,False,,1,1,1.0,,,sfx_scn_lighton,rapi,,,1,idle,
event_liarsend_01_23,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_23,False,,1,1,1.0,,,,rapi,,,1,idle,rapi
event_liarsend_01_24,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_24,False,,1,10,1.0,,,,,,,,,
event_liarsend_01_25,130004,event_liarsend_01,Monologue,Locale_SubScenario:event_liarsend_01_25,False,,10,10,1.0,,m_event_liarsend_01_02,,,,,,,
event_liarsend_01_26,130004,event_liarsend_01,Narration,Locale_SubScenario:event_liarsend_01_26,False,,black,black,1.0,,,sfx_scn_run,,,,,,
event_liarsend_01_27,130004,event_liarsend_01,Narration,Locale_SubScenario:event_liarsend_01_27,False,,10,10,1.0,,,sfx_scn_autodooropen,,,,,,
event_liarsend_01_28,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_28,True,,10,100,0.7,,,,anis,anis,anis,1,angry,
event_liarsend_01_29,130004,event_liarsend_01,Self,Locale_SubScenario:event_liarsend_01_29,False,,100,100,1.0,,,,anis,,,1,angry,
event_liarsend_01_30,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_30,True,,100,100,1.0,,,,anis,anis,,1,angry,
event_liarsend_01_31,130004,event_liarsend_01,Self,Locale_SubScenario:event_liarsend_01_31,False,,100,100,1.0,,,,anis,,,1,angry,
event_liarsend_01_32,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_32,True,,100,10,1.0,,,,anis,anis,,1,no,
event_liarsend_01_33,130004,event_liarsend_01,Self,Locale_SubScenario:event_liarsend_01_33,False,,10,10,1.0,,,,anis,,,1,no,
event_liarsend_01_34,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_34,False,,10,10,1.0,,,,anis,anis,,1,worry,
event_liarsend_01_35,130004,event_liarsend_01,Speech,Locale_SubScenario:event_liarsend_01_35,True,,10,10,1.0,,,,anis,anis,,1,worry,
