id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,play_sound
event_unbreakablesphere1_03_e_1,40075,event_unbreakablesphere1_03_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_03_e_1,True,littlemermaid,1,idle,mihara_b,13,idle,TreeOfWater,130,1300,1.0,event_bgm_ubsphere_waterdrop,,,,,,,,,,,
event_unbreakablesphere1_03_e_2,40075,event_unbreakablesphere1_03_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_03_e_2,True,,1,idle,,13,idle,,1300,1300,1.0,,,,,,,,,,,,
event_unbreakablesphere1_03_e_3,40075,event_unbreakablesphere1_03_e,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_03_e_3,True,,1,idle,,13,idle,,1300,1300,1.0,,,,,,,,,,,,
event_unbreakablesphere1_03_e_4,40075,event_unbreakablesphere1_03_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_e_4,True,,1,delight,,13,idle,,1300,L_100,1.0,,,,,,,,,,,,
event_unbreakablesphere1_03_e_5,40075,event_unbreakablesphere1_03_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_e_5,True,,1,delight,,13,idle,,L_100,L_10,1.0,,,,,,,,,,,,
event_unbreakablesphere1_03_e_6,40075,event_unbreakablesphere1_03_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_e_6,True,,1,delight,,13,idle,,L_10,L_10,1.0,,,,,,,,,,,,
event_unbreakablesphere1_03_e_7,40075,event_unbreakablesphere1_03_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_e_7,True,,1,delight,,13,idle,,L_10,L_10,1.0,,,,,,,,,,,,
event_unbreakablesphere1_03_e_8,40075,event_unbreakablesphere1_03_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_e_8,True,,1,delight,,13,idle,,L_10,L_10,1.0,,,,,,,,,,,,
event_unbreakablesphere1_03_e_9,40075,event_unbreakablesphere1_03_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_e_9,True,,1,delight,,13,idle,,L_10,L_10,1.0,,,,,,,,,,,,
event_unbreakablesphere1_03_e_10,40075,event_unbreakablesphere1_03_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_03_e_10,True,,1,delight,,13,idle,,L_10,L_10,1.0,,,,,,,,,,,,
