id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_overzone1_05_s_1,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_1,True,dorothy,1,think,rapunzel,13,sad,pinne,15,angry,Tomb_n,113,113,1.0,ambient_scn_wind
event_overzone1_05_s_2,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_2,True,,1,think,,13,sad,,15,angry,,113,113,1.0,bgm_story_saveus
event_overzone1_05_s_3,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_3,True,,1,think,,13,sad,,15,angry,,113,113,1.0,
event_overzone1_05_s_4,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_4,True,,1,think,,13,sad,,15,angry,,113,113,1.0,
event_overzone1_05_s_5,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_5,True,,1,think,,13,sad,,15,angry,,113,113,1.0,
event_overzone1_05_s_6,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_6,True,,1,think,,13,sad,,15,angry,,113,113,1.0,
event_overzone1_05_s_7,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_7,True,,1,think,,13,sad,,15,angry,,113,113,1.0,
event_overzone1_05_s_8,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_8,False,,1,think,,13,sad,,15,angry,,113,113,1.0,
event_overzone1_05_s_9,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_9,True,,1,think,,13,sad,,15,angry,,113,1,1.0,
event_overzone1_05_s_10,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_10,True,,1,think,,13,sad,,15,angry,,1,10,1.0,
event_overzone1_05_s_11,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_11,True,,1,think,,13,sad,,15,angry,,130,130,1.0,
event_overzone1_05_s_12,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_12,True,,1,think,,13,sad,,15,angry,,10,10,1.0,
event_overzone1_05_s_13,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_13,True,,1,think,,13,surprise,,15,angry,,130,130,1.0,
event_overzone1_05_s_14,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_14,True,,1,think,,13,surprise,,15,angry,,130,10,1.0,
event_overzone1_05_s_15,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_15,True,,1,think,,13,surprise,,15,angry,,10,100,1.0,
event_overzone1_05_s_16,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_16,True,,1,think,,13,sad,,15,angry,,1300,1300,1.0,
event_overzone1_05_s_17,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_17,True,,1,think,,13,sad,,15,angry,,100,100,1.0,
event_overzone1_05_s_18,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_18,True,,1,think,,13,sad,,15,angry,,100,10,1.0,
event_overzone1_05_s_19,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_19,True,,1,think,,13,sad,,15,angry,,10,10,1.0,
event_overzone1_05_s_20,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_20,True,,1,think,,13,sad,,15,angry,,10,113,1.0,
event_overzone1_05_s_21,80303,event_overzone1_05_s,Speech,pinne,pinne,Locale_MainScenario:event_overzone1_05_s_21,True,,1,think,,13,sad,,15,angry,,113,1315,1.0,
event_overzone1_05_s_22,80303,event_overzone1_05_s,Speech,pinne,pinne,Locale_MainScenario:event_overzone1_05_s_22,True,,1,think,,13,sad,,15,angry,,1315,1315,1.0,
event_overzone1_05_s_23,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_23,True,,1,think,,13,sad,,15,angry,,1315,1315,1.0,
event_overzone1_05_s_24,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_24,True,,1,think,,13,sad,,15,angry,,1315,1315,1.0,
event_overzone1_05_s_25,80303,event_overzone1_05_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_05_s_25,True,,1,think,,13,sad,,15,angry,,1315,113,1.0,
event_overzone1_05_s_26,80303,event_overzone1_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone1_05_s_26,True,,1,think,,13,surprise,,15,angry,,113,113,1.0,
