id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/4/hide_char_id
event_lastkingdom2_05_s_1,40046,event_lastkingdom2_05_s,Narration,Locale_MainScenario:event_lastkingdom2_05_s_1,False,snowwhite,1,idle,talkative,13,idle,hongryeon,3,no,rapunzel,5,no,talos,7,idle,CrownCastleFrontYard_d,black,black,1.0,sfx_scn_nikkelanding,event_bgm_lastkingdom_machines,,,,,,,
event_lastkingdom2_05_s_2,40046,event_lastkingdom2_05_s,Narration,Locale_MainScenario:event_lastkingdom2_05_s_2,False,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,black,black,1.0,,,,,,,,,
event_lastkingdom2_05_s_3,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_3,True,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,XS_1300,XS_1300,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_4,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_4,True,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,XS_1300,XS_130,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_5,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_5,True,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,70,70,1.0,,,kilo_op_c,kilo_op_c,kilo_op_c,OP_kilo,think,,
event_lastkingdom2_05_s_6,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_6,True,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,70,70,1.0,,,talos,talos,,OP_kilo,think,,
event_lastkingdom2_05_s_7,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_7,True,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,XS_130,XS_130,1.0,,,talkative,talkative,,OP_kilo,think,kilo_op_c,
event_lastkingdom2_05_s_8,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_8,True,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,XS_130,113,1.0,,,snowwhite,snowwhite,,,,,
event_lastkingdom2_05_s_9,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_9,True,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,113,113,1.0,,,snowwhite,snowwhite,,,,,
event_lastkingdom2_05_s_10,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_10,True,,1,idle,,13,idle,,3,no,,5,no,,7,idle,,113,113,1.0,,,talkative,talkative,,,,,talos
event_lastkingdom2_05_s_11,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_11,True,,1,idle,,13,idle,,3,no,,5,no,,,,,113,113,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_12,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_12,True,,1,idle,,13,idle,,3,no,,5,no,,,,,113,113,1.0,,,snowwhite,snowwhite,,,,,
event_lastkingdom2_05_s_13,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_13,True,,1,idle,,13,idle,,3,no,,5,no,,,,,113,113,1.0,,,snowwhite,snowwhite,,,,,
event_lastkingdom2_05_s_14,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_14,True,,1,idle,,13,idle,,3,no,,5,no,,,,,113,113,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_15,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_15,True,,1,idle,,13,idle,,3,no,,5,no,,,,,30,30,1.0,,,hongryeon,hongryeon,,,,,
event_lastkingdom2_05_s_16,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_16,True,,1,idle,,13,idle,,3,no,,5,no,,,,,30,30,1.0,,,hongryeon,hongryeon,,,,,
event_lastkingdom2_05_s_17,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_17,True,,1,idle,,13,idle,,3,no,,5,no,,,,,XS_130,XS_130,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_18,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_18,True,,1,idle,,13,idle,,3,no,,5,no,,,,,50,50,1.0,,,rapunzel,rapunzel,,,,,
event_lastkingdom2_05_s_19,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_19,True,,1,idle,,13,idle,,3,no,,5,no,,,,,XS_130,XS_130,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_20,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_20,True,,1,idle,,13,idle,,3,no,,5,no,,,,,XS_130,XS_130,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_21,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_21,True,,1,idle,,13,idle,,3,no,,5,no,,,,,50,500,1.0,,,rapunzel,rapunzel,,,,,
event_lastkingdom2_05_s_22,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_22,True,,1,idle,,13,idle,,3,no,,5,no,,,,,500,500,1.0,,,rapunzel,rapunzel,,,,,
event_lastkingdom2_05_s_23,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_23,True,,1,idle,,13,idle,,3,no,,5,no,,,,,XS_1300,XS_1300,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_24,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_24,True,,1,idle,,13,idle,,3,no,,5,no,,,,,500,500,1.0,,,rapunzel,rapunzel,,,,,
event_lastkingdom2_05_s_25,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_25,True,,1,idle,,13,idle,,3,no,,5,no,,,,,500,50,1.0,,,rapunzel,rapunzel,,,,,
event_lastkingdom2_05_s_26,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_26,True,,1,idle,,13,idle,,3,no,,5,no,,,,,XS_130,XS_130,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_27,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_27,True,,1,idle,,13,idle,,3,no,,5,no,,,,,XS_130,XS_130,1.0,,,talkative,talkative,,,,,
event_lastkingdom2_05_s_28,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_28,True,,1,idle,,13,idle,,3,no,,5,no,,,,,10,100,1.0,,,snowwhite,snowwhite,,,,,
event_lastkingdom2_05_s_29,40046,event_lastkingdom2_05_s,Speech,Locale_MainScenario:event_lastkingdom2_05_s_29,True,,1,idle,,13,idle,,3,no,,5,no,,,,,XS_1300,XS_130,1.0,,,talkative,talkative,,,,,
