id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_ce02_3_04_e_1,40027,event_ce02_3_04_e,Monologue,Locale_SubScenario:event_ce02_3_04_e_1,False,GateKeeper_Sleep_In,black,black,1.0,event_bgm_ce002_story_3,,,,,,,,,,,,
event_ce02_3_04_e_2,40027,event_ce02_3_04_e,Monologue,Locale_SubScenario:event_ce02_3_04_e_2,False,,black,black,1.0,,,,,,,,,,,,,
event_ce02_3_04_e_3,40027,event_ce02_3_04_e,Monologue,Locale_SubScenario:event_ce02_3_04_e_3,False,,black,black,1.0,,,,,,,,,,,,,
event_ce02_3_04_e_4,40027,event_ce02_3_04_e,Monologue,Locale_SubScenario:event_ce02_3_04_e_4,False,,black,black,1.0,,,,,,,,,,,,,
event_ce02_3_04_e_5,40027,event_ce02_3_04_e,Monologue,Locale_SubScenario:event_ce02_3_04_e_5,False,,5,12,1.0,,,,,,,,,,,,,
event_ce02_3_04_e_6,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_6,True,,12,12,1.0,,ce_02_02,ce_02_02,p12,13,idle,ce_02_02,1,idle,,,,
event_ce02_3_04_e_7,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_7,True,,12,12,1.0,,p12,p12,,13,idle,,1,idle,,,,
event_ce02_3_04_e_8,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_8,True,,12,12,1.0,,p12,p12,,13,idle,,1,idle,,,,
event_ce02_3_04_e_9,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_9,True,,12,12,1.0,,p12,p12,,13,idle,,1,idle,,,,
event_ce02_3_04_e_10,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_10,True,,12,12,1.0,,p12,p12,,13,idle,,1,idle,,,,
event_ce02_3_04_e_11,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_11,True,,12,12,1.0,,p12,p12,,13,idle,,1,idle,,,,
event_ce02_3_04_e_12,40027,event_ce02_3_04_e,Monologue,Locale_SubScenario:event_ce02_3_04_e_12,False,,12,12,1.0,,,,,13,idle,,1,idle,,,,
event_ce02_3_04_e_13,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_13,False,,12,12,1.0,,ce_02_02,ce_02_02,,13,idle,,1,idle,,,,
event_ce02_3_04_e_14,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_14,True,,12,130,1.0,,p12,p12,,13,idle,,1,idle,,,,
event_ce02_3_04_e_15,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_15,True,,130,130,1.0,,p12,p12,,13,idle,,1,idle,,,,
event_ce02_3_04_e_16,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_16,True,,130,130,1.0,,p12,p12,,13,idle,,1,idle,notmassproduction,16,idle,
event_ce02_3_04_e_17,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_17,True,,10,10,1.0,,ce_02_02,ce_02_02,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_18,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_18,True,,130,130,1.0,,p12,p12,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_19,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_19,True,,130,16,1.0,,p12,p12,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_20,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_20,True,,16,16,1.0,,p12,p12,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_21,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_21,True,,16,16,1.0,,p12,p12,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_22,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_22,True,,10,10,1.0,,ce_02_02,ce_02_02,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_23,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_23,True,,130,130,1.0,,p12,p12,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_24,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_24,True,,130,130,1.0,,p12,p12,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_25,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_25,True,,130,130,1.0,,p12,p12,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_26,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_26,True,,130,130,1.0,,p12,p12,,13,idle,,1,think,,16,idle,
event_ce02_3_04_e_27,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_27,True,,130,12,1.0,,ce_02_02,ce_02_02,,13,idle,,1,idle,,16,idle,
event_ce02_3_04_e_28,40027,event_ce02_3_04_e,Speech,Locale_SubScenario:event_ce02_3_04_e_28,True,,12,12,1.0,,p12,p12,,13,idle,,1,idle,,16,idle,
