id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade,characters/0/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
event_exnii2_02_s_1,40071,event_exnii2_02_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_02_s_1,True,shifty_r,OP_rightup,idle,ocean_r,1,1,1.0,event_bgm_ce004_compte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_02_s_2,40071,event_exnii2_02_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_02_s_2,True,,OP_rightup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_02_s_3,40071,event_exnii2_02_s,Speech,shifty_r,shifty_r,Locale_SubScenario:event_exnii2_02_s_3,True,,OP_rightup,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_exnii2_02_s_4,40071,event_exnii2_02_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii2_02_s_4,True,,OP_rightup,idle,TemporaryCamp_r,event_exnii_talk_04,event_exnii_talk_04,1.0,,rapi,1,idle,anis,3,idle,ce004_03,5,idle,neon,13,idle,black,,,,,,,,,,,,,,,
event_exnii2_02_s_5,40071,event_exnii2_02_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_02_s_5,True,,OP_rightup,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_6,40071,event_exnii2_02_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_02_s_6,True,,OP_rightup,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_7,40071,event_exnii2_02_s,Speech,anis,anis,Locale_SubScenario:event_exnii2_02_s_7,True,,OP_rightup,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_8,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_8,True,,OP_rightup,idle,,event_exnii_talk_04,event_exnii_talk_01,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_9,40071,event_exnii2_02_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_exnii2_02_s_9,True,,OP_rightup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,1,idle,,3,idle,,5,idle,,13,idle,,,,,,,,,,,,,,,,
event_exnii2_02_s_10,40071,event_exnii2_02_s,Self,ce004_03,,Locale_SubScenario:event_exnii2_02_s_10,False,,OP_rightup,idle,,event_exnii_talk_01,event_exnii_talk_01,1.0,,,1,worry,,3,idle,,5,idle,,13,worry,,,,,,,,,,,,,,,,
