id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,fade,play_sound,set_camera_shake
event_boomsday_03_s_1,40040,event_boomsday_03_s,Monologue,Locale_SubScenario:event_boomsday_03_s_1,False,Laboratory,black,black,1.0,none,,,,,,,,
event_boomsday_03_s_2,40040,event_boomsday_03_s,Monologue,Locale_SubScenario:event_boomsday_03_s_2,False,,15,3,1.7,,elegg,3,idle,,,,,
event_boomsday_03_s_3,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_3,True,,3,3,1.0,bgm_story_orangepop,,3,idle,elegg,elegg,,,
event_boomsday_03_s_4,40040,event_boomsday_03_s,Self,Locale_SubScenario:event_boomsday_03_s_4,False,,3,3,1.0,,,3,idle,,,,,
event_boomsday_03_s_5,40040,event_boomsday_03_s,Monologue,Locale_SubScenario:event_boomsday_03_s_5,False,,black,black,1.0,,,3,idle,,,,,
event_boomsday_03_s_6,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_6,True,,3,3,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_7,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_7,True,,3,3,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_8,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_8,True,,3,S_30,1.0,,,3,delight,elegg,elegg,,,
event_boomsday_03_s_9,40040,event_boomsday_03_s,Self,Locale_SubScenario:event_boomsday_03_s_9,False,,S_30,S_30,1.0,,,3,delight,,,,,
event_boomsday_03_s_10,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_10,True,,S_30,S_30,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_11,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_11,True,,S_30,S_30,1.0,,,3,delight,elegg,elegg,,,
event_boomsday_03_s_12,40040,event_boomsday_03_s,Monologue,Locale_SubScenario:event_boomsday_03_s_12,False,,S_30,S_30,1.0,,,3,delight,,,,,
event_boomsday_03_s_13,40040,event_boomsday_03_s,Self,Locale_SubScenario:event_boomsday_03_s_13,False,,S_30,S_30,1.0,,,3,delight,,,,,
event_boomsday_03_s_14,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_14,True,,S_30,S_30,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_15,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_15,True,,S_30,S_30,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_16,40040,event_boomsday_03_s,Self,Locale_SubScenario:event_boomsday_03_s_16,False,,S_30,S_30,1.0,,,3,idle,,,,,
event_boomsday_03_s_17,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_17,True,,S_30,S_30,1.0,,,3,worry,elegg,elegg,,,
event_boomsday_03_s_18,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_18,True,,S_30,S_300,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_19,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_19,True,,S_300,S_300,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_20,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_20,True,,S_300,S_300,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_21,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_21,True,,S_300,S_300,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_22,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_22,True,,S_300,S_300,1.0,,,3,delight,elegg,elegg,,,
event_boomsday_03_s_23,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_23,True,,S_300,S_300,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_24,40040,event_boomsday_03_s,Self,Locale_SubScenario:event_boomsday_03_s_24,False,,S_300,S_300,1.0,,,3,idle,,,,,
event_boomsday_03_s_25,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_25,True,,S_300,S_30,1.0,,,3,worry,elegg,elegg,,,
event_boomsday_03_s_26,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_26,True,,S_30,S_30,1.0,,,3,worry,elegg,elegg,,,
event_boomsday_03_s_27,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_27,True,,S_30,S_30,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_28,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_28,True,,S_30,S_30,1.0,,,3,delight,elegg,elegg,,,
event_boomsday_03_s_29,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_29,True,,S_30,S_30,1.0,,,3,delight,elegg,elegg,,,
event_boomsday_03_s_30,40040,event_boomsday_03_s,Monologue,Locale_SubScenario:event_boomsday_03_s_30,False,,S_30,S_30,1.0,,,3,delight,,,,,
event_boomsday_03_s_31,40040,event_boomsday_03_s,Monologue,Locale_SubScenario:event_boomsday_03_s_31,False,,black,black,1.0,,,3,delight,,,,,
event_boomsday_03_s_32,40040,event_boomsday_03_s,Self,Locale_SubScenario:event_boomsday_03_s_32,False,,S_30,S_30,1.0,,,3,delight,,,,,
event_boomsday_03_s_33,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_33,True,,S_30,S_30,1.0,,,3,idle,elegg,elegg,,,
event_boomsday_03_s_34,40040,event_boomsday_03_s,Self,Locale_SubScenario:event_boomsday_03_s_34,False,,S_30,S_30,1.0,,,3,idle,,,,,
event_boomsday_03_s_35,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_35,True,,S_30,S_30,1.0,,,3,think,elegg,elegg,,,
event_boomsday_03_s_36,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_36,True,,S_30,S_30,1.0,,,3,think,elegg,elegg,,,
event_boomsday_03_s_37,40040,event_boomsday_03_s,Self,Locale_SubScenario:event_boomsday_03_s_37,False,,S_30,S_30,1.0,,,3,think,,,,,
event_boomsday_03_s_38,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_38,True,,S_30,S_30,1.0,,,3,think,elegg,elegg,,,
event_boomsday_03_s_39,40040,event_boomsday_03_s,Speech,Locale_SubScenario:event_boomsday_03_s_39,True,,S_30,S_30,1.0,,,3,think,elegg,elegg,,,
