id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_coinsinrush2_04_s_1,40089,event_coinsinrush2_04_s,Narration,Locale_MainScenario:event_coinsinrush2_04_s_1,False,CoinRushIndoor,black,black,1.0,sfx_scn_nearrunaway,none,,,,,,,,,,,,,,,,,
event_coinsinrush2_04_s_2,40089,event_coinsinrush2_04_s,Speech,Locale_MainScenario:event_coinsinrush2_04_s_2,True,,70,70,1.0,,event_bgm_mir_stage2,exia_b_op,exia_b_op,exia_b_op,OP_leftup,idle,,,,,,,,,,,,
event_coinsinrush2_04_s_3,40089,event_coinsinrush2_04_s,Self,Locale_MainScenario:event_coinsinrush2_04_s_3,False,,70,70,1.0,,,exia_b_op,,,OP_leftup,idle,,,,,,,,,,,,
event_coinsinrush2_04_s_4,40089,event_coinsinrush2_04_s,Speech,Locale_MainScenario:event_coinsinrush2_04_s_4,True,,70,70,1.0,,,exia_b_op,exia_b_op,,OP_leftup,etc,,,,,,,,,,,,
event_coinsinrush2_04_s_5,40089,event_coinsinrush2_04_s,Speech,Locale_MainScenario:event_coinsinrush2_04_s_5,True,,70,70,1.0,,,exia_b_op,exia_b_op,,OP_leftup,etc,,,,,,,,,,,,
event_coinsinrush2_04_s_6,40089,event_coinsinrush2_04_s,Self,Locale_MainScenario:event_coinsinrush2_04_s_6,False,,70,70,1.0,,,exia_b_op,,,OP_leftup,etc,,,,,,,,,,,,
event_coinsinrush2_04_s_7,40089,event_coinsinrush2_04_s,Speech,Locale_MainScenario:event_coinsinrush2_04_s_7,True,,70,70,1.0,,,exia_b_op,exia_b_op,,OP_leftup,idle,,,,,,,,,,,,
event_coinsinrush2_04_s_8,40089,event_coinsinrush2_04_s,Monologue,Locale_MainScenario:event_coinsinrush2_04_s_8,False,Corridor,black,black,1.0,,,,,,,,exia_b_op,,,,,,,,,,,
event_coinsinrush2_04_s_9,40089,event_coinsinrush2_04_s,Speech,Locale_MainScenario:event_coinsinrush2_04_s_9,True,,70,70,1.0,,,,meaningmaleguest,,,,,,,,,,,,,,,
event_coinsinrush2_04_s_10,40089,event_coinsinrush2_04_s,Self,Locale_MainScenario:event_coinsinrush2_04_s_10,False,,70,70,1.0,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_04_s_11,40089,event_coinsinrush2_04_s,Monologue,Locale_MainScenario:event_coinsinrush2_04_s_11,False,,70,70,1.0,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_04_s_12,40089,event_coinsinrush2_04_s,Speech,Locale_MainScenario:event_coinsinrush2_04_s_12,True,,70,70,1.0,,,exia_b_op,exia_b_op,exia_b_op,OP_leftup,idle,,,,,,,,,,,,
