id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,highlight,speaker,characters/1/hide_char_id,characters/2/hide_char_id
re_event_ce02_1_intermission_01_1,40082,re_event_ce02_1_intermission_01,Monologue,Locale_SubScenario:event_ce02_1_intermission_01_1,False,anis,5,idle,TechIndoor_n,black,black,1.0,event_bgm_ce002_story_2,,,,,,,,,,,,,,,,,,,
re_event_ce02_1_intermission_01_2,40082,re_event_ce02_1_intermission_01,Monologue,Locale_SubScenario:event_ce02_1_intermission_01_2,False,,5,idle,,19,190,1.0,,rapi,3,idle,neon,7,idle,b0006_02,1,idle,6000d_02,15,idle,c1002_02,13,idle,,,,
re_event_ce02_1_intermission_01_3,40082,re_event_ce02_1_intermission_01,Monologue,Locale_SubScenario:event_ce02_1_intermission_01_3,False,,5,idle,,190,190,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,,,,
re_event_ce02_1_intermission_01_4,40082,re_event_ce02_1_intermission_01,Monologue,Locale_SubScenario:event_ce02_1_intermission_01_4,False,,5,idle,,190,190,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,,,,
re_event_ce02_1_intermission_01_5,40082,re_event_ce02_1_intermission_01,Self,Locale_SubScenario:event_ce02_1_intermission_01_5,False,,5,idle,,190,190,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,,,,
re_event_ce02_1_intermission_01_6,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_6,True,,5,idle,,30,30,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,rapi,rapi,,
re_event_ce02_1_intermission_01_7,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_7,True,,5,idle,,30,50,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,anis,anis,,
re_event_ce02_1_intermission_01_8,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_8,True,,5,idle,,50,50,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,anis,anis,,
re_event_ce02_1_intermission_01_9,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_9,True,,5,idle,,50,50,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,anis,anis,,
re_event_ce02_1_intermission_01_10,40082,re_event_ce02_1_intermission_01,Self,Locale_SubScenario:event_ce02_1_intermission_01_10,False,,5,idle,,50,50,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,,,,
re_event_ce02_1_intermission_01_11,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_11,True,,5,idle,,50,500,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,anis,anis,,
re_event_ce02_1_intermission_01_12,40082,re_event_ce02_1_intermission_01,Monologue,Locale_SubScenario:event_ce02_1_intermission_01_12,False,,5,idle,,500,500,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,,,,
re_event_ce02_1_intermission_01_13,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_13,True,,5,idle,,300,300,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,rapi,rapi,,
re_event_ce02_1_intermission_01_14,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_14,True,,5,idle,,S_700,S_700,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,neon,neon,,
re_event_ce02_1_intermission_01_15,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_15,True,,5,idle,,300,300,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,rapi,rapi,,
re_event_ce02_1_intermission_01_16,40082,re_event_ce02_1_intermission_01,Self,Locale_SubScenario:event_ce02_1_intermission_01_16,False,,5,idle,,300,300,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,,,,
re_event_ce02_1_intermission_01_17,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_17,True,,5,idle,,300,30,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,rapi,rapi,,
re_event_ce02_1_intermission_01_18,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_18,True,,5,idle,,S_70,S_70,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,neon,neon,,
re_event_ce02_1_intermission_01_19,40082,re_event_ce02_1_intermission_01,Monologue,Locale_SubScenario:event_ce02_1_intermission_01_19,False,,5,idle,,S_70,S_70,1.0,,,3,idle,,7,idle,,1,idle,,15,idle,,13,idle,,,rapi,neon
re_event_ce02_1_intermission_01_20,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_20,True,,5,idle,,S_70,50,1.0,,,,,,,,,1,idle,,15,idle,,13,idle,anis,anis,,
re_event_ce02_1_intermission_01_21,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_21,True,,5,idle,,50,50,1.0,,,,,,,,,1,idle,,15,idle,,13,idle,anis,anis,,
re_event_ce02_1_intermission_01_22,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_22,True,,5,idle,,130,130,1.0,,,,,,,,,1,idle,,15,idle,,13,idle,c1002_02,c1002_02,,
re_event_ce02_1_intermission_01_23,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_23,True,,5,idle,,130,130,1.0,,,,,,,,,1,idle,,15,idle,,13,idle,c1002_02,c1002_02,,
re_event_ce02_1_intermission_01_24,40082,re_event_ce02_1_intermission_01,Speech,Locale_SubScenario:event_ce02_1_intermission_01_24,True,,5,idle,,10,10,1.0,,,,,,,,,1,idle,,15,idle,,13,idle,b0006_02,b0006_02,,
re_event_ce02_1_intermission_01_25,40082,re_event_ce02_1_intermission_01,Monologue,Locale_SubScenario:event_ce02_1_intermission_01_25,False,,5,idle,,10,10,1.0,,,,,,,,,1,idle,,15,idle,,13,idle,,,,
