id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id
event_romanticvalentine_intermission_01_1,40069,event_romanticvalentine_intermission_01,Monologue,Locale_SubScenario:event_romanticvalentine_intermission_01_1,False,PiratePub,S_10,S_10,1.0,none,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_intermission_01_2,40069,event_romanticvalentine_intermission_01,Monologue,Locale_SubScenario:event_romanticvalentine_intermission_01_2,False,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_intermission_01_3,40069,event_romanticvalentine_intermission_01,Speech,Locale_SubScenario:event_romanticvalentine_intermission_01_3,False,,S_10,S_10,1.0,,mast_m,mast_m,mast_m,1,angry,sin_m,3,idle,anchor_m,13,idle,sfx_scn_drinkwater,,,,,,,,,,
event_romanticvalentine_intermission_01_4,40069,event_romanticvalentine_intermission_01,Speech,Locale_SubScenario:event_romanticvalentine_intermission_01_4,True,,S_10,S_10,1.0,bgm_story_girlstalk,mast_m,mast_m,,1,angry,,3,idle,,13,idle,,trony_m,5,special,,,,,,,
event_romanticvalentine_intermission_01_5,40069,event_romanticvalentine_intermission_01,Speech,Locale_SubScenario:event_romanticvalentine_intermission_01_5,True,,S_10,S_10,1.0,,mast_m,mast_m,,1,delight,,3,idle,,13,idle,,,5,special,,,,,,,
event_romanticvalentine_intermission_01_6,40069,event_romanticvalentine_intermission_01,Self,Locale_SubScenario:event_romanticvalentine_intermission_01_6,False,,S_10,S_10,1.0,,mast_m,,,1,delight,,3,idle,,13,idle,,,5,special,,,,,,,
event_romanticvalentine_intermission_01_7,40069,event_romanticvalentine_intermission_01,Speech,Locale_SubScenario:event_romanticvalentine_intermission_01_7,True,,S_10,S_10,1.0,,mast_m,mast_m,,1,delight,,3,idle,,13,idle,,,5,special,,,,,,,
event_romanticvalentine_intermission_01_8,40069,event_romanticvalentine_intermission_01,Speech,Locale_SubScenario:event_romanticvalentine_intermission_01_8,True,,S_10,S_10,1.0,,mast_m,mast_m,,1,delight,,3,idle,,13,idle,,,5,special,,,,,,,
event_romanticvalentine_intermission_01_9,40069,event_romanticvalentine_intermission_01,Speech,Locale_SubScenario:event_romanticvalentine_intermission_01_9,True,,4,4,1.0,,trony_m,trony_m,,1,delight,,3,idle,,13,idle,,,5,special,,,,,,,
event_romanticvalentine_intermission_01_10,40069,event_romanticvalentine_intermission_01,Speech,Locale_SubScenario:event_romanticvalentine_intermission_01_10,True,,4,4,1.0,,sin_m,sin_m,,1,delight,,3,smile,,13,idle,,,5,special,,,,,,,
