id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,fade,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,play_sound,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,characters/9/hide_char_id
event_ce006_1_06_e_1,40079,event_ce006_1_06_e,Monologue,elegg,Locale_MainScenario:event_ce006_1_06_e_1,False,elegg,3,idle,ce006_npc_01,1,idle,ce006_03,13,idle,artcity_d,black,black,1.0,collab_bgm_sb_camp_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_2,40079,event_ce006_1_06_e,Self,elegg,Locale_MainScenario:event_ce006_1_06_e_2,False,,3,idle,,1,idle,,13,idle,,2,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_3,40079,event_ce006_1_06_e,Speech,elegg,Locale_MainScenario:event_ce006_1_06_e_3,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,elegg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_4,40079,event_ce006_1_06_e,Speech,elegg,Locale_MainScenario:event_ce006_1_06_e_4,True,,3,idle,,1,idle,,13,idle,,2,2,1.0,,elegg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_5,40079,event_ce006_1_06_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_06_e_5,True,,3,idle,,1,idle,,13,idle,,2,12,1.3,,ce006_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_6,40079,event_ce006_1_06_e,Speech,ce006_03,Locale_MainScenario:event_ce006_1_06_e_6,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,ce006_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_7,40079,event_ce006_1_06_e,Self,ce006_03,Locale_MainScenario:event_ce006_1_06_e_7,False,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_8,40079,event_ce006_1_06_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_1_06_e_8,True,,3,idle,,1,think,,13,idle,,12,12,1.0,,ce006_npc_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_9,40079,event_ce006_1_06_e,Speech,ce006_npc_01,Locale_MainScenario:event_ce006_1_06_e_9,True,,3,idle,,1,think,,13,idle,,12,12,1.0,,ce006_npc_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_1_06_e_10,40079,event_ce006_1_06_e,Self,ce006_npc_01,Locale_MainScenario:event_ce006_1_06_e_10,False,,3,idle,,1,think,,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
