id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_phantomthiefvsdetective_03_s_1,40059,event_phantomthiefvsdetective_03_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_03_s_1,True,CommanderRoom_n,2,L_20,1.0,bgm_story_girlstalk,,phantom,2,idle,quency_e,12,idle,miranda_c,14,idle
event_phantomthiefvsdetective_03_s_2,40059,event_phantomthiefvsdetective_03_s,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_03_s_2,True,,L_20,S_120,1.0,,,,2,idle,,12,idle,,14,idle
event_phantomthiefvsdetective_03_s_3,40059,event_phantomthiefvsdetective_03_s,Self,quency_e,,Locale_SubScenario:event_phantomthiefvsdetective_03_s_3,False,,S_120,S_120,1.0,,,,2,idle,,12,idle,,14,idle
event_phantomthiefvsdetective_03_s_4,40059,event_phantomthiefvsdetective_03_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_03_s_4,True,,S_120,S_140,1.0,,,,2,idle,,12,idle,,14,angry
event_phantomthiefvsdetective_03_s_5,40059,event_phantomthiefvsdetective_03_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_03_s_5,True,,S_140,S_140,1.0,,Low_2,,2,idle,,12,idle,,14,angry
event_phantomthiefvsdetective_03_s_6,40059,event_phantomthiefvsdetective_03_s,Self,miranda_c,,Locale_SubScenario:event_phantomthiefvsdetective_03_s_6,False,,S_140,S_140,1.0,,,,2,idle,,12,idle,,14,angry
event_phantomthiefvsdetective_03_s_7,40059,event_phantomthiefvsdetective_03_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_03_s_7,True,,L_20,L_20,1.0,,,,2,smile,,12,idle,,14,angry
event_phantomthiefvsdetective_03_s_8,40059,event_phantomthiefvsdetective_03_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_03_s_8,True,,L_20,L_20,1.0,,,,2,smile,,12,idle,,14,angry
event_phantomthiefvsdetective_03_s_9,40059,event_phantomthiefvsdetective_03_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_03_s_9,True,,S_140,S_140,1.0,,,,2,smile,,12,idle,,14,delight
event_phantomthiefvsdetective_03_s_10,40059,event_phantomthiefvsdetective_03_s,Speech,miranda_c,miranda_c,Locale_SubScenario:event_phantomthiefvsdetective_03_s_10,True,,S_140,S_140,1.0,,,,2,smile,,12,idle,,14,delight
event_phantomthiefvsdetective_03_s_11,40059,event_phantomthiefvsdetective_03_s,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_03_s_11,False,,L_20,L_20,1.0,,,,2,surprise,,12,idle,,14,delight
