id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_camera_shake
event_bluewaterisland1_04_s_1,40020,event_bluewaterisland1_04_s,Monologue,Monologue,Locale_SubScenario:event_bluewaterisland1_04_s_1,False,Beach_d,black,black,1.0,none,,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_2,40020,event_bluewaterisland1_04_s,Monologue,Monologue,Locale_SubScenario:event_bluewaterisland1_04_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_3,40020,event_bluewaterisland1_04_s,Narration,Narration,Locale_SubScenario:event_bluewaterisland1_04_s_3,False,,5,1,2.0,bgm_story_splashpad,sfx_scn_drill,,,,,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_4,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_4,True,,1,1,1.0,,,liter_s,liter_s,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_5,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_5,True,,1,1,1.0,,,liter_s,,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_6,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_6,True,,1,1,1.0,,,liter_s,,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_7,40020,event_bluewaterisland1_04_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_04_s_7,False,,1,1,1.0,,,,,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_8,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_8,True,,1,XS_10,2.0,,,liter_s,,1,no,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_9,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_9,True,,XS_10,XS_10,1.0,,,liter_s,,1,no,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_10,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_10,True,,XS_10,XS_10,1.0,,,liter_s,,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_11,40020,event_bluewaterisland1_04_s,Narration,Narration,Locale_SubScenario:event_bluewaterisland1_04_s_11,False,,black,black,1.0,,sfx_scn_drill,,,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_12,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_12,False,,XS_10,XS_10,1.0,,,liter_s,,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_13,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_13,True,,XS_10,1,2.0,,,liter_s,,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_14,40020,event_bluewaterisland1_04_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_04_s_14,False,,1,1,1.0,,,,,1,idle,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_15,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_15,True,,1,1,1.0,,,liter_s,,1,delight,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_16,40020,event_bluewaterisland1_04_s,Speech,liter_s,Locale_SubScenario:event_bluewaterisland1_04_s_16,True,,1,1,1.0,,,liter_s,,1,delight,,,,,,,,,,,,,,
event_bluewaterisland1_04_s_17,40020,event_bluewaterisland1_04_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_04_s_17,True,LogHouseOut_d,1,1,1.0,,,rapi_s,,1,delight,liter_s,rapi_s,1,idle,frima_s,13,sleep_02,black,,,,,,
event_bluewaterisland1_04_s_18,40020,event_bluewaterisland1_04_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_04_s_18,True,,1,1,1.0,,,rapi_s,,,,,,1,idle,,13,sleep_02,,,,,,,
event_bluewaterisland1_04_s_19,40020,event_bluewaterisland1_04_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_04_s_19,True,,1,1,1.0,,,rapi_s,,,,,,1,idle,,13,sleep_02,,,,,,,
event_bluewaterisland1_04_s_20,40020,event_bluewaterisland1_04_s,Self,Self,Locale_SubScenario:event_bluewaterisland1_04_s_20,False,,1,1,1.0,,,,,,,,,1,idle,,13,sleep_02,,,,,,,
event_bluewaterisland1_04_s_21,40020,event_bluewaterisland1_04_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_04_s_21,True,,1,1,1.0,,,rapi_s,,,,,,1,idle,,13,sleep_02,,,,,,,
event_bluewaterisland1_04_s_22,40020,event_bluewaterisland1_04_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_04_s_22,True,,1,1,1.0,,,rapi_s,,,,,,1,idle,,13,sleep_02,,,,,,,
event_bluewaterisland1_04_s_23,40020,event_bluewaterisland1_04_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_04_s_23,False,,1,10,2.0,,,rapi_s,,,,,,1,think,,13,sleep_02,,,,,,,
event_bluewaterisland1_04_s_24,40020,event_bluewaterisland1_04_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_04_s_24,True,,10,10,1.0,,,rapi_s,,,,,,1,idle,,13,sleep_02,,,,,,,
event_bluewaterisland1_04_s_25,40020,event_bluewaterisland1_04_s,Speech,rapi_s,Locale_SubScenario:event_bluewaterisland1_04_s_25,True,,10,10,1.0,,,rapi_s,,,,,,1,idle,,13,sleep_02,,,,,,,
