id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade,play_sound,set_camera_shake
event_goldencoinrush2_b01_s_1,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_1,True,mustang,17,idle,soda_b,5,surprise,alice_b,7,surprise,CoinRushMainHall,17,17,1.0,event_bgm_goldcoinrush_inst,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_2,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_2,True,,17,idle,,5,surprise,,7,surprise,,17,17,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_3,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_3,True,,17,idle,,5,surprise,,7,surprise,,17,L_170,0.7,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_4,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_4,True,,17,delight,,5,surprise,,7,surprise,,L_170,L_1700,0.7,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_5,40049,event_goldencoinrush2_b01_s,Speech,soda_b,soda_b,Locale_MainScenario:event_goldencoinrush2_b01_s_5,True,,17,delight,,5,surprise,,7,surprise,,6,6,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_6,40049,event_goldencoinrush2_b01_s,Speech,alice_b,alice_b,Locale_MainScenario:event_goldencoinrush2_b01_s_6,True,,17,delight,,5,surprise,,7,surprise,,6,6,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_7,40049,event_goldencoinrush2_b01_s,Monologue,alice_b,,Locale_MainScenario:event_goldencoinrush2_b01_s_7,False,,17,delight,,5,think,,7,surprise,,6,100,1.6,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_8,40049,event_goldencoinrush2_b01_s,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b01_s_8,False,,17,delight,,5,think,,7,surprise,,black,black,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_9,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_9,True,,17,delight,,5,think,,7,surprise,,17,17,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_10,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_10,True,,17,think,,5,think,,7,surprise,,17,17,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_11,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_11,True,,17,think,,5,think,,7,surprise,,17,17,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_12,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_12,True,,17,delight,,5,think,,7,surprise,,17,L_170,0.7,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_13,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_13,True,,17,delight,,5,think,,7,surprise,,L_170,L_170,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_14,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_14,True,,17,delight,,5,think,,7,surprise,,L_170,L_170,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_15,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_15,True,,17,delight,,5,think,,7,surprise,,L_170,L_170,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_16,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_16,True,,17,delight,,5,think,,7,surprise,,L_170,L_170,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_17,40049,event_goldencoinrush2_b01_s,Speech,mustang,mustang,Locale_MainScenario:event_goldencoinrush2_b01_s_17,True,,17,delight,,5,think,,7,surprise,,L_170,L_170,1.0,,,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_18,40049,event_goldencoinrush2_b01_s,Monologue,,,Locale_MainScenario:event_goldencoinrush2_b01_s_18,False,,17,delight,,5,think,,7,surprise,,black,black,1.0,none,mustang,,,,,,,,,,,,,,
event_goldencoinrush2_b01_s_19,40049,event_goldencoinrush2_b01_s,Speech,folkwang_b,folkwang_b,Locale_MainScenario:event_goldencoinrush2_b01_s_19,True,,,,,5,idle,,7,surprise,,130,130,1.0,bgm_story_girlstalk,,folkwang_b,13,delight,novel,1,think,exia_c2,3,idle,,,,,
event_goldencoinrush2_b01_s_20,40049,event_goldencoinrush2_b01_s,Speech,folkwang_b,folkwang_b,Locale_MainScenario:event_goldencoinrush2_b01_s_20,True,,,,,5,idle,,7,surprise,,130,130,1.0,,,,13,delight,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_21,40049,event_goldencoinrush2_b01_s,Self,,,Locale_MainScenario:event_goldencoinrush2_b01_s_21,False,,,,,5,idle,,7,surprise,,130,130,1.0,,,,13,delight,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_22,40049,event_goldencoinrush2_b01_s,Speech,folkwang_b,folkwang_b,Locale_MainScenario:event_goldencoinrush2_b01_s_22,True,,,,,5,idle,,7,surprise,,130,12,1.0,,,,13,pain,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_23,40049,event_goldencoinrush2_b01_s,Speech,novel,novel,Locale_MainScenario:event_goldencoinrush2_b01_s_23,True,,,,,5,idle,,7,surprise,,12,12,1.0,,,,13,pain,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_24,40049,event_goldencoinrush2_b01_s,Speech,novel,novel,Locale_MainScenario:event_goldencoinrush2_b01_s_24,True,,,,,5,idle,,7,surprise,,12,12,1.0,,,,13,pain,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_25,40049,event_goldencoinrush2_b01_s,Speech,folkwang_b,folkwang_b,Locale_MainScenario:event_goldencoinrush2_b01_s_25,True,,,,,5,idle,,7,surprise,,12,12,1.0,,,,13,pain,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_26,40049,event_goldencoinrush2_b01_s,Self,,,Locale_MainScenario:event_goldencoinrush2_b01_s_26,False,,,,,5,idle,,7,surprise,,12,12,1.0,,,,13,pain,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_27,40049,event_goldencoinrush2_b01_s,Speech,novel,novel,Locale_MainScenario:event_goldencoinrush2_b01_s_27,True,,,,,5,idle,,7,surprise,,12,S_10,0.7,,,,13,pain,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_28,40049,event_goldencoinrush2_b01_s,Speech,novel,novel,Locale_MainScenario:event_goldencoinrush2_b01_s_28,True,,,,,5,idle,,7,surprise,,S_10,S_100,0.7,,,,13,pain,,1,think,,3,idle,,,,,
event_goldencoinrush2_b01_s_29,40049,event_goldencoinrush2_b01_s,Speech,novel,novel,Locale_MainScenario:event_goldencoinrush2_b01_s_29,True,,,,,5,idle,,7,surprise,,S_100,S_100,1.0,,,,13,pain,,1,think,,3,idle,,,,,
