id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_dazzlingcupid_05_e_1,40029,event_dazzlingcupid_05_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_05_e_1,False,MaidCafe,9,9,1.0,none,,,,,,,,tia,5,worry
event_dazzlingcupid_05_e_2,40029,event_dazzlingcupid_05_e,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_05_e_2,False,,9,5,1.0,bgm_story_leisuretime,sfx_scn_shutter,,,,,,,,5,worry
event_dazzlingcupid_05_e_3,40029,event_dazzlingcupid_05_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_05_e_3,False,,5,5,1.0,,,,,,,,,,5,worry
event_dazzlingcupid_05_e_4,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_4,True,,5,3,1.0,,,naga,,,naga,3,surprise,,5,worry
event_dazzlingcupid_05_e_5,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_5,True,,3,3,1.0,,,naga,,,,3,void,,5,worry
event_dazzlingcupid_05_e_6,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_6,True,,3,3,1.0,,,naga,,,,3,void,,5,idle
event_dazzlingcupid_05_e_7,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_7,True,,3,30,0.7,,,naga,,,,3,idle,,5,idle
event_dazzlingcupid_05_e_8,40029,event_dazzlingcupid_05_e,Choice,,Locale_SubScenario:event_dazzlingcupid_05_e_8,False,,30,30,1.0,,,,event_dazzlingcupid_05_e_10,,,3,idle,,5,idle
event_dazzlingcupid_05_e_9,40029,event_dazzlingcupid_05_e,Choice,,Locale_SubScenario:event_dazzlingcupid_05_e_9,False,,30,30,1.0,,,,event_dazzlingcupid_05_e_12,,,3,idle,,5,idle
event_dazzlingcupid_05_e_10,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_10,True,,30,30,1.0,,,naga,,,,3,worry,,5,idle
event_dazzlingcupid_05_e_11,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_11,True,,30,30,1.0,,,naga,event_dazzlingcupid_05_e_15,,,3,worry,,5,idle
event_dazzlingcupid_05_e_12,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_12,True,,30,30,1.0,,,naga,,,,3,surprise,,5,idle
event_dazzlingcupid_05_e_13,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_13,True,,30,30,1.0,,,naga,,,,3,surprise,,5,idle
event_dazzlingcupid_05_e_14,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_14,True,,30,30,1.0,,,naga,,,,3,delight,,5,idle
event_dazzlingcupid_05_e_15,40029,event_dazzlingcupid_05_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_05_e_15,True,,30,30,1.0,,,naga,,,,3,void,,5,idle
