id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,characters/0/hide_char_id,play_sound
event_exnii2_01_e_1,40071,event_exnii2_01_e,Narration,Locale_SubScenario:event_exnii2_01_e_1,False,TemporaryCamp_r,1,1,1.0,bgm_story_cottoncandy,,,,,,,,,,,,,,,,,,,,
event_exnii2_01_e_2,40071,event_exnii2_01_e,Speech,Locale_SubScenario:event_exnii2_01_e_2,True,,1,1,1.0,,ce004_03,ce004_03,ce004_03,1,idle,,,,,,,,,,,,,,,
event_exnii2_01_e_3,40071,event_exnii2_01_e,Self,Locale_SubScenario:event_exnii2_01_e_3,False,,1,1,1.0,,ce004_03,,,1,idle,,,,,,,,,,,,,,,
event_exnii2_01_e_4,40071,event_exnii2_01_e,Speech,Locale_SubScenario:event_exnii2_01_e_4,True,,1,1,1.0,,ce004_03,ce004_03,,1,idle,,,,,,,,,,,,,,,
event_exnii2_01_e_5,40071,event_exnii2_01_e,Speech,Locale_SubScenario:event_exnii2_01_e_5,True,,1,1,1.0,,ce004_03,ce004_03,,1,idle,centi,5,delight,pepper,7,idle,ce005_03,9,idle,,,,,,
event_exnii2_01_e_6,40071,event_exnii2_01_e,Speech,Locale_SubScenario:event_exnii2_01_e_6,True,,1,6,1.0,,ce004_03,ce004_03,,1,idle,,5,delight,,7,idle,,9,idle,,,,,,
event_exnii2_01_e_7,40071,event_exnii2_01_e,Speech,Locale_SubScenario:event_exnii2_01_e_7,True,,6,6,1.0,,centi,centi,,1,idle,,5,delight,,7,idle,,9,idle,,,,,,
event_exnii2_01_e_8,40071,event_exnii2_01_e,Speech,Locale_SubScenario:event_exnii2_01_e_8,True,,6,event_exnii_talk_07,1.0,,pepper,pepper,,1,idle,,5,delight,,7,delight,,9,idle,,,,,,
event_exnii2_01_e_9,40071,event_exnii2_01_e,Speech,Locale_SubScenario:event_exnii2_01_e_9,True,,event_exnii_talk_07,event_exnii_talk_07,1.0,,ce005_03,ce005_03,,1,idle,,5,delight,,7,delight,,9,idle,,,,,,
event_exnii2_01_e_10,40071,event_exnii2_01_e,Speech,Locale_SubScenario:event_exnii2_01_e_10,True,,event_exnii_talk_07,event_exnii_talk_07,1.0,,pepper,pepper,,1,idle,,5,delight,,7,delight,,9,idle,,,,,,
