id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_newflavor_03_e_1,40073,event_newflavor_03_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_e_1,True,MaidCafe,13,XS_130,1.5,none,,,,ade,3,idle,,bready,1,special,crust,13,delight
event_newflavor_03_e_2,40073,event_newflavor_03_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_e_2,True,,XS_130,XS_130,1.0,,,,,,3,idle,,,1,special,,13,special
event_newflavor_03_e_3,40073,event_newflavor_03_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_e_3,True,,XS_130,XS_130,1.0,,,,,,3,idle,,,1,special,,13,special
event_newflavor_03_e_4,40073,event_newflavor_03_e,Self,crust,,Locale_SubScenario:event_newflavor_03_e_4,False,,XS_130,XS_130,1.0,,,,,,3,idle,,,1,special,,13,special
event_newflavor_03_e_5,40073,event_newflavor_03_e,Self,crust,,Locale_SubScenario:event_newflavor_03_e_5,False,,XS_130,XS_130,1.0,,,,,,3,idle,,,1,special,,13,special
event_newflavor_03_e_6,40073,event_newflavor_03_e,Monologue,crust,,Locale_SubScenario:event_newflavor_03_e_6,False,,black,black,1.0,bgm_mystery,,,,,3,idle,,,1,special,,13,special
event_newflavor_03_e_7,40073,event_newflavor_03_e,Monologue,crust,,Locale_SubScenario:event_newflavor_03_e_7,False,,black,black,1.0,,,,,,3,idle,,,1,special,,13,special
event_newflavor_03_e_8,40073,event_newflavor_03_e,Monologue,crust,,Locale_SubScenario:event_newflavor_03_e_8,False,,black,black,1.0,,,,,,3,idle,,,1,special,,13,special
event_newflavor_03_e_9,40073,event_newflavor_03_e,Self,crust,,Locale_SubScenario:event_newflavor_03_e_9,False,,XS_130,XS_130,1.3,,,,,,3,idle,,,1,special,,13,sad
event_newflavor_03_e_10,40073,event_newflavor_03_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_e_10,True,,XS_130,XS_130,1.0,,,,,,3,idle,,,1,special,,13,sad
event_newflavor_03_e_11,40073,event_newflavor_03_e,Speech,crust,bready,Locale_SubScenario:event_newflavor_03_e_11,False,,XS_130,12,1.3,,,,,,3,idle,,,1,special,,13,sad
event_newflavor_03_e_12,40073,event_newflavor_03_e,Speech,ade,ade,Locale_SubScenario:event_newflavor_03_e_12,True,,30,30,1.0,,,,,,3,worried,,,1,special,,13,sad
event_newflavor_03_e_13,40073,event_newflavor_03_e,Speech,ade,ade,Locale_SubScenario:event_newflavor_03_e_13,True,,30,30,1.0,,,,,,3,worried,,,1,special,,13,sad
event_newflavor_03_e_14,40073,event_newflavor_03_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_e_14,True,,12,12,1.0,,,,,,3,worried,,,1,special,,13,sad
event_newflavor_03_e_15,40073,event_newflavor_03_e,Speech,ade,ade,Locale_SubScenario:event_newflavor_03_e_15,True,,30,30,1.0,,,,,,3,worried,,,1,special,,13,sad
event_newflavor_03_e_16,40073,event_newflavor_03_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_03_e_16,True,,12,12,1.0,,,,,,3,worried,,,1,special,,13,sad
event_newflavor_03_e_17,40073,event_newflavor_03_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_e_17,False,,12,12,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_18,40073,event_newflavor_03_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_e_18,True,,12,12,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_19,40073,event_newflavor_03_e,Speech,ade,ade,Locale_SubScenario:event_newflavor_03_e_19,True,,12,2,1.3,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_20,40073,event_newflavor_03_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_e_20,True,,2,2,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_21,40073,event_newflavor_03_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_e_21,True,,2,2,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_22,40073,event_newflavor_03_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_e_22,True,,2,2,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_23,40073,event_newflavor_03_e,Speech,ade,ade,Locale_SubScenario:event_newflavor_03_e_23,True,,2,2,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_24,40073,event_newflavor_03_e,Speech,ade,ade,Locale_SubScenario:event_newflavor_03_e_24,True,,2,2,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_25,40073,event_newflavor_03_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_e_25,True,,2,2,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_26,40073,event_newflavor_03_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_03_e_26,True,,2,2,1.0,,,,,,3,worried,,,1,no,,13,sad
event_newflavor_03_e_27,40073,event_newflavor_03_e,Speech,ade,ade,Locale_SubScenario:event_newflavor_03_e_27,True,,2,2,1.0,,,,,,3,worried,,,1,no,,13,sad
