id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_boomtheghost1_06_s_1,40084,event_boomtheghost1_06_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_06_s_1,True,Deck_n,S_70,S_70,1.0,bgm_story_luckybreak,,,elegg_s,7,idle,yan_s,5,idle,tove_s,3,surprise,centi_s,1,idle,frima_s,13,idle,pepper_s,15,idle,,,
event_boomtheghost1_06_s_2,40084,event_boomtheghost1_06_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_06_s_2,True,,S_70,S_70,1.0,,Low_2,,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
event_boomtheghost1_06_s_3,40084,event_boomtheghost1_06_s,Narration,elegg_s,,Locale_MainScenario:event_boomtheghost1_06_s_3,False,,black,black,1.0,,,sfx_scn_tyrantcry,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
event_boomtheghost1_06_s_4,40084,event_boomtheghost1_06_s,Monologue,elegg_s,,Locale_MainScenario:event_boomtheghost1_06_s_4,False,,black,black,1.0,,,,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
event_boomtheghost1_06_s_5,40084,event_boomtheghost1_06_s,Monologue,elegg_s,,Locale_MainScenario:event_boomtheghost1_06_s_5,False,,black,black,1.0,,,,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
event_boomtheghost1_06_s_6,40084,event_boomtheghost1_06_s,Monologue,elegg_s,,Locale_MainScenario:event_boomtheghost1_06_s_6,False,,black,black,1.0,,,,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
event_boomtheghost1_06_s_7,40084,event_boomtheghost1_06_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_06_s_7,True,,S_70,S_700,0.5,,,,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
event_boomtheghost1_06_s_8,40084,event_boomtheghost1_06_s,Monologue,elegg_s,,Locale_MainScenario:event_boomtheghost1_06_s_8,False,,S_700,S_700,1.0,,,,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
event_boomtheghost1_06_s_9,40084,event_boomtheghost1_06_s,Speech,yan_s,yan_s,Locale_MainScenario:event_boomtheghost1_06_s_9,True,,S_700,S_500,1.0,,,,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
event_boomtheghost1_06_s_10,40084,event_boomtheghost1_06_s,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_06_s_10,True,,S_500,S_300,1.0,,,,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,idle,,,
