id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_absolute2_01_e_1,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_1,False,RuinIndoor,300,300,1.0,bgm_story_discussion,,signal,1,idle,emma_t,3,worry,,,,,,
event_absolute2_01_e_2,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_2,False,,300,30,0.7,,,,1,idle,,3,worry,,,,,,
event_absolute2_01_e_3,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_3,True,,30,31,1.0,,,,1,idle,,3,worry,,,,,,
event_absolute2_01_e_4,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_4,True,,31,31,1.0,,,,1,idle,,3,worry,,,,,,
event_absolute2_01_e_5,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_5,False,,31,31,1.0,,,,1,idle,,3,surprise,,,,,,
event_absolute2_01_e_6,40086,event_absolute2_01_e,Narration,emma_t,,Locale_MainScenario:event_absolute2_01_e_6,False,,31,5,1.5,,,,1,idle,,3,surprise,,,,,,
event_absolute2_01_e_7,40086,event_absolute2_01_e,Speech,emma_t,signal,Locale_MainScenario:event_absolute2_01_e_7,False,,5,5,1.0,,,,1,idle,,3,surprise,,,,,,
event_absolute2_01_e_8,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_8,True,,5,31,1.5,,,,1,idle,,3,worry,,,,,,
event_absolute2_01_e_9,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_9,True,,31,31,1.0,,,,1,idle,,3,worry,,,,,,
event_absolute2_01_e_10,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_10,True,,31,31,1.0,,,,1,idle,,3,worry,,,,,,
event_absolute2_01_e_11,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_11,True,,31,31,1.0,,,,1,idle,,3,angry,,,,,,
event_absolute2_01_e_12,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_12,True,,31,31,1.0,,,,1,idle,,3,angry,,,,,,
event_absolute2_01_e_13,40086,event_absolute2_01_e,Speech,scarecommander,scarecommander,Locale_MainScenario:event_absolute2_01_e_13,True,,31,1315,2.0,,,,1,idle,,3,angry,scarecommander,13,idle,soldiereg,15,idle
event_absolute2_01_e_14,40086,event_absolute2_01_e,Speech,soldiereg,soldiereg,Locale_MainScenario:event_absolute2_01_e_14,False,,1315,1315,1.0,,,,1,idle,,3,angry,,13,idle,,15,idle
event_absolute2_01_e_15,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_15,True,,300,300,1.0,,,,1,idle,,3,angry,,13,idle,,15,idle
event_absolute2_01_e_16,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_16,True,,XS_100,XS_10,1.0,,,,1,idle,,3,angry,,13,idle,,15,idle
event_absolute2_01_e_17,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_17,True,,XS_10,31,1.0,,,,1,idle,,3,angry,,13,idle,,15,idle
event_absolute2_01_e_18,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_18,True,,31,31,1.0,,,,1,idle,,3,angry,,13,idle,,15,idle
event_absolute2_01_e_19,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_19,True,,300,300,1.0,,black,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_20,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_20,True,,300,300,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_21,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_21,True,,300,30,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_22,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_22,True,,30,30,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_23,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_23,True,,30,XS_10,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_24,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_24,True,,XS_10,XS_10,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_25,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_25,True,,XS_10,XS_10,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_26,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_26,True,,XS_10,XS_10,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_27,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_27,True,,XS_10,31,1.0,,,,1,idle,,3,surprise,,13,idle,,15,idle
event_absolute2_01_e_28,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_28,True,,31,31,1.0,,,,1,idle,,3,surprise,,13,idle,,15,idle
event_absolute2_01_e_29,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_29,True,,31,31,1.0,,,,1,idle,,3,surprise,,13,idle,,15,idle
event_absolute2_01_e_30,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_30,True,,31,31,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_31,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_31,True,,31,31,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_32,40086,event_absolute2_01_e,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_01_e_32,True,,31,31,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_33,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_33,True,,31,31,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_34,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_34,True,,31,XS_10,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_35,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_35,True,,XS_10,XS_10,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_36,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_36,True,,XS_10,XS_10,1.0,,,,1,idle,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_37,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_37,True,,XS_10,XS_100,1.0,,,,1,sad,,3,worry,,13,idle,,15,idle
event_absolute2_01_e_38,40086,event_absolute2_01_e,Speech,signal,signal,Locale_MainScenario:event_absolute2_01_e_38,True,,XS_100,XS_100,1.0,,,,1,sad,,3,worry,,13,idle,,15,idle
