id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_brandnewyear_01_e_1,40005,event_brandnewyear_01_e,Monologue,Locale_SubScenario:event_brandnewyear_01_e_1,False,Restaurant,1,15,1.5,bgm_story_backtonormal,,,,,helm_p,1,idle,julia_p,15,think,,,,
event_brandnewyear_01_e_2,40005,event_brandnewyear_01_e,Narration,Locale_SubScenario:event_brandnewyear_01_e_2,False,,15,15,1.0,,,,,,,1,idle,,15,"expression_0,think",,,,
event_brandnewyear_01_e_3,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_3,True,,15,1,1.0,,helm_p,helm,,,,1,delight,,15,think,,,,
event_brandnewyear_01_e_4,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_4,True,,1,1,1.0,,helm_p,helm,,,,1,delight,,15,think,,,,
event_brandnewyear_01_e_5,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_5,True,,1,S_10,1.0,,helm_p,helm,,,,1,delight,,15,think,,,,
event_brandnewyear_01_e_6,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_6,True,,S_10,S_10,1.0,,helm_p,helm,,,,1,delight,,15,think,,,,
event_brandnewyear_01_e_7,40005,event_brandnewyear_01_e,Narration,Locale_SubScenario:event_brandnewyear_01_e_7,False,,S_150,S_150,1.0,none,,,sfx_scn_violin,,,1,no,,15,"expression_0,think",,,,
event_brandnewyear_01_e_8,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_8,True,,S_150,S_150,1.0,,colorfulvip,colorfulvip,,,,1,no,,15,think,,,,
event_brandnewyear_01_e_9,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_9,True,,S_150,S_150,1.0,,solemnofficer,solemnofficer,,,,1,no,,15,think,,,,
event_brandnewyear_01_e_10,40005,event_brandnewyear_01_e,Speech,Locale_SubScenario:event_brandnewyear_01_e_10,False,,S_150,S_10,1.0,,helm_p,helm,,,,1,no,,15,think,,,,
