id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target
event_1yearalready_01_1,130003,event_1yearalready_01,Narration,Locale_SubScenario:event_1yearalready_01_1,False,CommanderRoom,1,1,1.0,sfx_scn_smallalarm,bgm_story_backtonormal,,,,,,,,,,,,,
event_1yearalready_01_2,130003,event_1yearalready_01,Monologue,Locale_SubScenario:event_1yearalready_01_2,False,,1,1,1.0,,,,,,,,,,,,,,,
event_1yearalready_01_3,130003,event_1yearalready_01,Monologue,Locale_SubScenario:event_1yearalready_01_3,False,,1,10,1.0,,,,,,,,,,,,,,,
event_1yearalready_01_4,130003,event_1yearalready_01,Monologue,Locale_SubScenario:event_1yearalready_01_4,False,,10,10,1.0,,,,,,,,,,,,,,,
event_1yearalready_01_5,130003,event_1yearalready_01,Monologue,Locale_SubScenario:event_1yearalready_01_5,False,,10,10,1.0,,,,,,,,,,,,,,,
event_1yearalready_01_6,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_6,True,NikkeRoom,30,30,1.0,,none,rapi,rapi,rapi,3,idle,anis,1,idle,neon,13,idle,black,
event_1yearalready_01_7,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_7,True,,30,30,1.0,,,rapi,rapi,,3,idle,,1,idle,,13,idle,,
event_1yearalready_01_8,130003,event_1yearalready_01,Self,Locale_SubScenario:event_1yearalready_01_8,False,,30,30,1.0,,,,,,3,idle,,1,idle,,13,idle,,
event_1yearalready_01_9,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_9,True,,30,30,1.0,,,rapi,rapi,,3,idle,,1,idle,,13,idle,,
event_1yearalready_01_10,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_10,True,,30,30,1.0,,,rapi,rapi,,3,idle,,1,idle,,13,idle,,
event_1yearalready_01_11,130003,event_1yearalready_01,Self,Locale_SubScenario:event_1yearalready_01_11,False,,30,30,1.0,,,,,,3,idle,,1,idle,,13,idle,,
event_1yearalready_01_12,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_12,True,,30,30,1.0,,,rapi,rapi,,3,worry,,1,idle,,13,idle,,
event_1yearalready_01_13,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_13,False,,30,30,1.0,,,rapi,rapi,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_14,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_14,True,,30,30,1.0,,,rapi,rapi,,3,worry,,1,idle,,13,idle,,
event_1yearalready_01_15,130003,event_1yearalready_01,Self,Locale_SubScenario:event_1yearalready_01_15,False,,30,30,1.0,,bgm_story_herecomestrouble,,,,3,worry,,1,idle,,13,idle,,
event_1yearalready_01_16,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_16,False,,30,3,1.0,,,rapi,rapi,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_17,130003,event_1yearalready_01,Self,Locale_SubScenario:event_1yearalready_01_17,False,,3,3,1.0,,,,,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_18,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_18,True,,3,12,1.0,,,neon,neon,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_19,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_19,True,,12,12,1.0,,,neon,neon,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_20,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_20,True,,12,12,1.0,,,anis,anis,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_21,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_21,True,,12,12,1.0,,,anis,anis,,3,think,,1,idle,,13,idle,,
event_1yearalready_01_22,130003,event_1yearalready_01,Speech,Locale_SubScenario:event_1yearalready_01_22,True,,12,2,1.0,,,rapi,rapi,,3,think,,1,idle,,13,idle,,
