id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_ce006_2_02_s_1,40080,event_ce006_2_02_s,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_s_1,True,neon,5,idle,anis,3,void,elegg,1,idle,rapi,13,idle,hermin,15,idle,bunkerofartist,XS_150,XS_150,1.0,collab_bgm_sb_hallofrecords,
event_ce006_2_02_s_2,40080,event_ce006_2_02_s,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_s_2,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,
event_ce006_2_02_s_3,40080,event_ce006_2_02_s,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_s_3,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,
event_ce006_2_02_s_4,40080,event_ce006_2_02_s,Self,hermin,,Locale_MainScenario:event_ce006_2_02_s_4,False,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,
event_ce006_2_02_s_5,40080,event_ce006_2_02_s,Self,hermin,,Locale_MainScenario:event_ce006_2_02_s_5,False,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,
event_ce006_2_02_s_6,40080,event_ce006_2_02_s,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_s_6,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,
event_ce006_2_02_s_7,40080,event_ce006_2_02_s,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_s_7,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,
event_ce006_2_02_s_8,40080,event_ce006_2_02_s,Speech,hermin,machinesound,Locale_MainScenario:event_ce006_2_02_s_8,False,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,
event_ce006_2_02_s_9,40080,event_ce006_2_02_s,Speech,hermin,hermin,Locale_MainScenario:event_ce006_2_02_s_9,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_1500,1.3,,
event_ce006_2_02_s_10,40080,event_ce006_2_02_s,Monologue,hermin,,Locale_MainScenario:event_ce006_2_02_s_10,False,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,black,black,1.0,,
