id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,set_filter_01
event_bluewaterisland2_05_e_1,40021,event_bluewaterisland2_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_e_1,True,summerheal_event,event,idle,none,summerheal_mary,summerheal_mary,1.0,bgm_story_inwonderland,,,,,,,,,
event_bluewaterisland2_05_e_2,40021,event_bluewaterisland2_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_e_2,True,,event,idle,,summerheal_mary,summerheal_mary,1.0,,,,,,,,,,
event_bluewaterisland2_05_e_3,40021,event_bluewaterisland2_05_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_05_e_3,False,,event,idle,,summerheal_mary,summerheal_mary,1.0,,,,,,,,,,
event_bluewaterisland2_05_e_4,40021,event_bluewaterisland2_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_e_4,True,,event,idle,,summerheal_mary,summerheal_mary,1.0,,,,,,,,,,
event_bluewaterisland2_05_e_5,40021,event_bluewaterisland2_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_e_5,True,,event,idle,,summerheal_mary,summerheal_neon,3.0,,,,,,,,,,
event_bluewaterisland2_05_e_6,40021,event_bluewaterisland2_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_e_6,True,,event,idle,,summerheal_neon,summerheal_neon,1.0,,,,,,,,,,
event_bluewaterisland2_05_e_7,40021,event_bluewaterisland2_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_e_7,True,,event,idle,,summerheal_neon,summerheal_neon,1.0,,,,,,,,,,
event_bluewaterisland2_05_e_8,40021,event_bluewaterisland2_05_e,Speech,mary_s,mary_s,Locale_SubScenario:event_bluewaterisland2_05_e_8,True,,event,idle,,summerheal_neon,summerheal_neon,1.0,,,,,,,,,,
event_bluewaterisland2_05_e_9,40021,event_bluewaterisland2_05_e,Self,,Self,Locale_SubScenario:event_bluewaterisland2_05_e_9,False,,event,idle,,summerheal_neon,summerheal_neon,1.0,,,,,,,,,,
event_bluewaterisland2_05_e_10,40021,event_bluewaterisland2_05_e,Narration,,Narration,Locale_SubScenario:event_bluewaterisland2_05_e_10,False,,event,idle,,summerheal_neon,summerheal_all,4.0,none,sfx_scn_wavebreak,,,,,,,,
