id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
event_ce006_2_06_s_1,40080,event_ce006_2_06_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_06_s_1,True,bunkerofartist,1,1,1.0,collab_bgm_sb_lookout,,,ce006_03,2,angry,,elegg,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_2,40080,event_ce006_2_06_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_06_s_2,True,,1,1,1.0,,,,,2,angry,,,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_3,40080,event_ce006_2_06_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_06_s_3,True,,1,1,1.0,,,,,2,angry,,,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_4,40080,event_ce006_2_06_s,Self,ce006_03,,Locale_MainScenario:event_ce006_2_06_s_4,False,,1,1,1.0,,,,,2,angry,,,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_5,40080,event_ce006_2_06_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_06_s_5,True,,1,1,1.0,,,,,2,angry,,,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_6,40080,event_ce006_2_06_s,Narration,elegg,,Locale_MainScenario:event_ce006_2_06_s_6,False,,black,black,1.0,,sfx_scn_heavywaterfall,,,2,angry,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_7,40080,event_ce006_2_06_s,Monologue,elegg,,Locale_MainScenario:event_ce006_2_06_s_7,False,,black,black,1.0,,,,,2,angry,,,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_8,40080,event_ce006_2_06_s,Monologue,elegg,,Locale_MainScenario:event_ce006_2_06_s_8,False,,black,black,1.0,,,,,2,angry,,,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_9,40080,event_ce006_2_06_s,Monologue,elegg,,Locale_MainScenario:event_ce006_2_06_s_9,False,,black,black,1.0,,,,,2,angry,,,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_s_10,40080,event_ce006_2_06_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_06_s_10,True,,1,1,1.0,,,,,2,surprise,,,12,special,,,,,,,,,,,,,,,,,,,,,,,,,
