id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,jump_target,play_sound
event_dazzlingcupid_04_s_1,40029,event_dazzlingcupid_04_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_04_s_1,False,Office,1,1,1.0,none,,,,,,,,,,,,,
event_dazzlingcupid_04_s_2,40029,event_dazzlingcupid_04_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_s_2,False,,1,1,1.0,bgm_story_languor,,,,,,,,,,,,,
event_dazzlingcupid_04_s_3,40029,event_dazzlingcupid_04_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_s_3,False,,1,1,1.0,,,,,,,,,,,,,,
event_dazzlingcupid_04_s_4,40029,event_dazzlingcupid_04_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_04_s_4,False,,1,1,1.0,,Grey,black,,,,,,,,,,,
event_dazzlingcupid_04_s_5,40029,event_dazzlingcupid_04_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_s_5,True,,1,3,0.7,,Grey,,naga,naga,3,idle,,,,,,,
event_dazzlingcupid_04_s_6,40029,event_dazzlingcupid_04_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_s_6,True,,3,3,1.0,,Grey,,naga,,3,idle,,,,,,,
event_dazzlingcupid_04_s_7,40029,event_dazzlingcupid_04_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_s_7,True,,3,30,0.7,,Grey,,naga,,3,delight,,,,,,,
event_dazzlingcupid_04_s_8,40029,event_dazzlingcupid_04_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_s_8,True,,30,30,1.0,,Grey,,naga,,3,worry,,,,,,,
event_dazzlingcupid_04_s_9,40029,event_dazzlingcupid_04_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_s_9,True,,30,30,1.0,,Grey,,naga,,3,worry,,,,,,,
event_dazzlingcupid_04_s_10,40029,event_dazzlingcupid_04_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_s_10,True,,30,30,1.0,,Grey,,naga,,3,delight,,,,,,,
