id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound
event_firstaffection_2_1,130002,event_firstaffection_02,Narration,Narration,Narration,Locale_SubScenario:event_firstaffection_2_1,False,Police,13,31,2.0,bgm_story_leisuretime,,,,,,,,,,,,
event_firstaffection_2_2,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_2,False,,31,31,1.0,,,,,,,,,,,,,
event_firstaffection_2_3,130002,event_firstaffection_02,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_2_3,False,,31,31,1.0,,,,,,,,,,,,,
event_firstaffection_2_4,130002,event_firstaffection_02,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_2_4,False,,31,31,1.0,,,,,,,,,,,,,
event_firstaffection_2_5,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_5,True,,31,31,1.0,,poli,3,idle,miranda,1,idle,,,,,,
event_firstaffection_2_6,130002,event_firstaffection_02,Speech,miranda,miranda,Locale_SubScenario:event_firstaffection_2_6,True,,31,31,1.0,,,3,idle,,1,idle,,,,,,
event_firstaffection_2_7,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_7,False,,31,31,1.0,,,3,idle,,1,idle,,,,,,
event_firstaffection_2_8,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_8,True,,31,XS_30,1.0,,,3,sad,,1,idle,,,,,,
event_firstaffection_2_9,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_9,True,,XS_30,XS_30,1.0,,,3,idle,,1,idle,,,,,,
event_firstaffection_2_10,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_10,True,,XS_30,XS_30,1.0,,,3,idle,,1,idle,,,,,,
event_firstaffection_2_11,130002,event_firstaffection_02,Speech,miranda,miranda,Locale_SubScenario:event_firstaffection_2_11,True,,XS_30,S_10,0.5,,,3,idle,,1,idle,,,,,,
event_firstaffection_2_12,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_12,True,,S_10,XS_30,1.0,,,3,idle,,1,idle,,,,,,
event_firstaffection_2_13,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_13,True,,XS_30,XS_300,2.0,,,3,idle,,1,idle,,,,,,
event_firstaffection_2_14,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_14,True,black,XS_300,31,0.5,,,3,idle,,1,idle,poli,miranda,,,,
event_firstaffection_2_15,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_15,True,,31,31,1.0,,,,idle,,,idle,,,,,,
event_firstaffection_2_16,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_16,True,,31,31,1.0,,,,idle,,,idle,,,,,,
event_firstaffection_2_17,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_17,False,,31,31,1.0,,,,idle,,,idle,,,,,,
event_firstaffection_2_18,130002,event_firstaffection_02,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_2_18,False,Jail,31,15,2.0,,,,idle,,,idle,,,marian_p,15,sad,
event_firstaffection_2_19,130002,event_firstaffection_02,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_2_19,False,,15,15,1.0,,,,idle,,,idle,,,,15,sad,
event_firstaffection_2_20,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_20,True,,15,150,0.5,,,,idle,,,idle,,,,15,sad,
event_firstaffection_2_21,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_21,False,,150,150,1.0,,,,idle,,,idle,,,,15,sad,
event_firstaffection_2_22,130002,event_firstaffection_02,Speech,miranda,miranda,Locale_SubScenario:event_firstaffection_2_22,True,Police,S_10,S_10,1.0,,poli,3,idle,miranda,1,angry,,,,15,sad,
event_firstaffection_2_23,130002,event_firstaffection_02,Speech,miranda,miranda,Locale_SubScenario:event_firstaffection_2_23,True,,S_10,S_10,1.0,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_24,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_24,False,,S_10,S_10,1.0,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_25,130002,event_firstaffection_02,Speech,miranda,miranda,Locale_SubScenario:event_firstaffection_2_25,True,,S_10,S_100,0.5,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_26,130002,event_firstaffection_02,Speech,miranda,miranda,Locale_SubScenario:event_firstaffection_2_26,True,,S_100,S_100,1.0,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_27,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_27,True,,S_100,31,2.0,,,3,sad,,1,angry,,,,15,sad,
event_firstaffection_2_28,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_28,True,,31,31,1.0,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_29,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_29,True,,31,31,1.0,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_30,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_30,True,,31,31,1.0,,,3,sad,,1,angry,,,,15,sad,
event_firstaffection_2_31,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_31,True,Jail,15,150,0.5,,,3,sad,,1,angry,,,,15,sad,
event_firstaffection_2_32,130002,event_firstaffection_02,Speech,miranda,miranda,Locale_SubScenario:event_firstaffection_2_32,True,Police,S_10,S_10,1.0,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_33,130002,event_firstaffection_02,Speech,miranda,miranda,Locale_SubScenario:event_firstaffection_2_33,True,,S_10,S_100,0.5,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_34,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_34,True,,XS_30,XS_30,1.0,,,3,surprise,,1,angry,,,,15,sad,
event_firstaffection_2_35,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_35,False,,XS_30,XS_30,1.0,,,3,surprise,,1,angry,,,,15,sad,
event_firstaffection_2_36,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_36,True,,XS_30,XS_30,1.0,,,3,sad,,1,angry,,,,15,sad,
event_firstaffection_2_37,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_37,True,Jail,15,15,1.0,,,3,sad,,1,angry,,,,15,sad,
event_firstaffection_2_38,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_38,False,,15,15,1.0,,,3,idle,,1,angry,,,,15,sad,
event_firstaffection_2_39,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_39,True,,15,150,1.0,,,3,idle,,1,angry,,,,15,surprise,
event_firstaffection_2_40,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_40,False,,150,150,1.0,,,3,idle,,1,angry,,,,15,surprise,
event_firstaffection_2_41,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_41,True,,150,1500,0.5,,,3,idle,,1,angry,,,,15,delight,
event_firstaffection_2_42,130002,event_firstaffection_02,Narration,Narration,Narration,Locale_SubScenario:event_firstaffection_2_42,False,,1500,1500,1.0,,,3,idle,,1,angry,,,,15,delight,sfx_scn_takeofflock
event_firstaffection_2_43,130002,event_firstaffection_02,Monologue,Monologue,Monologue,Locale_SubScenario:event_firstaffection_2_43,False,Police,1500,13,1.0,,,3,idle,,1,angry,,,,13,delight,
event_firstaffection_2_44,130002,event_firstaffection_02,Speech,marian_p,marian_p,Locale_SubScenario:event_firstaffection_2_44,True,,13,13,1.0,,,3,idle,,1,angry,,,,13,delight,
event_firstaffection_2_45,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_45,False,,13,31,1.0,,,3,idle,,1,angry,,,,13,delight,
event_firstaffection_2_46,130002,event_firstaffection_02,Speech,poli,poli,Locale_SubScenario:event_firstaffection_2_46,True,,31,31,1.0,,,3,sad,,1,angry,,,,13,delight,
event_firstaffection_2_47,130002,event_firstaffection_02,Self,Self,Self,Locale_SubScenario:event_firstaffection_2_47,False,,31,31,1.0,,,3,sad,,1,angry,,,,13,delight,
