id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_absolute1_02_s_1,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_1,True,BriefingRoom,3,3,1.0,event_bgm_absolute_1,,ingrid,4,idle,eunhwa_t,2,idle,vesti_t,12,idle,,emma_t,14,idle,
event_absolute1_02_s_2,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_2,True,,3,3,1.0,,,,4,think,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_3,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_3,True,,3,1,1.3,,,,4,think,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_4,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_4,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_5,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_5,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_6,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_6,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_7,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_7,True,,1,1,1.0,,,,4,idle,,2,idle,,12,surprise,,,14,idle,
event_absolute1_02_s_8,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_8,True,,1,1,1.0,,,,4,idle,,2,idle,,12,delight,,,14,idle,
event_absolute1_02_s_9,40086,event_absolute1_02_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute1_02_s_9,False,,1,1,1.0,,,,4,idle,,2,idle,,12,delight,,,14,idle,
event_absolute1_02_s_10,40086,event_absolute1_02_s,Speech,vesti_t,vesti_t,Locale_MainScenario:event_absolute1_02_s_10,True,,1,1,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_11,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_11,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_12,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_12,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_13,40086,event_absolute1_02_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute1_02_s_13,True,,140,140,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_14,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_14,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
event_absolute1_02_s_15,40086,event_absolute1_02_s,Speech,ingrid,ingrid,Locale_MainScenario:event_absolute1_02_s_15,True,,L_40,L_40,1.0,,,,4,idle,,2,idle,,12,idle,,,14,idle,
