id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_contents_bbqmaster_02_1,80603,d_contents_bbqmaster_02,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_bbqmaster_02_1,True,LogHouseOut_n,12,12,1.0,bgm_story_summermood,,anis_s,3,idle,pepper_s,1,idle,mary_s,13,idle
d_contents_bbqmaster_02_2,80603,d_contents_bbqmaster_02,Speech,pepper_s,pepper_s,Locale_SubScenario:d_contents_bbqmaster_02_2,True,,12,12,1.0,,,,3,idle,,1,idle,,13,idle
d_contents_bbqmaster_02_3,80603,d_contents_bbqmaster_02,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_02_3,True,,12,2,1.0,,,,3,idle,,1,idle,,13,idle
d_contents_bbqmaster_02_4,80603,d_contents_bbqmaster_02,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_02_4,True,,2,2,1.0,,,,3,idle,,1,idle,,13,idle
d_contents_bbqmaster_02_5,80603,d_contents_bbqmaster_02,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_bbqmaster_02_5,True,,130,130,1.0,,,,3,idle,,1,idle,,13,idle
d_contents_bbqmaster_02_6,80603,d_contents_bbqmaster_02,Speech,pepper_s,pepper_s,Locale_SubScenario:d_contents_bbqmaster_02_6,True,,XS_10,XS_10,1.0,,,,3,idle,,1,surprise,,13,idle
d_contents_bbqmaster_02_7,80603,d_contents_bbqmaster_02,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_02_7,True,,XS_10,2,1.0,,,,3,idle,,1,surprise,,13,idle
d_contents_bbqmaster_02_8,80603,d_contents_bbqmaster_02,Speech,pepper_s,pepper_s,Locale_SubScenario:d_contents_bbqmaster_02_8,True,,2,2,1.0,,,,3,idle,,1,shy,,13,idle
d_contents_bbqmaster_02_9,80603,d_contents_bbqmaster_02,Speech,pepper_s,pepper_s,Locale_SubScenario:d_contents_bbqmaster_02_9,True,,2,2,1.0,,,,3,idle,,1,shy,,13,idle
d_contents_bbqmaster_02_10,80603,d_contents_bbqmaster_02,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_bbqmaster_02_10,True,,2,12,1.0,,,,3,idle,,1,shy,,13,idle
