id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_oldtales1_05_e_1,40061,event_oldtales1_05_e,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_05_e_1,True,RuinTechIndoor,16,16,1.0,event_bgm_oldtales_oswald,,,redshoes,5,worry,,oswald_o,3,idle,,abe,1,angry,,littlemermaid,13,rage,,hansel,15,no,,gretel,17,no,
event_oldtales1_05_e_2,40061,event_oldtales1_05_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_05_e_2,True,,10,10,1.0,,,,,5,worry,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
event_oldtales1_05_e_3,40061,event_oldtales1_05_e,Speech,abe,abe,Locale_MainScenario:event_oldtales1_05_e_3,True,,10,10,1.0,,,,,5,worry,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
event_oldtales1_05_e_4,40061,event_oldtales1_05_e,Speech,hansel,hansel,Locale_MainScenario:event_oldtales1_05_e_4,True,,16,16,1.0,,,,,5,worry,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
event_oldtales1_05_e_5,40061,event_oldtales1_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_oldtales1_05_e_5,True,,16,13,1.0,,,,,5,worry,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
event_oldtales1_05_e_6,40061,event_oldtales1_05_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_05_e_6,True,,4,4,1.0,,,,,5,worry,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
event_oldtales1_05_e_7,40061,event_oldtales1_05_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_05_e_7,True,,4,4,1.0,,,,,5,worry,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
event_oldtales1_05_e_8,40061,event_oldtales1_05_e,Speech,oswald_o,oswald_o,Locale_MainScenario:event_oldtales1_05_e_8,True,,4,4,1.0,,,,,5,worry,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
event_oldtales1_05_e_9,40061,event_oldtales1_05_e,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_05_e_9,True,,4,4,1.0,,,,,5,smile,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
event_oldtales1_05_e_10,40061,event_oldtales1_05_e,Speech,oswald_o,oswald_o,Locale_MainScenario:event_oldtales1_05_e_10,True,,4,4,1.0,,,,,5,smile,,,3,idle,,,1,angry,,,13,rage,,,15,no,,,17,no,
