id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
snowfall_speech_noirblanc_14_1,80903,snowfall_speech_noirblanc_14,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_14_1,False,BigHotSpring_n,12,12,1.0,amb_so_hotspring_3,event_bgm_neverland_hugme_night,,,,,noir_c,1,idle,blanc_c,13,idle
snowfall_speech_noirblanc_14_2,80903,snowfall_speech_noirblanc_14,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_14_2,False,,12,12,1.0,,,,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_3,80903,snowfall_speech_noirblanc_14,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_14_3,False,,12,12,1.0,,,,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_4,80903,snowfall_speech_noirblanc_14,Choice,Locale_SubScenario:snowfall_speech_noirblanc_14_4,False,,12,12,1.0,,,snowfall_speech_noirblanc_14_7,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_5,80903,snowfall_speech_noirblanc_14,Choice,Locale_SubScenario:snowfall_speech_noirblanc_14_5,False,,12,12,1.0,,,snowfall_speech_noirblanc_14_6,,,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_6,80903,snowfall_speech_noirblanc_14,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_14_6,False,,black,black,1.0,,,,True,,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_7,80903,snowfall_speech_noirblanc_14,Speech,Locale_SubScenario:snowfall_speech_noirblanc_14_7,True,,12,12,1.0,,,,,blanc_c,blanc_c,,1,idle,,13,idle
snowfall_speech_noirblanc_14_8,80903,snowfall_speech_noirblanc_14,Speech,Locale_SubScenario:snowfall_speech_noirblanc_14_8,True,,12,12,1.0,,,,,noir_c,noir_c,,1,idle,,13,idle
snowfall_speech_noirblanc_14_9,80903,snowfall_speech_noirblanc_14,Self,Locale_SubScenario:snowfall_speech_noirblanc_14_9,False,,12,12,1.0,,,,,noir_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_10,80903,snowfall_speech_noirblanc_14,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_14_10,False,,12,12,1.0,,,,,noir_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_11,80903,snowfall_speech_noirblanc_14,Choice,Locale_SubScenario:snowfall_speech_noirblanc_14_11,False,,12,12,1.0,,,snowfall_speech_noirblanc_14_13,,noir_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_12,80903,snowfall_speech_noirblanc_14,Choice,Locale_SubScenario:snowfall_speech_noirblanc_14_12,False,,12,12,1.0,,,snowfall_speech_noirblanc_14_17,,noir_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_13,80903,snowfall_speech_noirblanc_14,Speech,Locale_SubScenario:snowfall_speech_noirblanc_14_13,True,,12,12,1.0,,,,,blanc_c,blanc_c,,1,surprise,,13,no
snowfall_speech_noirblanc_14_14,80903,snowfall_speech_noirblanc_14,Speech,Locale_SubScenario:snowfall_speech_noirblanc_14_14,True,,12,12,1.0,,,,,noir_c,noir_c,,1,surprise,,13,no
snowfall_speech_noirblanc_14_15,80903,snowfall_speech_noirblanc_14,Self,Locale_SubScenario:snowfall_speech_noirblanc_14_15,False,,12,12,1.0,,,,,noir_c,,,1,surprise,,13,no
snowfall_speech_noirblanc_14_16,80903,snowfall_speech_noirblanc_14,Speech,Locale_SubScenario:snowfall_speech_noirblanc_14_16,True,,12,12,1.0,,,snowfall_speech_noirblanc_14_21,,noir_c,noir_c,,1,surprise,,13,no
snowfall_speech_noirblanc_14_17,80903,snowfall_speech_noirblanc_14,Speech,Locale_SubScenario:snowfall_speech_noirblanc_14_17,True,,12,12,1.0,,,,,blanc_c,blanc_c,,1,idle,,13,idle
snowfall_speech_noirblanc_14_18,80903,snowfall_speech_noirblanc_14,Speech,Locale_SubScenario:snowfall_speech_noirblanc_14_18,True,,12,12,1.0,,,,,noir_c,noir_c,,1,idle,,13,idle
snowfall_speech_noirblanc_14_19,80903,snowfall_speech_noirblanc_14,Self,Locale_SubScenario:snowfall_speech_noirblanc_14_19,False,,12,12,1.0,,,,,noir_c,,,1,idle,,13,idle
snowfall_speech_noirblanc_14_20,80903,snowfall_speech_noirblanc_14,Speech,Locale_SubScenario:snowfall_speech_noirblanc_14_20,True,,12,12,1.0,,,snowfall_speech_noirblanc_14_21,,noir_c,noir_c,,1,delight,,13,delight
snowfall_speech_noirblanc_14_21,80903,snowfall_speech_noirblanc_14,Narration,Locale_SubScenario:snowfall_speech_noirblanc_14_21,False,,black,black,1.0,,,,,noir_c,,,1,delight,,13,delight
