id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,fade,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_coinsinrush2_intermission_01_1,40089,event_coinsinrush2_intermission_01,Narration,Locale_MainScenario:event_coinsinrush2_intermission_01_1,False,GoodOffice,black,black,1.0,none,,,,,mustang,1,angry,,,
event_coinsinrush2_intermission_01_2,40089,event_coinsinrush2_intermission_01,Narration,Locale_MainScenario:event_coinsinrush2_intermission_01_2,False,,black,black,1.0,,,,,,,1,angry,,,
event_coinsinrush2_intermission_01_3,40089,event_coinsinrush2_intermission_01,Narration,Locale_MainScenario:event_coinsinrush2_intermission_01_3,False,,L_10,L_10,1.0,bgm_mystery,mustang,sfx_scn_dooropen,black,,,1,angry,,,
event_coinsinrush2_intermission_01_4,40089,event_coinsinrush2_intermission_01,Speech,Locale_MainScenario:event_coinsinrush2_intermission_01_4,False,,L_10,L_10,1.0,,mustang,,,mustang,,1,angry,,,
event_coinsinrush2_intermission_01_5,40089,event_coinsinrush2_intermission_01,Narration,Locale_MainScenario:event_coinsinrush2_intermission_01_5,False,,L_10,L_10,1.0,,mustang,sfx_scn_heelfootstep,,,,1,angry,,,
event_coinsinrush2_intermission_01_6,40089,event_coinsinrush2_intermission_01,Speech,Locale_MainScenario:event_coinsinrush2_intermission_01_6,True,,L_10,L_10,1.0,,mustang,,,mustang,,1,angry,,,
event_coinsinrush2_intermission_01_7,40089,event_coinsinrush2_intermission_01,Speech,Locale_MainScenario:event_coinsinrush2_intermission_01_7,True,,L_10,L_10,1.0,,mustang,,,mustang,,1,angry,,,
event_coinsinrush2_intermission_01_8,40089,event_coinsinrush2_intermission_01,Speech,Locale_MainScenario:event_coinsinrush2_intermission_01_8,True,,L_10,2,1.0,,velvet,,,velvet,,1,angry,velvet,3,smile
event_coinsinrush2_intermission_01_9,40089,event_coinsinrush2_intermission_01,Speech,Locale_MainScenario:event_coinsinrush2_intermission_01_9,True,,2,2,1.0,,velvet,,,velvet,,1,angry,,3,good
event_coinsinrush2_intermission_01_10,40089,event_coinsinrush2_intermission_01,Speech,Locale_MainScenario:event_coinsinrush2_intermission_01_10,True,,2,2,1.0,,mustang,,,mustang,,1,angry,,3,good
