id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
snowfall_global_13_solo_default_1,80903,snowfall_global_solo_13,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,
snowfall_global_13_solo_default_2,80903,snowfall_global_solo_13,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_solo_13_1,,,,,,,,,,,,,
snowfall_global_13_solo_default_3,80903,snowfall_global_solo_13,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,
snowfall_global_solo_13_1,80903,snowfall_global_solo_13,Self,Locale_SubScenario:snowfall_global_solo_13_1,False,HotSpringInnOut_n,6,1,1.0,amb_so_inn_out_3,bgm_story_marrybad,,,white,,,,,,,,,,,
snowfall_global_solo_13_2,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_3,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_3,False,,1,1,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_4,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_4,False,,1,1,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_5,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_5,False,,1,1,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_6,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_6,False,,1,1,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_7,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_7,False,,1,1,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_8,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_8,False,,1,1,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_9,80903,snowfall_global_solo_13,Choice,Locale_SubScenario:snowfall_global_solo_13_9,False,,1,1,1.0,,,snowfall_global_solo_13_13,,,,,,,,,,,,,
snowfall_global_solo_13_10,80903,snowfall_global_solo_13,Choice,Locale_SubScenario:snowfall_global_solo_13_10,False,,1,1,1.0,,,snowfall_global_solo_13_50,,,,,,,,,,,,,
snowfall_global_solo_13_11,80903,snowfall_global_solo_13,Choice,Locale_SubScenario:snowfall_global_solo_13_11,False,,1,1,1.0,,,snowfall_global_solo_13_78,,,,,,,,,,,,,
snowfall_global_solo_13_12,80903,snowfall_global_solo_13,Choice,Locale_SubScenario:snowfall_global_solo_13_12,False,,1,1,1.0,,,snowfall_global_solo_13_102,,,,,,,,,,,,,
snowfall_global_solo_13_13,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_13,False,Trail_n,6,6,1.0,amb_so_trail_3,none,,,black,,,,,,,,,,,
snowfall_global_solo_13_14,80903,snowfall_global_solo_13,Narration,Locale_SubScenario:snowfall_global_solo_13_14,False,,6,6,1.0,,,,,,sfx_scn_footstepleaves,,,,,,,,,,
snowfall_global_solo_13_15,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_15,False,,6,6,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_16,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_16,False,,6,12,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_17,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_17,True,,12,12,1.0,,event_bgm_neverland_intermissionjam_night,,,,,unknown,unknown,,,,,,,,
snowfall_global_solo_13_18,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_18,True,,12,12,1.0,,,,,,,unknown,unknown,,,,,,,,
snowfall_global_solo_13_19,80903,snowfall_global_solo_13,Monologue,Locale_SubScenario:snowfall_global_solo_13_19,False,,12,12,1.0,,,,,,,,,,,,,,,,
snowfall_global_solo_13_20,80903,snowfall_global_solo_13,Self,Locale_SubScenario:snowfall_global_solo_13_20,False,,12,12,1.0,,,,,,,,,blanc_c,13,idle,noir_c,1,idle,,
snowfall_global_solo_13_21,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_21,True,,12,12,1.0,,,,,,,blanc_c,blanc_c,,13,idle,,1,idle,,
snowfall_global_solo_13_22,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_22,True,,12,12,1.0,,,,,,,blanc_c,blanc_c,,13,idle,,1,idle,,
snowfall_global_solo_13_23,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_23,True,,12,12,1.0,,,,,,,noir_c,noir_c,,13,idle,,1,idle,,
snowfall_global_solo_13_24,80903,snowfall_global_solo_13,Self,Locale_SubScenario:snowfall_global_solo_13_24,False,,12,12,1.0,,,,,,,,,,13,idle,,1,idle,,
snowfall_global_solo_13_25,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_25,True,,12,12,1.0,,,,,,,blanc_c,blanc_c,,13,idle,,1,idle,,
snowfall_global_solo_13_26,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_26,True,,12,12,1.0,,,,,,,blanc_c,blanc_c,,13,idle,,1,idle,,
snowfall_global_solo_13_27,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_27,True,,12,12,1.0,,,,,,,noir_c,noir_c,,13,idle,,1,idle,,
snowfall_global_solo_13_28,80903,snowfall_global_solo_13,Speech,Locale_SubScenario:snowfall_global_solo_13_28,True,,12,12,1.0,,,,,,,noir_c,noir_c,,13,idle,,1,idle,,
