id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake,fade
event_nocallerid_05_e_1,40001,event_nocallerid_05_e,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_e_1,True,neon,3,idle,anis,1,void,rapi,13,idle,AmusementPark,10,1,2.0,ambient_scn_wind,,,,,,
event_nocallerid_05_e_2,40001,event_nocallerid_05_e,Speech,neon,neon,Locale_SubScenario:event_nocallerid_05_e_2,True,,3,surprise,,1,void,,13,idle,,1,2,1.0,,,,,,,
event_nocallerid_05_e_3,40001,event_nocallerid_05_e,Speech,anis,anis,Locale_SubScenario:event_nocallerid_05_e_3,True,,3,surprise,,1,worry,,13,idle,,2,2,1.0,,,,,,,
event_nocallerid_05_e_4,40001,event_nocallerid_05_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_05_e_4,False,,3,idle,,1,worry,,13,idle,,2,12,1.0,,,,,,,
event_nocallerid_05_e_5,40001,event_nocallerid_05_e,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_05_e_5,True,,3,idle,,1,worry,,13,think,,12,130,1.0,,,,,,,
event_nocallerid_05_e_6,40001,event_nocallerid_05_e,Narration,,Narration,Locale_SubScenario:event_nocallerid_05_e_6,False,,3,idle,,1,void,,13,think,,black,black,1.0,,sfx_scn_phonevibration,,,,,
event_nocallerid_05_e_7,40001,event_nocallerid_05_e,Monologue,,Monologue,Locale_SubScenario:event_nocallerid_05_e_7,False,,3,idle,,1,void,,13,idle,,black,black,1.0,,,,,,,
event_nocallerid_05_e_8,40001,event_nocallerid_05_e,Monologue,,Monologue,Locale_SubScenario:event_nocallerid_05_e_8,False,,3,idle,,1,void,,13,idle,,black,black,1.0,,,,,,,
event_nocallerid_05_e_9,40001,event_nocallerid_05_e,Narration,,Narration,Locale_SubScenario:event_nocallerid_05_e_9,False,,3,idle,,1,void,,13,idle,,17,17,1.0,bgm_story_inwonderland,,,,,,
event_nocallerid_05_e_10,40001,event_nocallerid_05_e,Narration,,Narration,Locale_SubScenario:event_nocallerid_05_e_10,False,,3,idle,,1,void,,13,idle,,17,13,2.0,,,,,,,
event_nocallerid_05_e_11,40001,event_nocallerid_05_e,Narration,,Narration,Locale_SubScenario:event_nocallerid_05_e_11,False,,3,idle,,1,void,,13,idle,,13,3,2.0,,,,,,,
event_nocallerid_05_e_12,40001,event_nocallerid_05_e,Narration,,Narration,Locale_SubScenario:event_nocallerid_05_e_12,False,,3,idle,,1,void,,13,idle,,3,3,1.0,,,,,,,
