id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_unbreakablesphere1_01_s_1,40075,event_unbreakablesphere1_01_s,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere1_01_s_1,True,mori,1,think,littlemermaid,13,surprise,mihara_b,3,idle,yuni_n,5,idle,TreeOfWater,L_1300,L_130,1.0,event_bgm_ubsphere_waterdrop,
event_unbreakablesphere1_01_s_2,40075,event_unbreakablesphere1_01_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_01_s_2,True,,1,think,,13,surprise,,3,idle,,5,idle,,L_130,113,1.0,,
event_unbreakablesphere1_01_s_3,40075,event_unbreakablesphere1_01_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_01_s_3,True,,1,think,,13,surprise,,3,idle,,5,idle,,113,31,1.5,,
event_unbreakablesphere1_01_s_4,40075,event_unbreakablesphere1_01_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_01_s_4,False,,1,idle,,13,surprise,,3,idle,,5,idle,,31,31,0.7,,
event_unbreakablesphere1_01_s_5,40075,event_unbreakablesphere1_01_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_01_s_5,True,,1,idle,,13,surprise,,3,idle,,5,idle,,31,31,1.0,,
event_unbreakablesphere1_01_s_6,40075,event_unbreakablesphere1_01_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere1_01_s_6,True,,1,idle,,13,surprise,,3,idle,,5,idle,,31,31,1.0,,
event_unbreakablesphere1_01_s_7,40075,event_unbreakablesphere1_01_s,Speech,yuni_n,yuni_n,Locale_MainScenario:event_unbreakablesphere1_01_s_7,True,,1,idle,,13,surprise,,3,idle,,5,idle,,31,53,1.0,,
event_unbreakablesphere1_01_s_8,40075,event_unbreakablesphere1_01_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_01_s_8,True,,1,idle,,13,idle,,3,idle,,5,idle,,S_10,S_100,0.7,,
event_unbreakablesphere1_01_s_9,40075,event_unbreakablesphere1_01_s,Narration,mori,,Locale_MainScenario:event_unbreakablesphere1_01_s_9,False,,1,idle,,13,idle,,3,idle,,5,idle,,S_100,S_100,1.0,,
event_unbreakablesphere1_01_s_10,40075,event_unbreakablesphere1_01_s,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_01_s_10,True,,1,angry,,13,idle,,3,idle,,5,idle,,S_100,S_100,1.0,,
