id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_dazzlingcupid_03_s_1,40029,event_dazzlingcupid_03_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_03_s_1,False,Office,13,13,1.0,none,,,,,,,,,,,,
event_dazzlingcupid_03_s_2,40029,event_dazzlingcupid_03_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_03_s_2,False,,13,13,1.0,bgm_story_leisuretime,,,,,,,,,,,,
event_dazzlingcupid_03_s_3,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_3,True,,13,3,0.7,,naga,naga,3,idle,,,,,,,,
event_dazzlingcupid_03_s_4,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_4,True,,3,3,1.0,,naga,,3,delight,,,,,,,,
event_dazzlingcupid_03_s_5,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_5,True,,3,3,1.0,,naga,,3,delight,,,,,,,,
event_dazzlingcupid_03_s_6,40029,event_dazzlingcupid_03_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_03_s_6,False,,3,13,0.7,,,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_7,40029,event_dazzlingcupid_03_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_03_s_7,False,,13,3,0.7,,,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_8,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_8,True,,3,30,0.7,,naga,,3,delight,,,,,,,,
event_dazzlingcupid_03_s_9,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_9,True,,30,30,1.0,,naga,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_10,40029,event_dazzlingcupid_03_s,Narration,Narration,Locale_SubScenario:event_dazzlingcupid_03_s_10,False,,13,13,1.0,,,,3,idle,sfx_scn_zipper,,,,,,,
event_dazzlingcupid_03_s_11,40029,event_dazzlingcupid_03_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_03_s_11,False,,13,1300,0.3,,,,3,idle,,Low_2,,,,,,
event_dazzlingcupid_03_s_12,40029,event_dazzlingcupid_03_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_03_s_12,False,,1300,13,0.3,,,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_13,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_13,True,,30,30,1.0,,naga,,3,surprise,,,,,,,,
event_dazzlingcupid_03_s_14,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_14,True,,30,30,1.0,,naga,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_15,40029,event_dazzlingcupid_03_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_03_s_15,False,,13,13,1.0,,,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_16,40029,event_dazzlingcupid_03_s,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_03_s_16,False,,13,13,1.0,,,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_17,40029,event_dazzlingcupid_03_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_03_s_17,False,,13,1300,0.3,,,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_18,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_18,True,,3,3,1.0,,naga,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_19,40029,event_dazzlingcupid_03_s,Self,Self,Locale_SubScenario:event_dazzlingcupid_03_s_19,False,,3,3,1.0,,,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_20,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_20,True,,3,30,1.0,,naga,,3,idle,,,,,,,,
event_dazzlingcupid_03_s_21,40029,event_dazzlingcupid_03_s,Speech,naga,Locale_SubScenario:event_dazzlingcupid_03_s_21,True,,30,30,1.0,,naga,,3,void,,,,,,,,
