id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,fade,characters/1/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/7/hide_char_id,characters/2/hide_char_id,characters/5/hide_char_id,characters/0/hide_char_id,characters/4/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_exnii1_05_e_1,40070,event_exnii1_05_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_e_1,True,anis,3,void,mast,14,idle,ce005_01,1,idle,ce005_03,5,idle,pepper,7,idle,EzsUp,3,3,1.0,bgm_story_marrybad,,,,,,,,,,,,,,,,,
event_exnii1_05_e_2,40070,event_exnii1_05_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_e_2,True,,3,void,,14,idle,,1,idle,,5,idle,,7,idle,,3,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_3,40070,event_exnii1_05_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_05_e_3,True,,3,void,,14,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_4,40070,event_exnii1_05_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_e_4,True,,3,void,,14,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_5,40070,event_exnii1_05_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_e_5,True,,3,void,,14,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_6,40070,event_exnii1_05_e,Speech,anis,anis,Locale_SubScenario:event_exnii1_05_e_6,True,,3,void,,14,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_7,40070,event_exnii1_05_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_05_e_7,True,,3,void,,14,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_04,event_exnii_talk_04,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_8,40070,event_exnii1_05_e,Speech,mast,mast,Locale_SubScenario:event_exnii1_05_e_8,True,,3,void,,13,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_04,event_exnii_talk_05,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_9,40070,event_exnii1_05_e,Speech,mast,mast,Locale_SubScenario:event_exnii1_05_e_9,True,,3,idle,,13,delight,,1,idle,,5,idle,,7,idle,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_10,40070,event_exnii1_05_e,Speech,mast,mast,Locale_SubScenario:event_exnii1_05_e_10,True,,3,idle,,13,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_11,40070,event_exnii1_05_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_05_e_11,True,,3,idle,,13,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,,,,,,,,,,,,
event_exnii1_05_e_12,40070,event_exnii1_05_e,Speech,mast,mast,Locale_SubScenario:event_exnii1_05_e_12,True,,3,idle,,13,idle,,1,idle,,5,idle,,7,idle,,event_exnii_talk_05,event_exnii_talk_05,1.0,,,,,,,,,,,,,,,,,,
