id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,set_filter_01,set_filter_02,fade,play_movie,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_footstepwalkrun2_06_e_1,40066,event_footstepwalkrun2_06_e,Narration,Locale_MainScenario:event_footstepwalkrun2_06_e_1,False,Laboratory,black,black,1.0,bgm_story_discussion,,,,,,,,,rapi,1,idle,,ingrid,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_2,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_2,True,,L_300,L_300,1.0,,ingrid,ingrid,,,,,,,,1,idle,,,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_3,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_3,True,,L_300,L_30,1.0,,ingrid,ingrid,,,,,,,,1,idle,,,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_4,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_4,True,,L_30,31,1.0,,rapi,rapi,,,,,,,,1,idle,,,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_5,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_5,True,,31,31,1.0,,ingrid,ingrid,,,,,,,,1,idle,,,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_6,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_6,True,,31,31,1.0,,ingrid,ingrid,,,,,,,,1,idle,,,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_7,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_7,True,,31,31,1.0,,rapi,rapi,,,,,,,,1,idle,,,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_8,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_8,True,,31,31,1.0,,ingrid,ingrid,,,,,,,,1,idle,,,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_9,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_9,True,,31,31,1.0,,rapi,rapi,,,,,,,,1,idle,,,3,good,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_10,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_10,True,,31,31,1.0,,ingrid,ingrid,,,,,,,,1,idle,,,3,idle,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_11,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_11,True,,31,31,1.0,,rapi,rapi,,,,,,,,1,idle,,,3,idle,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_12,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_12,True,,31,31,1.0,,rapi,rapi,,,,,,,,1,idle,,,3,idle,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_13,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_13,True,,31,31,1.0,,rapi,rapi,,,,,,,,1,idle,,,3,idle,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_14,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_14,True,,31,31,1.0,,ingrid,ingrid,,,,,,,,1,idle,,,3,idle,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_15,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_15,True,,31,31,1.0,none,rapi,rapi,,,,,,,,1,idle,,,3,idle,,,,,,,,,,,,,
event_footstepwalkrun2_06_e_16,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_16,True,,100,100,1.0,bgm_story_confront,elysionmechanic,elysionmechanic,sfx_scn_rapi_mode,Low_2,Red,Vignetting,black,,,1,idle,rapi,,3,idle,,elysionmechanic,1,idle,,,,,,,,,
event_footstepwalkrun2_06_e_17,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_17,True,,L_300,L_30,0.7,,ingrid,ingrid,,,Red,Vignetting,,,,,,,,3,angry,,,1,idle,,,,,,,,,
event_footstepwalkrun2_06_e_18,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_18,True,,L_30,31,1.0,,elysionmechanic,elysionmechanic,,,Red,Vignetting,,,,,,,,3,angry,,,1,idle,,,,,,,,,
event_footstepwalkrun2_06_e_19,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_19,True,,31,31,1.0,,ingrid,ingrid,,,Red,Vignetting,,,,,,,,3,angry,,,1,idle,,,,,,,,,
event_footstepwalkrun2_06_e_20,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_20,True,,31,31,1.0,,elysionmechanic,elysionmechanic,,,Red,Vignetting,,,,,,,,3,angry,,,1,idle,,,,,,,,,
event_footstepwalkrun2_06_e_21,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_21,True,,31,31,1.0,,ingrid,ingrid,,,Red,Vignetting,,,,,,,,3,angry,,,1,idle,,,,,,,,,
event_footstepwalkrun2_06_e_22,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_22,True,,31,31,1.0,,elysionmechanic,elysionmechanic,,,Red,Vignetting,,,,,,,,3,angry,,,1,idle,,,,,,,,,
event_footstepwalkrun2_06_e_23,40066,event_footstepwalkrun2_06_e,Speech,Locale_MainScenario:event_footstepwalkrun2_06_e_23,True,,31,31,1.0,,ingrid,ingrid,,,Red,Vignetting,,,,,,,,3,angry,,,1,idle,,,,,,,,,
