id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,set_camera_shake
d_ex_seayouagain_10_1,80600,d_ex_seayouagain_10,Self,Self,Locale_SuddenStory:d_ex_seayouagain_10_1,False,mast_s,1,idle,Beach_d,17,17,1.0,none,,,,,,,,,,,
d_ex_seayouagain_10_2,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_2,False,,1,idle,,17,17,1.0,bgm_story_languor,,,,,,,,,,,
d_ex_seayouagain_10_3,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_3,True,,1,idle,,17,1,1.0,,mast_s,,,,,,,,,,
d_ex_seayouagain_10_4,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_4,True,,1,idle,,1,1,1.0,,mast_s,,,,,,,,,,
d_ex_seayouagain_10_5,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_5,True,,1,delight,,1,1,1.0,,mast_s,,,,,,,,,,
d_ex_seayouagain_10_6,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_6,False,,1,delight,,17,17,1.0,,,,,,,,,,,,
d_ex_seayouagain_10_7,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_7,False,,1,delight,,black,black,1.0,,,,,,,,,,,,
d_ex_seayouagain_10_8,80600,d_ex_seayouagain_10,Choice,,Locale_SuddenStory:d_ex_seayouagain_10_8,False,,1,delight,,1,1,1.0,,,d_ex_seayouagain_10_10,,,,,,,,,
d_ex_seayouagain_10_9,80600,d_ex_seayouagain_10,Choice,,Locale_SuddenStory:d_ex_seayouagain_10_9,False,,1,delight,,1,1,1.0,,,d_ex_seayouagain_10_10,,,,,,,,,
d_ex_seayouagain_10_10,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_10,True,,1,idle2,,1,S_10,0.5,,mast_s,,,,,,,,,,
d_ex_seayouagain_10_11,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_11,True,,1,idle2,,S_10,S_10,1.0,,mast_s,,helm_s,7,idle,,,,,,
d_ex_seayouagain_10_12,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_12,True,,1,idle,,S_10,S_10,1.0,,mast_s,,,7,idle,,,,,,
d_ex_seayouagain_10_13,80600,d_ex_seayouagain_10,Self,Self,Locale_SuddenStory:d_ex_seayouagain_10_13,False,,1,idle,,S_10,S_10,1.0,,,,,7,idle,,,,,,
d_ex_seayouagain_10_14,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_14,True,,1,idle,,S_10,S_100,0.5,,mast_s,,,7,idle,,,,,,
d_ex_seayouagain_10_15,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_15,True,,1,delight,,S_100,S_100,1.0,,mast_s,,,7,idle,,,,,,
d_ex_seayouagain_10_16,80600,d_ex_seayouagain_10,Speech,mast_s,Locale_SuddenStory:d_ex_seayouagain_10_16,True,,1,idle,,S_100,S_100,1.0,,mast_s,,,7,idle,,,,,,
d_ex_seayouagain_10_17,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_17,False,,1,idle,,black,black,1.0,,,,,7,idle,mast_s,,,,,
d_ex_seayouagain_10_18,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_18,False,,,,,17,7,1.0,,,,,7,idle,,,,,,
d_ex_seayouagain_10_19,80600,d_ex_seayouagain_10,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_10_19,True,,,,,7,7,1.0,,helm_s,,,7,think,,,,,,
d_ex_seayouagain_10_20,80600,d_ex_seayouagain_10,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_10_20,True,,,,,7,7,1.0,,helm_s,,,7,idle,,,,,,
d_ex_seayouagain_10_21,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_21,False,,,,,7,7,1.0,,,,,7,idle,,,,,,
d_ex_seayouagain_10_22,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_22,False,,,,,7,7,1.0,,,,,7,delight,,,,,,
d_ex_seayouagain_10_23,80600,d_ex_seayouagain_10,Self,Self,Locale_SuddenStory:d_ex_seayouagain_10_23,False,,,,,7,7,1.0,,,,,7,delight,,,,,,
d_ex_seayouagain_10_24,80600,d_ex_seayouagain_10,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_10_24,True,,,,,7,70,0.7,,helm_s,,,7,delight,,,,,,
d_ex_seayouagain_10_25,80600,d_ex_seayouagain_10,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_10_25,True,,,,,70,70,1.0,,helm_s,,,7,delight,,,,,,
d_ex_seayouagain_10_26,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_26,False,,,,,13,13,1.0,,,,,7,delight,,,,,,
d_ex_seayouagain_10_27,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_27,False,,,,,black,black,1.0,,,,,7,delight,,,,,,
d_ex_seayouagain_10_28,80600,d_ex_seayouagain_10,Self,Self,Locale_SuddenStory:d_ex_seayouagain_10_28,False,,,,,700,700,1.0,,,,,7,delight,,,,,,
d_ex_seayouagain_10_29,80600,d_ex_seayouagain_10,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_10_29,True,,,,,700,70,0.7,,helm_s,,,7,think,,,,,,
d_ex_seayouagain_10_30,80600,d_ex_seayouagain_10,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_10_30,True,,,,,70,70,1.0,,helm_s,,,7,think,,anchor,1,idle,,
d_ex_seayouagain_10_31,80600,d_ex_seayouagain_10,Speech,helm_s,Locale_SuddenStory:d_ex_seayouagain_10_31,True,,,,,70,70,1.0,,helm_s,,,7,think,,,1,idle,,
d_ex_seayouagain_10_32,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_32,False,,,,,70,70,1.0,,,,,7,think,,,1,idle,,
d_ex_seayouagain_10_33,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_33,False,,,,,black,black,1.0,,,,,7,think,,,1,idle,helm_s,
d_ex_seayouagain_10_34,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_34,False,,,,,17,1,1.0,,,,,,,,,1,idle,,
d_ex_seayouagain_10_35,80600,d_ex_seayouagain_10,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_10_35,True,,,,,1,1,1.0,,anchor,,,,,,,1,idle,,
d_ex_seayouagain_10_36,80600,d_ex_seayouagain_10,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_10_36,True,,,,,1,1,1.0,,anchor,,,,,,,1,surprise,,
d_ex_seayouagain_10_37,80600,d_ex_seayouagain_10,Self,Self,Locale_SuddenStory:d_ex_seayouagain_10_37,False,,,,,1,1,1.0,,,,,,,,,1,surprise,,
d_ex_seayouagain_10_38,80600,d_ex_seayouagain_10,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_10_38,True,,,,,1,1,1.0,,anchor,,,,,,,1,idle,,
d_ex_seayouagain_10_39,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_39,False,,,,,17,17,1.0,,,,,,,,,1,idle,,
d_ex_seayouagain_10_40,80600,d_ex_seayouagain_10,Self,Self,Locale_SuddenStory:d_ex_seayouagain_10_40,False,,,,,1,1,1.0,,,,,,,,,1,idle,,
d_ex_seayouagain_10_41,80600,d_ex_seayouagain_10,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_10_41,True,,,,,1,S_10,1.0,,anchor,,,,,,,1,idle,,
d_ex_seayouagain_10_42,80600,d_ex_seayouagain_10,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_10_42,True,,,,,S_10,S_10,1.0,,anchor,,,,,,,1,delight,,
d_ex_seayouagain_10_43,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_43,False,,,,,S_10,S_10,1.0,,,,,,,,,1,delight,,
d_ex_seayouagain_10_44,80600,d_ex_seayouagain_10,Monologue,Monologue,Locale_SuddenStory:d_ex_seayouagain_10_44,False,,,,,black,black,1.0,,,,,,,,,1,delight,,
d_ex_seayouagain_10_45,80600,d_ex_seayouagain_10,Choice,,Locale_SuddenStory:d_ex_seayouagain_10_45,False,,,,,S_10,S_10,1.0,,,d_ex_seayouagain_10_47,,,,,,1,idle,,
d_ex_seayouagain_10_46,80600,d_ex_seayouagain_10,Choice,,Locale_SuddenStory:d_ex_seayouagain_10_46,False,,,,,S_10,S_10,1.0,,,d_ex_seayouagain_10_47,,,,,,1,idle,,
d_ex_seayouagain_10_47,80600,d_ex_seayouagain_10,Speech,anchor,Locale_SuddenStory:d_ex_seayouagain_10_47,True,,,,,S_10,S_100,1.0,,anchor,,,,,,,1,delight,,
