id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/5/hide_char_id,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_secretgarden_04_e_1,40063,event_secretgarden_04_e,Speech,leona_no,leona_no,Locale_SubScenario:event_secretgarden_04_e_1,True,flora,1,delight,leona_no,13,idle,timi,15,idle,biscuit,3,idle,nero,5,idle,SecretGarden,Leo_130,Leo_130,1.0,bgm_frostpillar,,,,,,,,,,,,,
event_secretgarden_04_e_2,40063,event_secretgarden_04_e,Speech,leona_no,leona_no,Locale_SubScenario:event_secretgarden_04_e_2,True,,1,delight,,13,idle,,15,idle,,3,idle,,5,idle,,Leo_130,Leo_130,1.0,,,,,,,,,,,,,,
event_secretgarden_04_e_3,40063,event_secretgarden_04_e,Speech,nero,nero,Locale_SubScenario:event_secretgarden_04_e_3,True,,1,delight,,13,idle,,15,idle,,3,idle,,5,idle,,L_50,L_50,1.0,,,,,,,,,,,,,,
event_secretgarden_04_e_4,40063,event_secretgarden_04_e,Speech,leona_no,leona_no,Locale_SubScenario:event_secretgarden_04_e_4,True,,1,delight,,13,idle,,15,idle,,3,idle,,5,idle,,Leo_130,113,1.0,,,,,,,,,,,,,,
event_secretgarden_04_e_5,40063,event_secretgarden_04_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_04_e_5,True,,1,delight,,13,idle,,15,idle,,3,idle,,5,idle,,113,113,1.0,,,,,,,,,,,,,,
event_secretgarden_04_e_6,40063,event_secretgarden_04_e,Speech,biscuit,biscuit,Locale_SubScenario:event_secretgarden_04_e_6,True,,1,delight,,13,idle,,15,idle,,3,idle,,5,idle,,113,31,1.5,,,,,,,,,,,,,,
event_secretgarden_04_e_7,40063,event_secretgarden_04_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_04_e_7,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,31,31,1.0,,,,,,,,,,,,,,
event_secretgarden_04_e_8,40063,event_secretgarden_04_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_04_e_8,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,31,31,1.0,,,,,,,,,,,,,,
event_secretgarden_04_e_9,40063,event_secretgarden_04_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_04_e_9,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,31,31,1.0,,,,,,,,,,,,,,
event_secretgarden_04_e_10,40063,event_secretgarden_04_e,Speech,flora,flora,Locale_SubScenario:event_secretgarden_04_e_10,True,,1,sad,,13,idle,,15,idle,,3,idle,,5,idle,,31,31,1.0,,,,,,,,,,,,,,
