id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
event_ce02_2_04_s_1,40027,event_ce02_2_04_s,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_s_1,True,neon,9,idle,anis,7,void,rapi,5,idle,ce_02_01,3,idle,ce_02_npc_01,1,idle,c1002_02,13,idle,6000d_02,15,idle,b0006_02,17,idle,TechIndoor_n,10,1,1.0,event_bgm_ce002_field,
event_ce02_2_04_s_2,40027,event_ce02_2_04_s,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_s_2,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1,1,1.0,,
event_ce02_2_04_s_3,40027,event_ce02_2_04_s,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_s_3,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1,1,1.0,,
event_ce02_2_04_s_4,40027,event_ce02_2_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_04_s_4,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,5,5,1.0,,
event_ce02_2_04_s_5,40027,event_ce02_2_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_04_s_5,True,,9,idle,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,5,5,1.0,,
event_ce02_2_04_s_6,40027,event_ce02_2_04_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_04_s_6,True,,9,worry,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,S_90,S_90,1.0,,
event_ce02_2_04_s_7,40027,event_ce02_2_04_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_04_s_7,True,,9,worry,,7,void,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,S_90,S_90,1.0,,
event_ce02_2_04_s_8,40027,event_ce02_2_04_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_04_s_8,True,,9,worry,,7,void,,5,think,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,50,50,1.0,,
event_ce02_2_04_s_9,40027,event_ce02_2_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_04_s_9,True,,9,worry,,7,worry,,5,think,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,8,8,1.0,,
event_ce02_2_04_s_10,40027,event_ce02_2_04_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_04_s_10,True,,9,worry,,7,worry,,5,think,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,8,8,1.0,,
