id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_1yearalready_05_1,130003,event_1yearalready_05,Speech,yan,yan,Locale_SubScenario:event_1yearalready_05_1,True,yan,5,no,anchor,3,angry,ShoppingMall,4,4,1.0,bgm_story_onlineshopping,,,,,,,,,,,,,,,,
event_1yearalready_05_2,130003,event_1yearalready_05,Speech,yan,yan,Locale_SubScenario:event_1yearalready_05_2,True,,5,no,,3,angry,,4,4,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_05_3,130003,event_1yearalready_05,Speech,anchor,anchor,Locale_SubScenario:event_1yearalready_05_3,True,,5,no,,3,angry,,4,4,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_05_4,130003,event_1yearalready_05,Speech,anchor,anchor,Locale_SubScenario:event_1yearalready_05_4,True,,5,no,,3,angry,,4,4,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_05_5,130003,event_1yearalready_05,Speech,yan,yan,Locale_SubScenario:event_1yearalready_05_5,True,,5,surprise,,3,angry,,4,4,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_05_6,130003,event_1yearalready_05,Speech,yan,yan,Locale_SubScenario:event_1yearalready_05_6,True,,5,surprise,,3,angry,,4,4,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_05_7,130003,event_1yearalready_05,Speech,dolla,dolla,Locale_SubScenario:event_1yearalready_05_7,True,,5,surprise,,3,angry,,12,12,1.0,,yan,anchor,dolla,1,idle,mast,13,angry2,,,,,,,,
event_1yearalready_05_8,130003,event_1yearalready_05,Speech,dolla,dolla,Locale_SubScenario:event_1yearalready_05_8,True,,,,,,,,12,12,1.0,,,,,1,idle,,13,angry2,,,,,,,,
event_1yearalready_05_9,130003,event_1yearalready_05,Speech,dolla,dolla,Locale_SubScenario:event_1yearalready_05_9,True,,,,,,,,12,12,1.0,,,,,1,idle,,13,angry2,,,,,,,,
event_1yearalready_05_10,130003,event_1yearalready_05,Speech,mast,mast,Locale_SubScenario:event_1yearalready_05_10,True,,,,,,,,12,12,1.0,,,,,1,idle,,13,angry2,,,,,,,,
event_1yearalready_05_11,130003,event_1yearalready_05,Speech,mast,mast,Locale_SubScenario:event_1yearalready_05_11,True,,,,,,,,12,12,1.0,,,,,1,idle,,13,angry2,,,,,,,,
event_1yearalready_05_12,130003,event_1yearalready_05,Speech,mast,mast,Locale_SubScenario:event_1yearalready_05_12,True,,,,,,,,12,12,1.0,,,,,1,idle,,13,angry2,,,,,,,,
event_1yearalready_05_13,130003,event_1yearalready_05,Speech,mast,mast,Locale_SubScenario:event_1yearalready_05_13,True,,,,,,,,12,12,1.0,,,,,1,idle,,13,angry2,,,,,,,,
