id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,set_camera_shake,play_sound,fade,characters/1/hide_char_id,set_filter_02,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_boomsday_04_s_1,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_1,False,Laboratory,black,black,1.0,none,,,,,,,,,,,,,,,,,
event_boomsday_04_s_2,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_2,False,,black,black,1.0,,elegg,3,idle,trony,1,idle,,,,,,,,,,,
event_boomsday_04_s_3,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_3,True,,3,S_30,0.7,bgm_story_backtonormal,,3,idle,,1,idle,elegg,elegg,,,,,,,,,
event_boomsday_04_s_4,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_4,True,,S_30,S_30,1.0,,,3,idle,,1,idle,elegg,elegg,,,,,,,,,
event_boomsday_04_s_5,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_5,True,,S_30,S_30,1.0,,,3,think,,1,idle,elegg,elegg,,,,,,,,,
event_boomsday_04_s_6,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_6,True,,S_30,S_30,1.0,,,3,think,,1,idle,elegg,elegg,,,,,,,,,
event_boomsday_04_s_7,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_7,True,,S_30,2,1.0,,,3,think,,1,sad,trony,trony,,,,,,,,,
event_boomsday_04_s_8,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_8,True,,2,2,1.0,,,3,pain,,1,sad,elegg,elegg,,,,,,,,,
event_boomsday_04_s_9,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_9,True,,2,2,1.0,,,3,pain,,1,sad,elegg,elegg,,,,,,,,,
event_boomsday_04_s_10,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_10,True,,2,2,1.0,,,3,idle,,1,sad,trony,trony,,,,,,,,,
event_boomsday_04_s_11,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_11,True,,2,2,1.0,,,3,idle,,1,idle,trony,trony,,,,,,,,,
event_boomsday_04_s_12,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_12,True,,2,2,1.0,,,3,idle,,1,idle,elegg,elegg,,,,,,,,,
event_boomsday_04_s_13,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_13,True,,2,2,1.0,,,3,idle,,1,idle,elegg,elegg,,,,,,,,,
event_boomsday_04_s_14,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_14,True,,2,2,1.0,,,3,idle,,1,idle,elegg,elegg,,,,,,,,,
event_boomsday_04_s_15,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_15,True,,2,2,1.0,,,3,idle,,1,surprise,trony,trony,,,,,,,,,
event_boomsday_04_s_16,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_16,True,,2,S_30,1.0,,,3,delight,,1,surprise,elegg,elegg,,,,,,,,,
event_boomsday_04_s_17,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_17,False,,S_30,S_30,1.0,,,3,delight,,1,idle,,,,,,,,,,,
event_boomsday_04_s_18,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_18,False,,black,black,1.0,,,3,delight,,1,idle,,,,,,,,,,,
event_boomsday_04_s_19,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_19,True,,2,2,1.0,,,3,idle,,1,think,elegg,elegg,,,,,,,,,
event_boomsday_04_s_20,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_20,True,,2,2,1.0,,,3,idle,,1,think,trony,trony,,,,,,,,,
event_boomsday_04_s_21,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_21,False,,2,2,1.0,,,3,idle,,1,think,trony,trony,,,,,,,,,
event_boomsday_04_s_22,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_22,True,,2,2,1.0,,,3,idle,,1,no,trony,trony,,,,,,,,,
event_boomsday_04_s_23,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_23,True,,2,2,1.0,,,3,delight,,1,no,elegg,elegg,,,,,,,,,
event_boomsday_04_s_24,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_24,True,,2,2,1.0,,,3,delight,,1,no,elegg,elegg,,,,,,,,,
event_boomsday_04_s_25,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_25,True,,2,2,1.0,,,3,idle,,1,no,trony,trony,,,,,,,,,
event_boomsday_04_s_26,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_26,True,,2,2,1.0,,,3,idle,,1,no,trony,trony,,,,,,,,,
event_boomsday_04_s_27,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_27,True,,2,2,1.0,,,3,idle,,1,no,elegg,elegg,,,,,,,,,
event_boomsday_04_s_28,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_28,True,,2,2,1.0,,,3,idle,,1,no,elegg,elegg,,,,,,,,,
event_boomsday_04_s_29,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_29,True,,2,10,1.0,,,3,idle,,1,no,trony,trony,,,,,,,,,
event_boomsday_04_s_30,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_30,True,,10,10,1.0,,,3,idle,,1,no,trony,trony,,,,,,,,,
event_boomsday_04_s_31,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_31,False,,black,black,1.0,,,3,idle,,1,no,,,,,,,,,,,
event_boomsday_04_s_32,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_32,False,,black,black,1.0,,,3,idle,,1,no,,,,,,,,,,,
event_boomsday_04_s_33,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_33,True,,S_30,S_30,1.0,,,3,special,,1,no,elegg,elegg,Low_2,,,,,,,,
event_boomsday_04_s_34,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_34,True,,S_30,2,1.0,,,3,special,,1,shy,trony,trony,,,,,,,,,
event_boomsday_04_s_35,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_35,True,,2,2,1.0,,,3,idle,,1,shy,elegg,elegg,,,,,,,,,
event_boomsday_04_s_36,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_36,False,,black,black,1.0,,,3,idle,,1,idle,,,,sfx_scn_tablettapping,,,,,,,
event_boomsday_04_s_37,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_37,False,,black,black,1.0,,,3,idle,,1,idle,,,,sfx_scn_tablettapping,,,,,,,
event_boomsday_04_s_38,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_38,False,,black,black,1.0,,,3,idle,,1,idle,,,,sfx_scn_tablettapping,,,,,,,
event_boomsday_04_s_39,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_39,False,,black,black,1.0,,,3,idle,,1,idle,,,,sfx_scn_tablettapping,,,,,,,
event_boomsday_04_s_40,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_40,False,,18,180,0.5,,,3,idle,,1,idle,,,Low_2,sfx_scn_spark,black,,,,,,
event_boomsday_04_s_41,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_41,True,,180,2,1.7,,,3,pain,,1,surprise,elegg,elegg,,,,,,,,,
event_boomsday_04_s_42,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_42,True,,2,2,1.0,,,3,pain,,1,surprise,trony,trony,,,,,,,,,
event_boomsday_04_s_43,40040,event_boomsday_04_s,Narration,Locale_SubScenario:event_boomsday_04_s_43,False,,18,180,0.3,,,3,pain,,1,surprise,,,Low_2,sfx_scn_machinebroken,,,,,,,
event_boomsday_04_s_44,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_44,True,,2,2,1.0,,,3,pain,,1,surprise,trony,trony,,,,,,,,,
event_boomsday_04_s_45,40040,event_boomsday_04_s,Speech,Locale_SubScenario:event_boomsday_04_s_45,True,,2,2,1.0,,,3,think,,1,surprise,elegg,elegg,,,,,,,,,
