id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/6/hide_char_id,characters/7/hide_char_id
event_beautyfullshot2_05_s_1,40052,event_beautyfullshot2_05_s,Narration,Locale_MainScenario:event_beautyfullshot2_05_s_1,False,neon_s,5,idle,rapi_s,3,idle,anis_s,7,worry,CoralIslandInside_n,black,black,1.0,bgm_story_summermood,,,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_2,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_2,True,,5,idle,,3,idle,,7,worry,,XS_500,XS_500,1.0,,neon_s,neon_s,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_3,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_3,True,,5,idle,,3,idle,,7,worry,,XS_500,XS_500,1.0,,neon_s,neon_s,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_4,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_4,True,,5,idle,,3,idle,,7,worry,,XS_500,XS_50,1.0,,neon_s,neon_s,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_5,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_5,True,,5,idle,,3,worry,,7,worry,,XS_50,53,1.0,,rapi_s,rapi_s,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_6,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_6,True,,5,idle,,3,worry,,7,worry,,53,53,1.0,,neon_s,neon_s,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_7,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_7,True,,5,idle,,3,worry,,7,worry,,53,53,1.0,,rapi_s,rapi_s,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_8,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_8,True,,5,idle,,3,idle,,7,worry,,53,53,1.0,,rapi_s,rapi_s,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_9,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_9,True,,5,idle,,3,idle,,7,worry,,53,53,1.0,,neon_s,neon_s,,,,,,,,,,,,,,,,,,,,,,,,
event_beautyfullshot2_05_s_10,40052,event_beautyfullshot2_05_s,Speech,Locale_MainScenario:event_beautyfullshot2_05_s_10,True,,5,idle,,3,idle,,7,worry,,53,75,1.0,,neon_s,neon_s,,,,,,,,,,,,,,,,,,,,,,,,
