id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade
event_footstepwalkrun1_04_s_1,40066,event_footstepwalkrun1_04_s,Narration,Locale_MainScenario:event_footstepwalkrun1_04_s_1,False,rapi_m,1,idle,FastFood,500,500,1.0,none,,,,,,,,,,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_2,40066,event_footstepwalkrun1_04_s,Narration,Locale_MainScenario:event_footstepwalkrun1_04_s_2,False,,1,idle,,500,500,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_3,40066,event_footstepwalkrun1_04_s,Narration,Locale_MainScenario:event_footstepwalkrun1_04_s_3,False,,1,idle,,500,5,1.0,,sfx_scn_vendingmachine,,,,,,,,,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_4,40066,event_footstepwalkrun1_04_s,Narration,Locale_MainScenario:event_footstepwalkrun1_04_s_4,False,,1,idle,,5,1,1.5,,,,,,,,,,,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_5,40066,event_footstepwalkrun1_04_s,Narration,Locale_MainScenario:event_footstepwalkrun1_04_s_5,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_6,40066,event_footstepwalkrun1_04_s,Speech,Locale_MainScenario:event_footstepwalkrun1_04_s_6,True,,1,idle,,1,1315,1.5,bgm_recognition_underworld,,behavenikke,behavenikke,behavenikke,13,idle,loudnikke,15,idle,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_7,40066,event_footstepwalkrun1_04_s,Speech,Locale_MainScenario:event_footstepwalkrun1_04_s_7,True,,1,idle,,1315,1315,1.0,,,loudnikke,loudnikke,,13,idle,,15,idle,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_8,40066,event_footstepwalkrun1_04_s,Speech,Locale_MainScenario:event_footstepwalkrun1_04_s_8,True,,1,idle,,1315,1315,1.0,,,loudnikke,loudnikke,,13,idle,,15,idle,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_9,40066,event_footstepwalkrun1_04_s,Speech,Locale_MainScenario:event_footstepwalkrun1_04_s_9,True,,1,idle,,1315,1315,1.0,,,behavenikke,behavenikke,,13,idle,,15,idle,,,,,,,,,,,,,
event_footstepwalkrun1_04_s_10,40066,event_footstepwalkrun1_04_s,Speech,Locale_MainScenario:event_footstepwalkrun1_04_s_10,True,,1,idle,,1315,1315,1.0,,,loudnikke,loudnikke,,13,idle,,15,idle,,,,,,,,,,,,,
