id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_juveniledays_06_e_1,40053,event_juveniledays_06_e,Speech,ein,ein,Locale_SubScenario:event_juveniledays_06_e_1,True,Classroom_e,10,10,1.0,bgm_story_inwonderland,,ein,1,angry,,zwei,13,idle,,rei,3,idle,,,,,
event_juveniledays_06_e_2,40053,event_juveniledays_06_e,Speech,ein,ein,Locale_SubScenario:event_juveniledays_06_e_2,True,,10,10,1.0,,,,1,angry,,,13,idle,,,3,idle,,,,,
event_juveniledays_06_e_3,40053,event_juveniledays_06_e,Speech,ein,ein,Locale_SubScenario:event_juveniledays_06_e_3,True,,10,10,1.0,,,,1,angry,,,13,idle,,,3,idle,,,,,
event_juveniledays_06_e_4,40053,event_juveniledays_06_e,Monologue,ein,,Locale_SubScenario:event_juveniledays_06_e_4,False,,10,10,1.0,,,,1,angry,,,13,idle,,,3,idle,,,,,
event_juveniledays_06_e_5,40053,event_juveniledays_06_e,Monologue,ein,,Locale_SubScenario:event_juveniledays_06_e_5,False,,10,10,1.0,,,,1,angry,,,13,idle,,,3,idle,,,,,
event_juveniledays_06_e_6,40053,event_juveniledays_06_e,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_06_e_6,True,,10,12,1.0,,,,1,angry,,,13,shy,,,3,idle,,,,,
event_juveniledays_06_e_7,40053,event_juveniledays_06_e,Speech,ein,ein,Locale_SubScenario:event_juveniledays_06_e_7,True,,12,12,1.0,,,,1,angry,,,13,shy,,,3,idle,,,,,
event_juveniledays_06_e_8,40053,event_juveniledays_06_e,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_06_e_8,True,,12,12,1.0,,,,1,angry,,,13,shy,,,3,idle,,,,,
event_juveniledays_06_e_9,40053,event_juveniledays_06_e,Speech,rei,rei,Locale_SubScenario:event_juveniledays_06_e_9,True,,12,2,1.0,,,,1,angry,,,13,shy,,,3,no,,,,,
event_juveniledays_06_e_10,40053,event_juveniledays_06_e,Speech,ein,ein,Locale_SubScenario:event_juveniledays_06_e_10,True,,2,10,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,
event_juveniledays_06_e_11,40053,event_juveniledays_06_e,Speech,ein,ein,Locale_SubScenario:event_juveniledays_06_e_11,True,,10,10,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,
event_juveniledays_06_e_12,40053,event_juveniledays_06_e,Speech,ein,ein,Locale_SubScenario:event_juveniledays_06_e_12,True,,10,10,1.0,,,,1,idle,,,13,shy,,,3,no,,,,,
event_juveniledays_06_e_13,40053,event_juveniledays_06_e,Speech,zwei,zwei,Locale_SubScenario:event_juveniledays_06_e_13,True,,10,130,1.0,,,,1,idle,,,13,pain,,,3,no,,,,,
