id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,characters/5/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_camera_shake,set_filter_01,set_filter_02,jump_target
event_freezeacpu_02_s_1,40030,event_freezeacpu_02_s,Speech,staff,staff,Locale_SubScenario:event_freezeacpu_02_s_1,True,neon,7,idle,anis,5,idle,quiry,9,idle,staff,13,idle,candyman,15,idle,ShoppingMall,13,13,1.0,none,,,,,,,,,
event_freezeacpu_02_s_2,40030,event_freezeacpu_02_s,Speech,staff,staff,Locale_SubScenario:event_freezeacpu_02_s_2,True,,7,idle,,5,idle,,9,idle,,13,idle,,15,idle,,13,13,1.0,bgm_story_onlineshopping,,,,,,,,,
event_freezeacpu_02_s_3,40030,event_freezeacpu_02_s,Speech,candyman,candyman,Locale_SubScenario:event_freezeacpu_02_s_3,True,,7,idle,,5,idle,,9,idle,,13,idle,,15,idle,,13,15,1.0,,,,,,,,,,
event_freezeacpu_02_s_4,40030,event_freezeacpu_02_s,Speech,candyman,candyman,Locale_SubScenario:event_freezeacpu_02_s_4,True,,7,idle,,5,idle,,9,idle,,13,idle,,15,idle,,15,15,1.0,,,,,,,,,,
event_freezeacpu_02_s_5,40030,event_freezeacpu_02_s,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_02_s_5,True,,7,surprise,,5,delight,,9,idle,,13,idle,,15,idle,,6,6,1.0,,,,,,,,,,
event_freezeacpu_02_s_6,40030,event_freezeacpu_02_s,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_02_s_6,True,,7,surprise,,5,delight,,9,idle,,13,idle,,15,idle,,6,6,1.0,,,,,,,,,,
event_freezeacpu_02_s_7,40030,event_freezeacpu_02_s,Speech,neon,neon,Locale_SubScenario:event_freezeacpu_02_s_7,True,,7,surprise,,5,delight,,9,idle,,13,idle,,15,idle,,6,6,1.0,,,,,,,,,,
event_freezeacpu_02_s_8,40030,event_freezeacpu_02_s,Speech,neon,neon,Locale_SubScenario:event_freezeacpu_02_s_8,True,,7,surprise,,5,delight,,9,idle,,13,idle,,15,idle,,6,6,1.0,,,,,,,,,,
event_freezeacpu_02_s_9,40030,event_freezeacpu_02_s,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_02_s_9,True,,7,surprise,,5,void,,9,idle,,13,idle,,15,idle,,6,6,1.0,,staff,candyman,,,,,,,
event_freezeacpu_02_s_10,40030,event_freezeacpu_02_s,Speech,neon,neon,Locale_SubScenario:event_freezeacpu_02_s_10,True,,7,no,,5,void,,9,idle,,,,,,,,6,6,1.0,,,,,,,,,,
event_freezeacpu_02_s_11,40030,event_freezeacpu_02_s,Speech,neon,neon,Locale_SubScenario:event_freezeacpu_02_s_11,True,,7,no,,5,void,,9,idle,,,,,,,,6,6,1.0,,,,,,,,,,
event_freezeacpu_02_s_12,40030,event_freezeacpu_02_s,Speech,anis,anis,Locale_SubScenario:event_freezeacpu_02_s_12,True,,7,no,,5,delight,,9,idle,,,,,,,,5,50,0.7,,,,,,,,,,
event_freezeacpu_02_s_13,40030,event_freezeacpu_02_s,Speech,neon,neon,Locale_SubScenario:event_freezeacpu_02_s_13,True,,7,delight,,5,delight,,9,idle,,,,,,,,7,S_70,0.7,,,,,,,,,,
event_freezeacpu_02_s_14,40030,event_freezeacpu_02_s,Monologue,,,Locale_SubScenario:event_freezeacpu_02_s_14,False,,7,delight,,5,delight,,9,sad,,,,,,,,9,9,1.0,,,,,,,,,,
event_freezeacpu_02_s_15,40030,event_freezeacpu_02_s,Self,,,Locale_SubScenario:event_freezeacpu_02_s_15,False,,7,idle,,5,delight,,9,sad,,,,,,,,9,9,1.0,,,,,,,,,,
