id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_contents_madeinrush_01_1,82501,d_contents_madeinrush_01,Narration,Locale_SubScenario:d_contents_madeinrush_01_1,False,CoinRushIndoor,black,black,1.0,none,,,ade_b,1,idle,,,,
d_contents_madeinrush_01_2,82501,d_contents_madeinrush_01,Narration,Locale_SubScenario:d_contents_madeinrush_01_2,False,,black,black,1.0,,,,,1,idle,,,,
d_contents_madeinrush_01_4,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_4,True,,10,10,1.0,,ade_b,ade_b,,1,idle,,,,
d_contents_madeinrush_01_5,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_5,True,,10,10,1.0,,ade_b,ade_b,,1,idle,,,,
d_contents_madeinrush_01_6,82501,d_contents_madeinrush_01,Narration,Locale_SubScenario:d_contents_madeinrush_01_6,False,,black,black,1.0,,,,,1,idle,,,,
d_contents_madeinrush_01_7,82501,d_contents_madeinrush_01,Narration,Locale_SubScenario:d_contents_madeinrush_01_7,False,,black,black,1.0,,,,,1,idle,,,,
d_contents_madeinrush_01_8,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_8,True,,10,10,1.0,,ade_b,ade_b,,1,delight,,,,
d_contents_madeinrush_01_9,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_9,True,,10,10,1.0,,ade_b,ade_b,,1,delight,,,,
d_contents_madeinrush_01_10,82501,d_contents_madeinrush_01,Narration,Locale_SubScenario:d_contents_madeinrush_01_10,False,,black,black,1.0,,,,,1,delight,soda_b,3,think,
d_contents_madeinrush_01_11,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_11,False,,2,2,1.0,bgm_story_alittlestar,ade_b,ade_b,,1,surprise2,,3,think,
d_contents_madeinrush_01_13,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_13,True,,2,2,1.0,,soda_b,soda_b,,1,surprise2,,3,surprise,
d_contents_madeinrush_01_14,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_14,True,,2,2,1.0,,ade_b,ade_b,,1,surprise2,,3,surprise,
d_contents_madeinrush_01_15,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_15,True,,2,2,1.0,,soda_b,soda_b,,1,surprise2,,3,delight,
d_contents_madeinrush_01_16,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_16,False,,2,2,1.0,,ade_b,ade_b,,1,worry,,3,delight,
d_contents_madeinrush_01_17,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_17,True,,2,2,1.0,,ade_b,ade_b,,1,worry,,3,delight,
d_contents_madeinrush_01_18,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_18,False,,2,2,1.0,,soda_b,soda_b,,1,worry,,3,surprise,
d_contents_madeinrush_01_19,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_19,True,,2,2,1.0,,soda_b,soda_b,,1,worry,,3,surprise,
d_contents_madeinrush_01_20,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_20,False,,2,2,1.0,,ade_b,ade_b,,1,worry,,3,surprise,
d_contents_madeinrush_01_21,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_21,True,,2,S_30,1.0,,soda_b,soda_b,,1,worry,,3,surprise,
d_contents_madeinrush_01_22,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_22,True,,S_30,S_30,1.0,,soda_b,soda_b,,1,worry,,3,idle,
d_contents_madeinrush_01_23,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_23,True,,S_30,S_30,1.0,,soda_b,soda_b,,1,worry,,3,idle,
d_contents_madeinrush_01_24,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_24,True,,S_30,2,1.0,,ade_b,ade_b,,1,idle,,3,idle,
d_contents_madeinrush_01_25,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_25,True,,2,2,1.0,,soda_b,soda_b,,1,idle,,3,delight,
d_contents_madeinrush_01_26,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_26,True,,2,2,1.0,,soda_b,soda_b,,1,idle,,3,surprise,
d_contents_madeinrush_01_27,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_27,True,,2,2,1.0,,soda_b,soda_b,,1,idle,,3,delight,
d_contents_madeinrush_01_28,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_28,True,,2,2,1.0,,soda_b,soda_b,,1,idle,,3,delight,
d_contents_madeinrush_01_29,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_29,True,,2,2,1.0,,ade_b,ade_b,,1,idle,,3,delight,
d_contents_madeinrush_01_30,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_30,True,,2,2,1.0,,soda_b,soda_b,,1,idle,,3,sad,
d_contents_madeinrush_01_31,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_31,True,,2,2,1.0,,ade_b,ade_b,,1,delight,,3,sad,
d_contents_madeinrush_01_32,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_32,True,,2,2,1.0,,ade_b,ade_b,,1,delight,,3,sad,
d_contents_madeinrush_01_33,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_33,True,,2,2,1.0,,ade_b,ade_b,,1,delight,,3,sad,
d_contents_madeinrush_01_34,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_34,True,,2,2,1.0,,soda_b,soda_b,,1,delight,,3,delight,
d_contents_madeinrush_01_35,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_35,True,,2,2,1.0,,ade_b,ade_b,,1,delight,,3,delight,
d_contents_madeinrush_01_36,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_36,True,,2,S_30,1.0,,soda_b,soda_b,,1,delight,,3,delight,
d_contents_madeinrush_01_37,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_37,True,,S_30,S_30,1.0,,soda_b,soda_b,,1,delight,,3,delight,
d_contents_madeinrush_01_38,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_38,True,,S_30,S_30,1.0,,soda_b,soda_b,,1,delight,,3,delight,
d_contents_madeinrush_01_39,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_39,True,,S_30,2,1.0,,ade_b,ade_b,,1,idle,,3,delight,
d_contents_madeinrush_01_40,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_40,True,,2,2,1.0,,soda_b,soda_b,,1,idle,,3,delight,
d_contents_madeinrush_01_41,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_41,False,,2,10,1.0,,ade_b,ade_b,,1,idle,,3,delight,soda_b
d_contents_madeinrush_01_42,82501,d_contents_madeinrush_01,Speech,Locale_SubScenario:d_contents_madeinrush_01_42,True,,10,10,1.0,,ade_b,ade_b,,1,shy2,,,,
