id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
event_miraclesnow1_05_s_1,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_1,True,Winter_AmusementPark,1,1,1.0,bgm_story_shopperholic,,,,rupee_w,1,"expression_0,idle_02",anne,3,idle,,,,,fx_Eventscene_camera_recording,rec,True,
event_miraclesnow1_05_s_2,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_2,True,,1,L_10,0.5,,,,,,1,idle_02,,3,idle,,,,,,,,
event_miraclesnow1_05_s_3,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_3,True,,L_10,L_10,1.0,,,,,,1,idle_02,,3,idle,,,,,,,,
event_miraclesnow1_05_s_4,40003,event_miraclesnow1_05_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_05_s_4,True,,L_10,31,1.0,,,,,,1,idle_02,,3,delight,,,,,,,,fx_Eventscene_camera_recording
event_miraclesnow1_05_s_5,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_5,True,,31,31,1.0,,,,,,1,idle_02,,3,delight,,,,,,,,
event_miraclesnow1_05_s_6,40003,event_miraclesnow1_05_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_05_s_6,True,,31,31,1.0,,,,,,1,idle_02,,3,idle,,,,,,,,
event_miraclesnow1_05_s_7,40003,event_miraclesnow1_05_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_05_s_7,True,,31,31,1.0,,,,,,1,idle_02,,3,idle,,,,,,,,
event_miraclesnow1_05_s_8,40003,event_miraclesnow1_05_s,Speech,rupee_w,rupee,Locale_SubScenario:event_miraclesnow1_05_s_8,True,,31,31,1.0,,,,,,1,idle_02,,3,idle,,,,,,,,
event_miraclesnow1_05_s_9,40003,event_miraclesnow1_05_s,Speech,anne,anne,Locale_SubScenario:event_miraclesnow1_05_s_9,True,,31,31,1.0,,,,,,1,idle_02,,3,idle,,,,,,,,
event_miraclesnow1_05_s_10,40003,event_miraclesnow1_05_s,Monologue,,Monologue,Locale_SubScenario:event_miraclesnow1_05_s_10,False,,31,5,1.0,,,,,,1,idle_02,,5,idle,emma_c,17,delight,,,,,
event_miraclesnow1_05_s_11,40003,event_miraclesnow1_05_s,Monologue,,Monologue,Locale_SubScenario:event_miraclesnow1_05_s_11,False,,5,17,2.0,,,,,,1,idle_02,,5,idle,,17,delight,,,,,
event_miraclesnow1_05_s_12,40003,event_miraclesnow1_05_s,Monologue,,Monologue,Locale_SubScenario:event_miraclesnow1_05_s_12,False,,17,170,1.0,,,,,,1,idle_02,,5,idle,,17,delight,,,,,
