id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id,fade
event_claymore_06_e_1,40050,event_claymore_06_e,Self,clay,Locale_SubScenario:event_claymore_06_e_1,False,clay,5,shy,Backstreet_n,1,5,1.2,none,,,,,,,,,,,,,
event_claymore_06_e_2,40050,event_claymore_06_e,Monologue,clay,Locale_SubScenario:event_claymore_06_e_2,False,,5,shy,,5,5,1.0,bgm_story_lastbullet,,,,,,,,,,,,,
event_claymore_06_e_3,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_3,True,,5,shy,,5,50,0.7,,clay,,,,,,,,,,,,
event_claymore_06_e_4,40050,event_claymore_06_e,Monologue,clay,Locale_SubScenario:event_claymore_06_e_4,False,,5,shy,,50,50,1.0,,,,,,,,,,,,,,
event_claymore_06_e_5,40050,event_claymore_06_e,Narration,clay,Locale_SubScenario:event_claymore_06_e_5,False,,5,shy,,black,black,1.0,,,sfx_scn_ropesrumble,,,,,,,,,,,
event_claymore_06_e_6,40050,event_claymore_06_e,Monologue,clay,Locale_SubScenario:event_claymore_06_e_6,False,,5,shy,,black,black,1.0,,,,clay,claymore_event,1,idle,,,,,,,
event_claymore_06_e_7,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_7,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_8,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_8,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_9,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_9,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_10,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_10,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_11,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_11,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_12,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_12,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_13,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_13,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_14,40050,event_claymore_06_e,Monologue,clay,Locale_SubScenario:event_claymore_06_e_14,False,,,,,claymore_01,claymore_01,1.0,,,,,,1,idle,,,,,,,
event_claymore_06_e_15,40050,event_claymore_06_e,Monologue,clay,Locale_SubScenario:event_claymore_06_e_15,False,,,,,claymore_01,claymore_01,1.0,,,,,,1,idle,,,,,,,
event_claymore_06_e_16,40050,event_claymore_06_e,Monologue,clay,Locale_SubScenario:event_claymore_06_e_16,False,,,,,claymore_01,claymore_01,1.0,,,,,,1,idle,,,,,,,
event_claymore_06_e_17,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_17,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_18,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_18,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
event_claymore_06_e_19,40050,event_claymore_06_e,Speech,clay,Locale_SubScenario:event_claymore_06_e_19,True,,,,,claymore_01,claymore_01,1.0,,clay,,,,1,idle,,,,,,,
