id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade
event_lastkingdom2_01_e_1,40046,event_lastkingdom2_01_e,Narration,Locale_MainScenario:event_lastkingdom2_01_e_1,False,hongryeon,1,no,rapunzel,13,idle,snowwhite,3,idle,CrownCasltePanorama_d,black,black,1.0,event_bgm_lastkingdom_tothelast,,,,,,
event_lastkingdom2_01_e_2,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_2,True,,1,no,,13,idle,,3,idle,,10,1,1.0,,hongryeon,hongryeon,,,,
event_lastkingdom2_01_e_3,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_3,True,,1,no,,13,idle,,3,idle,,1,31,1.0,,snowwhite,snowwhite,,,,
event_lastkingdom2_01_e_4,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_4,True,,1,no,,13,idle,,3,idle,,31,113,1.0,,rapunzel,rapunzel,,,,
event_lastkingdom2_01_e_5,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_5,True,,1,no,,13,idle,,3,idle,,113,113,1.0,,hongryeon,hongryeon,,,,
event_lastkingdom2_01_e_6,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_6,True,,1,no,,13,idle,,3,idle,,113,1,1.0,,hongryeon,hongryeon,,,,
event_lastkingdom2_01_e_7,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_7,True,,1,no,,13,idle,,3,idle,,1,31,1.0,,snowwhite,snowwhite,,,,
event_lastkingdom2_01_e_8,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_8,True,,1,no,,13,sad,,3,idle,,31,31,1.0,,snowwhite,snowwhite,,,,
event_lastkingdom2_01_e_9,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_9,True,,1,no,,13,sad,,3,idle,,31,31,1.0,,hongryeon,hongryeon,,,,
event_lastkingdom2_01_e_10,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_10,True,,1,no,,13,sad,,3,idle,,31,113,1.0,,rapunzel,rapunzel,,,,
event_lastkingdom2_01_e_11,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_11,True,,1,no,,13,sad,,3,idle,,113,113,1.0,,rapunzel,rapunzel,,,,
event_lastkingdom2_01_e_12,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_12,True,,1,no,,13,sad,,3,idle,,113,113,1.0,,rapunzel,rapunzel,,,,
event_lastkingdom2_01_e_13,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_13,True,,1,no,,13,sad,,3,idle,,113,113,1.0,,hongryeon,hongryeon,,,,
event_lastkingdom2_01_e_14,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_14,True,,1,no,,13,sad,,3,idle,,113,31,1.0,,snowwhite,snowwhite,,,,
event_lastkingdom2_01_e_15,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_15,True,,1,no,,13,sad,,3,idle,,31,31,1.0,,hongryeon,hongryeon,,,,
event_lastkingdom2_01_e_16,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_16,False,,1,no,,13,sad,,3,idle,,31,30,1.0,,snowwhite,snowwhite,,,,
event_lastkingdom2_01_e_17,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_17,True,,1,no,,13,sad,,3,idle,,30,30,1.0,,snowwhite,snowwhite,,,,
event_lastkingdom2_01_e_18,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_18,True,,1,no,,13,sad,,3,idle,,30,10,1.0,,hongryeon,hongryeon,,,,
event_lastkingdom2_01_e_19,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_19,True,,1,no,,13,sad,,3,idle,,10,130,1.0,none,rapunzel,rapunzel,,,,
event_lastkingdom2_01_e_20,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_20,True,indivilia,1,idle,talkative,13,idle,,3,idle,land_d,L_10,L_10,1.0,event_bgm_lastkingdom_pinch,indivilia,indivilia,hongryeon,rapunzel,snowwhite,black
event_lastkingdom2_01_e_21,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_21,True,,1,idle,,13,idle,,,,,XS_130,XS_130,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_22,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_22,True,,1,idle,,13,idle,,,,,XS_130,113,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_23,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_23,True,,1,idle,,13,idle,,,,,113,113,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_24,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_24,True,,1,angry,,13,idle,,,,,113,113,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_25,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_25,True,,1,angry,,13,idle,,,,,113,113,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_26,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_26,True,,1,special,,13,idle,,,,,113,L_10,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_27,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_27,True,,1,special,,13,idle,,,,,L_10,L_10,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_28,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_28,True,,1,special,,13,idle,,,,,L_10,L_10,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_29,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_29,True,,1,special,,13,idle,,,,,L_10,113,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_30,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_30,True,,1,idle,,13,idle,,,,,113,113,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_31,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_31,True,,1,idle,,13,idle,,,,,113,113,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_32,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_32,True,,1,special,,13,idle,,,,,113,113,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_33,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_33,True,,1,special,,13,idle,,,,,113,113,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_34,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_34,True,,1,special,,13,idle,,,,,113,XS_130,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_35,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_35,True,,1,special,,13,idle,,,,,XS_130,XS_130,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_36,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_36,True,,1,special,,13,idle,,,,,L_10,L_10,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_37,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_37,True,,1,special,,13,idle,,,,,XS_130,XS_130,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_38,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_38,True,,1,special,,13,idle,,,,,XS_130,XS_1300,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_39,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_39,True,,1,special,,13,idle,,,,,L_100,L_100,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_40,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_40,True,,1,special,,13,idle,,,,,XS_1300,XS_1300,1.0,,talkative,talkative,,,,
event_lastkingdom2_01_e_41,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_41,True,,1,special,,13,idle,,,,,L_100,L_100,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_42,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_42,True,,1,special,,13,idle,,,,,L_100,L_100,1.0,,indivilia,indivilia,,,,
event_lastkingdom2_01_e_43,40046,event_lastkingdom2_01_e,Speech,Locale_MainScenario:event_lastkingdom2_01_e_43,True,,1,special,,13,idle,,,,,L_100,L_10,0.5,,indivilia,indivilia,,,,
