id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_filter_01,play_ambient,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_oldtales1_03_s_1,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_1,True,Hotel,1,1,1.0,none,,,,,abe,1,worry,,redshoes,13,idle,,,,,,,,,,,,,,,,,
event_oldtales1_03_s_2,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_2,True,,1,2,1.0,,,,,,,1,worry,,,13,idle,,cinderella,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_3,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_3,True,,2,2,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_4,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_4,True,,2,2,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_5,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_5,True,,2,2,1.0,event_bgm_oldtales_firstpage,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_6,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_6,True,,2,2,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_7,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_7,True,,2,2,1.0,,,,,,,1,worry,,,13,idle,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_8,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_8,True,,2,12,1.0,,,,,,,1,worry,,,13,idle,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_9,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_9,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_10,40061,event_oldtales1_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_03_s_10,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_11,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_11,True,,S_30,S_30,1.0,,,,,,,1,worry,,,13,idle,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_12,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_12,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_13,40061,event_oldtales1_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_03_s_13,True,,12,12,1.0,,,,,,,1,worry,,,13,delight,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_14,40061,event_oldtales1_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_03_s_14,True,,12,12,1.0,,,,,,,1,worry,,,13,delight,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_15,40061,event_oldtales1_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_03_s_15,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,,,3,surprise_blue,,,,,,,,,,,,,
event_oldtales1_03_s_16,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_16,False,,S_30,S_30,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_17,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_17,True,,S_30,3,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_18,40061,event_oldtales1_03_s,Narration,cinderella,,Locale_MainScenario:event_oldtales1_03_s_18,False,Laboratory,16,16,1.0,,black,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_19,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_19,True,,16,12,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_20,40061,event_oldtales1_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_03_s_20,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_21,40061,event_oldtales1_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_03_s_21,True,,12,12,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_22,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_22,True,,12,2,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_23,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_23,True,,2,2,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_24,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_24,True,,2,2,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_25,40061,event_oldtales1_03_s,Speech,redshoes,redshoes,Locale_MainScenario:event_oldtales1_03_s_25,True,,130,130,1.0,,,,,,,1,worry,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_26,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_26,True,,S_30,S_30,1.0,,,,,,,1,worry,,,13,idle,,,3,delight_blue,,,,,,,,,,,,,
event_oldtales1_03_s_27,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_27,True,,S_30,10,1.0,,,,,,,1,worry,,,13,idle,,,3,delight_blue,,,,,,,,,,,,,
event_oldtales1_03_s_28,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_28,False,,10,10,1.0,,,,,,,1,worry,,,13,idle,,,3,delight_blue,,,,,,,,,,,,,
event_oldtales1_03_s_29,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_29,True,,10,2,1.0,,,,,,,1,idle,,,13,idle,,,3,delight_blue,,,,,,,,,,,,,
event_oldtales1_03_s_30,40061,event_oldtales1_03_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales1_03_s_30,True,,2,2,1.0,,,,,,,1,idle,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
event_oldtales1_03_s_31,40061,event_oldtales1_03_s,Speech,abe,abe,Locale_MainScenario:event_oldtales1_03_s_31,True,,2,1,1.0,,,,,,,1,idle,,,13,idle,,,3,idle_blue,,,,,,,,,,,,,
