id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,play_movie,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_lastkingdom2_06_e_1,40046,event_lastkingdom2_06_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_e_1,False,indivilia,1,special,crown,13,idle,CrownCastleGate_d,113,113,1.0,event_bgm_lastkingdom_whisperoffear,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_2,40046,event_lastkingdom2_06_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_06_e_2,False,,1,special,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_3,40046,event_lastkingdom2_06_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_e_3,True,,1,special,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_4,40046,event_lastkingdom2_06_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_06_e_4,True,,1,special,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_5,40046,event_lastkingdom2_06_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_e_5,True,,1,special,,13,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_6,40046,event_lastkingdom2_06_e,Narration,indivilia,,Locale_MainScenario:event_lastkingdom2_06_e_6,False,,1,special,,13,idle,,black,black,1.0,,sfx_scn_evlaparticle,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_7,40046,event_lastkingdom2_06_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_06_e_7,True,,1,special,,13,shy,,13,130,0.5,event_bgm_lastkingdom_pinch,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_8,40046,event_lastkingdom2_06_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_e_8,True,,1,delight,,13,shy,,130,L_10,1.0,,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_9,40046,event_lastkingdom2_06_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_e_9,True,,1,delight,,13,shy,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_10,40046,event_lastkingdom2_06_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_e_10,True,,1,delight,,13,shy,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_11,40046,event_lastkingdom2_06_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_e_11,True,,1,delight,,13,shy,,L_10,L_10,1.0,,,,,,,,,,,,,,,,,,
event_lastkingdom2_06_e_12,40046,event_lastkingdom2_06_e,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_e_12,True,,1,delight,,13,shy,,L_10,1,1.0,,,,,,,,,,,,,,,,,,
