id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_lifeagain_02_s_1,40060,event_lifeagain_02_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_s_1,False,nadia,3,angry,Gym,black,black,1.0,none,,,,,,,,,,,
event_lifeagain_02_s_2,40060,event_lifeagain_02_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_s_2,False,,3,angry,,black,black,1.0,bgm_story_backtonormal,,,,,,,,,,,
event_lifeagain_02_s_3,40060,event_lifeagain_02_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_s_3,False,,3,angry,,black,black,1.0,,,,,,,,,,,,
event_lifeagain_02_s_4,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_4,False,,3,angry,,3,3,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_5,40060,event_lifeagain_02_s,Self,Self,Locale_SubScenario:event_lifeagain_02_s_5,False,,3,angry,,3,3,1.0,,,,,,,,,,,,
event_lifeagain_02_s_6,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_6,True,,3,angry,,3,3,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_7,40060,event_lifeagain_02_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_s_7,False,,3,angry,,3,3,1.0,,,,,,,,,,,,
event_lifeagain_02_s_8,40060,event_lifeagain_02_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_s_8,False,,3,angry,,3,3,1.0,,,,,,,,,,,,
event_lifeagain_02_s_9,40060,event_lifeagain_02_s,Self,Self,Locale_SubScenario:event_lifeagain_02_s_9,False,,3,angry,,3,3,1.0,,,,,,,,,,,,
event_lifeagain_02_s_10,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_10,False,,3,angry,,3,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_11,40060,event_lifeagain_02_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_02_s_11,False,,3,angry,,XS_30,XS_30,1.0,,,,,,,,,,,,
event_lifeagain_02_s_12,40060,event_lifeagain_02_s,Choice,,Locale_SubScenario:event_lifeagain_02_s_12,False,,3,angry,,XS_30,XS_30,1.0,,,event_lifeagain_02_s_14,,,,,,,,,
event_lifeagain_02_s_13,40060,event_lifeagain_02_s,Choice,,Locale_SubScenario:event_lifeagain_02_s_13,False,,3,angry,,XS_30,XS_30,1.0,,,event_lifeagain_02_s_18,,,,,,,,,
event_lifeagain_02_s_14,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_14,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_15,40060,event_lifeagain_02_s,Self,Self,Locale_SubScenario:event_lifeagain_02_s_15,False,,3,angry,,XS_30,XS_30,1.0,,,,,,,,,,,,
event_lifeagain_02_s_16,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_16,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_17,40060,event_lifeagain_02_s,Self,Self,Locale_SubScenario:event_lifeagain_02_s_17,False,,3,angry,,XS_30,XS_30,1.0,,,event_lifeagain_02_s_18,,,,,,,,,
event_lifeagain_02_s_18,40060,event_lifeagain_02_s,Self,Self,Locale_SubScenario:event_lifeagain_02_s_18,False,,3,angry,,XS_30,XS_30,1.0,,,,,,,,,,,,
event_lifeagain_02_s_19,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_19,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_20,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_20,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_21,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_21,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_22,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_22,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_23,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_23,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_24,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_24,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_25,40060,event_lifeagain_02_s,Self,Self,Locale_SubScenario:event_lifeagain_02_s_25,False,,3,angry,,XS_30,XS_30,1.0,,,,,,,,,,,,
event_lifeagain_02_s_26,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_26,True,,3,angry,,XS_30,XS_30,1.0,,nadia,,,,,,,,,,
event_lifeagain_02_s_27,40060,event_lifeagain_02_s,Narration,Narration,Locale_SubScenario:event_lifeagain_02_s_27,False,,3,angry,,XS_30,3,1.0,,nadia,,sfx_scn_autodooropen,,,,,,,,
event_lifeagain_02_s_28,40060,event_lifeagain_02_s,Speech,rumani,Locale_SubScenario:event_lifeagain_02_s_28,True,,3,angry,,3,4,1.0,,rumani,,,rumani,5,idle,,,,,
event_lifeagain_02_s_29,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_29,True,,3,angry,,4,4,1.0,,nadia,,,,5,idle,,,,,
event_lifeagain_02_s_30,40060,event_lifeagain_02_s,Speech,rumani,Locale_SubScenario:event_lifeagain_02_s_30,True,,3,angry,,4,4,1.0,,rumani,,,,5,idle,,,,,
event_lifeagain_02_s_31,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_31,True,,3,angry,,4,4,1.0,,nadia,,,,5,idle,,,,,
event_lifeagain_02_s_32,40060,event_lifeagain_02_s,Speech,rumani,Locale_SubScenario:event_lifeagain_02_s_32,True,,3,angry,,4,4,1.0,,rumani,,,,5,idle,,,,,
event_lifeagain_02_s_33,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_33,True,,3,angry,,4,4,1.0,,nadia,,,,5,idle,,,,,
event_lifeagain_02_s_34,40060,event_lifeagain_02_s,Speech,rumani,Locale_SubScenario:event_lifeagain_02_s_34,True,,3,angry,,4,4,1.0,,rumani,,,,5,idle,,,,,
event_lifeagain_02_s_35,40060,event_lifeagain_02_s,Speech,rumani,Locale_SubScenario:event_lifeagain_02_s_35,True,,3,angry,,4,4,1.0,,rumani,,,,5,idle,,,,,
event_lifeagain_02_s_36,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_36,True,,3,angry,,4,4,1.0,,nadia,,,,5,idle,,,,,
event_lifeagain_02_s_37,40060,event_lifeagain_02_s,Speech,nadia,Locale_SubScenario:event_lifeagain_02_s_37,True,,3,angry,,4,4,1.0,,nadia,,,,5,idle,,,,,
event_lifeagain_02_s_38,40060,event_lifeagain_02_s,Speech,rumani,Locale_SubScenario:event_lifeagain_02_s_38,True,,3,angry,,4,L_50,1.0,,rumani,,,,5,idle,,,,,
