id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id
event_exnii1_06_e_1,40070,event_exnii1_06_e,Speech,neon,neon,Locale_SubScenario:event_exnii1_06_e_1,True,ocean_r_2,5,5,1.0,event_bgm_ce005_laststand,,,,,,,,,,,neon,5,no,,anis,3,idle,,rapi,1,idle,,ce005_02,13,idle,,ce005_01,15,idle,,ce005_03,17,idle,,19,idle,,,,,,
event_exnii1_06_e_2,40070,event_exnii1_06_e,Speech,neon,neon,Locale_SubScenario:event_exnii1_06_e_2,True,,5,5,1.0,,,,,,,,,,,,,5,no,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,19,idle,,,,,,
event_exnii1_06_e_3,40070,event_exnii1_06_e,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_06_e_3,True,,17,17,1.0,,,,,,,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,think,,19,idle,,,,,,
event_exnii1_06_e_4,40070,event_exnii1_06_e,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_06_e_4,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,5,idle,,,3,idle,,,1,worry,,,13,idle,,,15,idle,,,17,think,,19,idle,,,,,,
event_exnii1_06_e_5,40070,event_exnii1_06_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_06_e_5,True,,event_exnii_talk_02,event_exnii_talk_02,1.0,,,,,,,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,19,idle,,,,,,
event_exnii1_06_e_6,40070,event_exnii1_06_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii1_06_e_6,True,,event_exnii_talk_02,14,1.0,,,,,,,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,19,idle,,,,,,
event_exnii1_06_e_7,40070,event_exnii1_06_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_06_e_7,True,,14,14,1.0,,,,,,,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,no,,,15,idle,,,17,idle,,19,idle,,,,,,
event_exnii1_06_e_8,40070,event_exnii1_06_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_06_e_8,True,,14,130,1.0,,,,,,,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,no,,,15,idle,,,17,idle,,19,idle,,,,,,
event_exnii1_06_e_9,40070,event_exnii1_06_e,Self,ce005_02,,Locale_SubScenario:event_exnii1_06_e_9,False,,130,130,1.0,,,,,,,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,19,idle,,,,,,
event_exnii1_06_e_10,40070,event_exnii1_06_e,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_06_e_10,True,,130,13,1.0,,,,,,,,,,,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,19,idle,,,,,,
