id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,fade,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/7/hide_char_id,characters/8/hide_char_id,characters/9/hide_char_id
event_ce003_2_05_s_1,40042,event_ce003_2_05_s,Narration,Locale_SubScenario:event_ce003_2_05_s_1,False,epicurean,7,idle,ce_003_02,3,idle,ce_003_01,1,idle,ce_003_03,13,idle,Restaurant,black,black,1.0,event_bgm_ce003_story_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_2,40042,event_ce003_2_05_s,Speech,Locale_SubScenario:event_ce003_2_05_s_2,True,,7,idle,,3,idle,,1,idle,,13,idle,,7,L_70,1.0,,epicurean,epicurean,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_3,40042,event_ce003_2_05_s,Speech,Locale_SubScenario:event_ce003_2_05_s_3,True,,7,idle,,3,idle,,1,idle,,13,idle,,L_70,L_70,1.0,,epicurean,epicurean,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_4,40042,event_ce003_2_05_s,Speech,Locale_SubScenario:event_ce003_2_05_s_4,True,,7,idle,,3,idle,,1,idle,,13,idle,,L_70,L_70,1.0,,epicurean,epicurean,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_5,40042,event_ce003_2_05_s,Speech,Locale_SubScenario:event_ce003_2_05_s_5,True,,7,idle,,3,idle,,1,idle,,13,idle,,L_70,L_70,1.0,,epicurean,epicurean,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_6,40042,event_ce003_2_05_s,Speech,Locale_SubScenario:event_ce003_2_05_s_6,True,,7,idle,,3,idle,,1,idle,,13,idle,,L_70,L_70,1.0,,epicurean,epicurean,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_7,40042,event_ce003_2_05_s,Speech,Locale_SubScenario:event_ce003_2_05_s_7,True,,7,idle,,3,idle,,1,idle,,13,idle,,L_70,7,1.0,,epicurean,epicurean,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_8,40042,event_ce003_2_05_s,Self,Locale_SubScenario:event_ce003_2_05_s_8,False,,7,idle,,3,idle,,1,idle,,13,idle,,7,7,1.0,,epicurean,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_9,40042,event_ce003_2_05_s,Speech,Locale_SubScenario:event_ce003_2_05_s_9,True,,7,idle,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,ce_003_01,ce_003_01,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_05_s_10,40042,event_ce003_2_05_s,Self,Locale_SubScenario:event_ce003_2_05_s_10,False,,7,idle,,3,idle,,1,idle,,13,idle,,S_10,S_10,1.0,,ce_003_01,,,,,,,,,,,,,,,,,,,,,,,,,,,
