id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,fade,characters/0/hide_char_id,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
event_BunnyX777_02_e_1,40014,event_BunnyX777_02_e,Narration,Locale_SubScenario:event_BunnyX777_02_e_1,False,CommanderRoom,black,black,1.0,none,,,,,,,,,,,,,,,,,
event_BunnyX777_02_e_2,40014,event_BunnyX777_02_e,Monologue,Locale_SubScenario:event_BunnyX777_02_e_2,False,,1,10,0.5,bgm_story_breakaway,,,,,,,,,,,,,,,,,
event_BunnyX777_02_e_3,40014,event_BunnyX777_02_e,Monologue,Locale_SubScenario:event_BunnyX777_02_e_3,False,,10,10,1.0,,,,,,,,,,,,,,,,,,
event_BunnyX777_02_e_4,40014,event_BunnyX777_02_e,Monologue,Locale_SubScenario:event_BunnyX777_02_e_4,False,,10,10,1.0,,,,,,,,,,,,,,,,,,
event_BunnyX777_02_e_5,40014,event_BunnyX777_02_e,Monologue,Locale_SubScenario:event_BunnyX777_02_e_5,False,,10,1,2.0,,,,,,,,,,,,,,,,,,
event_BunnyX777_02_e_6,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_6,True,CoinRushIndoor,black,black,1.0,,rouge,rouge,rouge,1,idle,Grey,black,,,,,,,,,,
event_BunnyX777_02_e_7,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_7,True,,10,10,1.0,,rouge,rouge,,1,idle,Grey,,,,,,,,,,,
event_BunnyX777_02_e_8,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_8,True,,10,10,1.0,,rouge,rouge,,1,idle,Grey,,,,,,,,,,,
event_BunnyX777_02_e_9,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_9,True,,10,10,1.0,,rouge,rouge,,1,idle,Grey,,,,,,,,,,,
event_BunnyX777_02_e_10,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_10,True,,10,10,1.0,,rouge,rouge,,1,idle,Grey,,,,,,,,,,,
event_BunnyX777_02_e_11,40014,event_BunnyX777_02_e,Monologue,Locale_SubScenario:event_BunnyX777_02_e_11,False,CommanderRoom,black,black,1.0,,,,,1,idle,,,rouge,,,,,,,,,
event_BunnyX777_02_e_12,40014,event_BunnyX777_02_e,Monologue,Locale_SubScenario:event_BunnyX777_02_e_12,False,,1,1,1.0,,,,,,,,,,,,,,,,,,
event_BunnyX777_02_e_13,40014,event_BunnyX777_02_e,Monologue,Locale_SubScenario:event_BunnyX777_02_e_13,False,,1,100,2.0,,,,,,,,,,,,,,,,,,
event_BunnyX777_02_e_14,40014,event_BunnyX777_02_e,Narration,Locale_SubScenario:event_BunnyX777_02_e_14,False,,100,100,1.0,none,,,,,,,,,sfx_scn_autodooropen,,,,,,,,
event_BunnyX777_02_e_15,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_15,True,,100,10,2.0,,anis,anis,anis,1,delight,,,,,,,,,,,,
event_BunnyX777_02_e_16,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_16,True,,10,10,1.0,,anis,anis,,1,delight,,,,,,,,,,,,
event_BunnyX777_02_e_17,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_17,True,,10,100,0.5,bgm_story_orangepop,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_18,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_18,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_19,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_19,True,,100,100,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_20,40014,event_BunnyX777_02_e,Self,Locale_SubScenario:event_BunnyX777_02_e_20,False,,100,100,1.0,,,,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_21,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_21,True,,100,10,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_22,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_22,True,,10,10,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
event_BunnyX777_02_e_23,40014,event_BunnyX777_02_e,Speech,Locale_SubScenario:event_BunnyX777_02_e_23,True,,10,10,1.0,,anis,anis,,1,idle,,,,,,,,,,,,
