id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_seayouagain_12_1,80600,d_ex_seayouagain_12,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_12_1,True,Beach_d,5,5,1.0,none,,,,mast_s,1,idle,helm_s,5,idle,anchor,3,idle
d_ex_seayouagain_12_2,80600,d_ex_seayouagain_12,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_12_2,True,,5,5,1.0,bgm_story_splashpad,,,,,1,idle,,5,idle,,3,idle
d_ex_seayouagain_12_3,80600,d_ex_seayouagain_12,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_12_3,True,,5,5,1.0,,,,,,1,idle,,5,idle,,3,idle
d_ex_seayouagain_12_4,80600,d_ex_seayouagain_12,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_12_4,True,,5,5,1.0,,,,,,1,idle,,5,idle,,3,idle
d_ex_seayouagain_12_5,80600,d_ex_seayouagain_12,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_12_5,True,,1,S_10,0.5,,,,,,1,idle,,5,idle,,3,idle
d_ex_seayouagain_12_6,80600,d_ex_seayouagain_12,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_12_6,True,,S_10,S_10,1.0,,,,,,1,idle,,5,idle,,3,idle
d_ex_seayouagain_12_7,80600,d_ex_seayouagain_12,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_12_7,True,,S_10,S_10,1.0,,,,,,1,delight2,,5,idle,,3,idle
d_ex_seayouagain_12_8,80600,d_ex_seayouagain_12,Speech,anchor,anchor,Locale_SuddenStory:d_ex_seayouagain_12_8,True,,3,S_30,1.0,,,,,,1,delight2,,5,idle,,3,angry
d_ex_seayouagain_12_9,80600,d_ex_seayouagain_12,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_12_9,True,,S_30,4,1.0,,,,,,1,idle,,5,surprise,,3,angry
d_ex_seayouagain_12_10,80600,d_ex_seayouagain_12,Speech,anchor,anchor,Locale_SuddenStory:d_ex_seayouagain_12_10,True,,4,4,1.0,,,,,,1,idle,,5,surprise,,3,idle
d_ex_seayouagain_12_11,80600,d_ex_seayouagain_12,Speech,anchor,anchor,Locale_SuddenStory:d_ex_seayouagain_12_11,True,,4,4,1.0,,,,,,1,idle,,5,surprise,,3,idle
d_ex_seayouagain_12_12,80600,d_ex_seayouagain_12,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_12_12,True,,4,2,1.0,,,,,,1,delight,,5,surprise,,3,idle
d_ex_seayouagain_12_13,80600,d_ex_seayouagain_12,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_12_13,True,,2,2,1.0,,,,,,1,delight,,5,idle,,3,idle
d_ex_seayouagain_12_14,80600,d_ex_seayouagain_12,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_12_14,True,,2,2,1.0,,,,,,1,delight,,5,idle,,3,idle
d_ex_seayouagain_12_15,80600,d_ex_seayouagain_12,Speech,anchor,anchor,Locale_SuddenStory:d_ex_seayouagain_12_15,True,,2,2,1.0,,,,,,1,delight,,5,idle,,3,surprise
d_ex_seayouagain_12_16,80600,d_ex_seayouagain_12,Speech,helm_s,helm_s,Locale_SuddenStory:d_ex_seayouagain_12_16,False,,2,4,1.0,,,,,,1,surprise,,5,think,,3,surprise
d_ex_seayouagain_12_17,80600,d_ex_seayouagain_12,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_12_17,False,,4,2,1.0,,,,,,1,surprise,,5,think,,3,surprise
d_ex_seayouagain_12_18,80600,d_ex_seayouagain_12,Speech,mast_s,mast_s,Locale_SuddenStory:d_ex_seayouagain_12_18,True,,2,2,1.0,,,,,,1,surprise,,5,idle,,3,idle
